启航充值表$,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 16,Unnamed: 17
,40,2024-06-06 00:00:00,,,,启航广告费,808,20：30,,
,41,2024-06-06 00:00:00,,,,启航广告费,1010,20：59,,
,42,2024-06-07 00:00:00,,,,账单户广告费,10000,00：33,,
,43,2024-06-07 00:00:00,,,,启航广告费,1515,09：44,,
,44,2024-06-07 00:00:00,转入备用金,20000,09;58,,,,,
,45,2024-06-07 00:00:00,,,,启航广告费,4040,09：58,,
,46,2024-06-07 00:00:00,,,,账单户广告费,20000,14：29,,
,47,2024-06-07 00:00:00,转入备用金,9000,16：17,,,,,
,48,2024-06-07 00:00:00,,,,启航广告费,1096.41,16：17,,
,49,2024-06-07 00:00:00,,,,启航广告费,505,17：52,,
,50,2024-06-07 00:00:00,,,,启航广告费,2020,18：04,,
,51,2024-06-07 00:00:00,,,,启航广告费,2525,19：42,,
,52,2024-06-07 00:00:00,,,,启航广告费,1515,19：53,,
,53,2024-06-07 00:00:00,转入备用金,30000,20：24,,,,,
,54,2024-06-07 00:00:00,,,,启航广告费,2020,20：50,,
,55,2024-06-08 00:00:00,,,,启航广告费,2020,21：02,,
,56,2024-06-08 00:00:00,,,,账单户广告费,20000,00：23,,
,57,2024-06-08 00:00:00,,,,启航广告费,5555,12：53,,
,58,2024-06-08 00:00:00,转入备用金,20000,13：23,,,,,
,59,2024-06-08 00:00:00,,,,启航广告费,3500,14：52,,
,60,2024-06-08 00:00:00,,,,启航广告费,1045,15：46,,
,61,2024-06-08 00:00:00,,,,启航广告费,1010,17：04,,
,62,2024-06-08 00:00:00,,,,启航广告费,2020,19：03,,
,63,2024-06-08 00:00:00,,,,启航广告费,3535,21:04:00,,
,64,2024-06-10 00:00:00,,,,启航广告费,1964.31,08:40:00,,
,65,2024-06-10 00:00:00,,,,启航广告费,4040,18：47,,
,66,2024-06-10 00:00:00,转入备用金,15000,20：25,,,,,
,67,2024-06-11 00:00:00,,,,启航广告费,4193.21,17:07:00,,
,68,2024-06-11 00:00:00,,,,启航广告费,2525,18：40,,
,69,2024-06-12 00:00:00,,,,启航广告费,3030,09：52,,
,70,2024-06-12 00:00:00,,,,飞书广告费,10000,14：38,,
,71,2024-06-12 00:00:00,转入备用金,20000,21：44,,,,,
,72,2024-06-12 00:00:00,,,,账单户广告费,10000,23：32,,
,73,2024-06-13 00:00:00,,,,账单户广告费,10000,01：10,,
,74,2024-06-19 00:00:00,转入备用金,10000,10：22,,,,,
,75,2024-06-19 00:00:00,,,,启航广告费,1010,14：00,,
,76,2024-06-19 00:00:00,,,,启航广告费,2525,14：18,,
,77,2024-06-21 00:00:00,,,,启航广告费,3249.98,12：34,,
,78,2024-06-21 00:00:00,,,,启航广告费,1010,13：23,,
,79,2024-06-21 00:00:00,转入备用金,10000,19：12,,,,,
,80,2024-06-23 00:00:00,,,,启航广告费,1612.16,17：22,,
,81,2024-06-23 00:00:00,,,,启航广告费,5050,19：31,,
,82,2024-06-24 00:00:00,转入备用金,20000,,,,,,
,83,2024-06-26 00:00:00,,,,账单户广告费,25000.64,00:48:00,,
,84,2024-06-26 00:00:00,转入备用金,20000,,,,,,
,85,2024-06-27 00:00:00,,,,广告配套,2497,账单户12：36,,
,86,,,,,,,,,
,87,,,,,,,,,
,88,,,,,,,,,
,89,,,,,,,,,
,90,,,,,,,,,
,91,,,,,,,,,
,92,,,,,,,,,
,93,,,,,,,,,
,94,,,,,,,,,
,95,,,,,,,,,
,96,,,,,,,,,
,97,,,,,,,,,
,98,,,,,,,,,
,99,,,,,,,,,
,100,,,,,,,,,
