6月收支财务报表,Unnamed: 3,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,21,2024-06-04 00:00:00,叶凡（16800）6月,49989,,15:24:00,启航广告费,20000,启航备用金,17:31:00,,,,
,,22,2024-06-04 00:00:00,,,,,账单户广告费,30000,账单户,17:39:00,,,,
,,23,2024-06-04 00:00:00,金鑫印度8期（16000）,80000,,18:49:00,广告配套,694,账单户,19:06:00,,,,
,,24,2024-06-04 00:00:00,,,,,广告配套,77,账单户,19:11:00,,,,
,,25,2024-06-04 00:00:00,,,,,账单户广告费,20000,账单户,21:14:00,,,,
,,26,2024-06-04 00:00:00,,,,,飞书广告费,1,飞书,21:17:00,,,,
,,27,2024-06-04 00:00:00,六亿(40000粉）6月,10,,21:59:00,飞书广告费,11999,飞书,21:47:00,,,,
,,28,2024-06-04 00:00:00,六亿(40000粉）6月,49990,,22:03:00,,,,,,,,
,,29,2024-06-04 00:00:00,澳大利亚，股票/二群—FB/6月,10000,,22:17:00,,,,,,,,
,,30,2024-06-05 00:00:00,,,,,账单户广告费,20100,账单户,00:03:00,,,,
,,31,2024-06-05 00:00:00,,,,,广告配套,51.5,FB个号,10:20:00,,,,
,,32,2024-06-05 00:00:00,,,,,账单户广告费,30000,账单户,11:39:00,,,,
,,33,2024-06-05 00:00:00,,,,,广告配套,200,矿工费,12:44:00,,,,
,,34,2024-06-05 00:00:00,,,,,广告配套,3470,账单户,15:27:00,,,,
,,35,2024-06-05 00:00:00,,,,,广告配套,360,账单户,16:59:00,,,,
,,36,2024-06-05 00:00:00,,,,,启航广告费,30000,启航备用金,17:30:00,,,,
,,37,2024-06-05 00:00:00,后勤,1346.03,,18:46:00,后勤,1346.03,工资,18:22:00,,,,
,,38,2024-06-05 00:00:00,,,,,飞书广告费,10000,飞书,18:30:00,,,,
,,39,2024-06-05 00:00:00,,,,,账单户广告费,25000,账单户,20:44:00,,,,
,,40,2024-06-06 00:00:00,,,,,账单户广告费,32000,账单户,10:43:00,,,,
,,41,2024-06-06 00:00:00,英國精粉測試（zhang）,100,,12:13:00,,,,,,,,
,,42,2024-06-06 00:00:00,英國精粉測試（zhang）,19900,,12:18:00,,,,,,,,
,,43,2024-06-06 00:00:00,澳大利亚，股票/二群—FB/6月,5000,,12:59:00,账单户广告费,35000,账单户,18:35:00,,,,
,,44,2024-06-06 00:00:00,印度一期（10000）,70000,,23:34:00,,,,,,,,
,,45,2024-06-07 00:00:00,,,,,账单户广告费,35000,账单户,09:42:00,,,,
,,46,2024-06-07 00:00:00,,,,,启航广告费,20000,启航备用金,09:56:00,,,,
,,47,2024-06-07 00:00:00,,,,,飞书广告费,10000,飞书,11:33:00,,,,
,,48,2024-06-07 00:00:00,,,,,广告配套,5465,账单户,11:56:00,,,,
,,49,2024-06-07 00:00:00,,,,,广告配套,600,账单户,11:58:00,,,,
,,50,2024-06-07 00:00:00,六亿(40000粉）6月,10,,20:08:00,启航广告费,9000,启航备用金,16:14:00,,,,
,,51,2024-06-07 00:00:00,叶凡（16800）6月,10,,20:12:00,,,,,,,,
,,52,2024-06-07 00:00:00,六亿(40000粉）6月,49990,,20:14:00,账单户广告费,30000,账单户,20:21:00,,,,
,,53,2024-06-07 00:00:00,叶凡（16800）6月,49990,,20:20:00,启航广告费,30000,启航备用金,20:23:00,,,,
,,54,2024-06-07 00:00:00,金鑫印度8期（16000）,50000,,20:24:00,,,,,,,,
,,55,2024-06-07 00:00:00,代理一期（5000）亚瑟,4400,,23:58:00,,,,,,,,
,,56,2024-06-08 00:00:00,,,,,账单户广告费,36000,账单户,09:18:00,,,,
,,57,2024-06-08 00:00:00,,,,,飞书广告费,14000,飞书,10:04:00,,,,
,,58,2024-06-08 00:00:00,,,,,启航广告费,20000,启航备用金,13:21:00,,,,
,,59,2024-06-08 00:00:00,,,,,广告配套,300,老BM、申诉BM、个号,15:35:00,,,,
,,60,2024-06-08 00:00:00,,,,,账单户广告费,20000,账单户,17:02:00,,,,
,,61,2024-06-08 00:00:00,金鑫印度8期（16000）,80000,,17:43:00,账单户广告费,45000,账单户,19:12:00,,,,
,,62,2024-06-09 00:00:00,,,,,账单户广告费,30000,账单户,15:38:00,,,,
,,63,2024-06-09 00:00:00,金鑫印度8期（16000）,80000,,17:19:00,,,,,,,,
,,64,2024-06-09 00:00:00,代理一期（5000）亚瑟,8800,,18:48:00,,,,,,,,
,,65,2024-06-09 00:00:00,郭大侠3期（10000）,100,,18:49:00,,,,,,,,
,,66,2024-06-09 00:00:00,郭大侠3期（10000）,22900,,18:57:00,账单户广告费,31000,账单户,22:19:00,,,,
,,67,2024-06-10 00:00:00,六亿(40000粉）6月,10,,13:27:00,,,,,,,,
,,68,2024-06-10 00:00:00,叶凡（16800）6月,10,,13:27:00,,,,,,,,
,,69,2024-06-10 00:00:00,六亿(40000粉）6月,24990,,13:43:00,,,,,,,,
,,70,2024-06-10 00:00:00,叶凡（16800）6月,24990,,13:43:00,远程佣金,5332.93,史戈团队5月消耗提成：¥38652/$5332.93,14:19:00,史戈团队5月消耗提成：¥38652/$5332.93,,,
,,71,2024-06-10 00:00:00,,,,,账单户广告费,35000,账单户,14:49:00,,,,
,,72,2024-06-10 00:00:00,,,,,飞书广告费,15000,飞书,15:09:00,,,,
,,73,2024-06-10 00:00:00,金鑫印度8期（16000）,40000,,16:07:00,账单户广告费,45000,账单户,20:22:00,,,,
,,74,2024-06-10 00:00:00,,,,,启航广告费,15000,启航备用金,20:24:00,,,,
,,75,2024-06-11 00:00:00,,,,,飞书广告费,10000,飞书,10:53:00,,,,
,,76,2024-06-11 00:00:00,,,,,账单户广告费,35000,账单户,14:20:00,,,,
,,77,2024-06-11 00:00:00,,,,,广告配套,366,账单户,19:02:00,,,,
,,78,2024-06-11 00:00:00,,,,,广告配套,55,账单户,19:05:00,,,,
,,79,2024-06-11 00:00:00,六亿(40000粉）6月,10,,19:59:00,账单户广告费,15000,账单户,20:00:00,,,,
,,80,2024-06-11 00:00:00,六亿(40000粉）6月,49990,,20:03:00,账单户广告费,36000,账单户,20:25:00,,,,
,,81,2024-06-11 00:00:00,郭大侠3期（10000）,100,,20:31:00,启航广告费,5050,启航,21:11:00,,,,
,,82,2024-06-11 00:00:00,郭大侠3期（10000）,45900,,20:56:00,账单户广告费,25000,账单户,21:12:00,,,,
,,83,2024-06-12 00:00:00,,,,,账单户广告费,30000,账单户,10:12:00,,,,
,,84,2024-06-12 00:00:00,,,,,广告配套,51.5,FB个号,11:44:00,,,,
,,85,2024-06-12 00:00:00,,,,,广告配套,60,ip,15:31:00,,,,
,,86,2024-06-12 00:00:00,,,,,广告配套,120,ip,15:53:00,,,,
,,87,2024-06-12 00:00:00,,,,,账单户广告费,4400,账单户,19：19,,,,
,,88,2024-06-12 00:00:00,六亿(40000粉）6月,20000,1,19:26:00,账单户广告费,15000,账单户,20:08:00,,,,
,,89,2024-06-12 00:00:00,郭大侠3期（10000）,100,,20:59:00,账单户广告费,5000,账单户,20:25:00,,,,
,,90,2024-06-12 00:00:00,郭大侠3期（10000）,68900,,21:02:00,启航广告费,10580.51,启航,21:18:00,,,,
,,91,2024-06-12 00:00:00,,,,,启航广告费,20000,启航备用金,21:42:00,,,,
,,92,2024-06-12 00:00:00,,,,,账单户广告费,23000,账单户,21:52:00,,,,
,,93,2024-06-12 00:00:00,,,,,广告配套,140,斗篷,22:35:00,,,,
,,94,2024-06-12 00:00:00,,,,,远程佣金,4241.06,史戈团队6/1-6/9佣金,22:41:00,史戈团队6/1-6/9佣金,,,
,,95,2024-06-13 00:00:00,,,,,账单户广告费,10000,账单户,09:32:00,,,,
,,96,2024-06-13 00:00:00,郭大侠3期（10000）,100,,13:35:00,,,,,,,,
,,97,2024-06-13 00:00:00,郭大侠3期（10000）,91900,,13:37:00,账单户广告费,35000,账单户,13:54:00,,,,
,,98,2024-06-13 00:00:00,,,,,小h广告费,5050,小h,14:32:00,,,,
,,99,2024-06-13 00:00:00,,,,,启航广告费,4040,启航,14:44:00,,,,
,,100,2024-06-13 00:00:00,,,,,代理一期（5000）亚瑟,330,退,15:56:00,,,,
,,101,2024-06-13 00:00:00,,,,,账单户广告费,38000,账单户,18:11:00,,,,
,,102,2024-06-13 00:00:00,,,,,账单户广告费,10000,账单户,21:55:00,,,,
,,103,2024-06-14 00:00:00,六亿(40000粉）6月,10000,张总,12:16:00,,,,,,,,
,,104,2024-06-14 00:00:00,六亿(40000粉）6月,10000,张总,15:15:00,小h广告费,8080,小h,17:00:00,,,,
,,105,2024-06-13 00:00:00,,,,,广告配套,51.5,fb个号,18:28:00,,,,
,,106,2024-06-15 00:00:00,,,,,小h广告费,8080,小h,16:06:00,,,,
,,107,2024-06-15 00:00:00,六亿(40000粉）6月,10000,张总,17:43:00,,,,,,,,
,,108,2024-06-17 00:00:00,,,,,启航广告费,4545.25,启航,13:16:00,,,,
,,109,2024-06-17 00:00:00,,,,,广告配套,50,fb个号,19:00:00,,,,
,,110,2024-06-18 00:00:00,金鑫海哥5000粉 6.18,32199,,19:13:00,账单户广告费,20000.34,账单户,20:37:00,,,,
,,111,2024-06-18 00:00:00,,,,,,,,,,,,
,,112,2024-06-18 00:00:00,印度度假村（发财组14000),10,,22:20:00,,,,,,,,
,,113,2024-06-18 00:00:00,印度度假村（发财组14000),29990,,22:31:00,,,,,,,,
,,114,2024-06-19 00:00:00,,,,,启航广告费,2667.21,启航,10:19:00,,,,
,,115,2024-06-19 00:00:00,,,,,启航广告费,10000,启航备用金,10:20:00,,,,
,,116,2024-06-19 00:00:00,,,,,账单户广告费,21000.63,账单户,10:20:00,,,,
,,117,2024-06-19 00:00:00,金鑫海哥5000粉 6.18,27599,,20:57:00,,,,,,,,
,,118,2024-06-20 00:00:00,,,,,飞书广告费,10000,飞书,10:44:00,,,,
,,119,2024-06-20 00:00:00,,,,,token转后勤,20000,,12:12:00,,,,
,,120,2024-06-20 00:00:00,,,,,远程佣金,2336.75,史戈团队6/10-6/18佣金:¥14512+办公室支出:¥2454,20:10:00,史戈团队6/10-6/18佣金:¥14512+办公室支出:¥2454,,,
,,121,2024-06-20 00:00:00,金鑫海哥5000粉 6.18,27599,,21：31,,,,,,,,
,,122,2024-06-21 00:00:00,发财（17000）,10,,11:28:00,,,,,,,,
,,123,2024-06-21 00:00:00,发财（17000）,19990,,11:35:00,账单户广告费,20000.9,账单户,11:49:00,,,,
,,124,2024-06-21 00:00:00,,,,,小h广告费,8080,小h,11:49:00,,,,
,,125,2024-06-21 00:00:00,,,,,广告配套,623,账单户,18:47:00,,,,
,,126,2024-06-21 00:00:00,,,,,广告配套,70,账单户,18:50:00,,,,
,,127,2024-06-21 00:00:00,,,,,启航广告费,10000,启航备用金,19:10:00,,,,
,,128,2024-06-21 00:00:00,,,,,启航广告费,5048.95,启航,19:11:00,,,,
,,129,2024-06-22 00:00:00,发财（17000）,10,,11:37:00,,,,,,,,
,,130,2024-06-22 00:00:00,发财（17000）,19990,,11:42:00,广告配套,1245,账单户,15:30:00,,,,
,,131,2024-06-22 00:00:00,,,,,广告配套,137,账单户,15:39:00,,,,
,,132,2024-06-22 00:00:00,发财（17000）,10,,16:27:00,,,,,,,,
,,133,2024-06-22 00:00:00,发财（17000）,29990,,16:33:00,账单户广告费,20000.72,账单户,18:03:00,,,,
,,134,2024-06-22 00:00:00,,,,,广告配套,300,老BM,21:32:00,,,,
,,135,2024-06-23 00:00:00,,,,,广告配套,51.5,fb个号,11:32:00,,,,
,,136,2024-06-23 00:00:00,发财（17000）,10,,13:32:00,,,,,,,,
,,137,2024-06-23 00:00:00,发财（17000）,19990,,13:37:00,账单户广告费,20000.49,账单户,14:12:00,,,,
,,138,2024-06-23 00:00:00,印度10期（20000）阿乐,100000,,15:00:00,广告配套,747,账单户,17:05:00,,,,
,,139,2024-06-23 00:00:00,,,,,广告配套,85,账单户,17:11:00,,,,
,,140,2024-06-23 00:00:00,,,,,账单户广告费,35000.77,账单户,21:12:00,,,,
,,141,2024-06-23 00:00:00,,,,,广告配套,200,矿工费,22:02:00,,,,
,,142,2024-06-23 00:00:00,,,,,广告配套,1020,账单户,22:09:00,,,,
,,143,2024-06-23 00:00:00,,,,,账单户广告费,45000.87,账单户,22:12:00,,,,
,,144,2024-06-23 00:00:00,,,,,广告配套,113,账单户,22:13:00,,,,
,,145,2024-06-23 00:00:00,,,,,账单户广告费,35000.23,账单户,22:24:00,,,,
,,146,2024-06-23 00:00:00,,,,,启航广告费,3030,启航,22:33:00,,,,
,,147,2024-06-24 00:00:00,印度10期（20000）阿乐,50000,,12:22:00,飞书广告费,10000,飞书,13:31:00,,,,
,,148,2024-06-24 00:00:00,,,,,账单户广告费,45000.94,账单户,16:04:00,,,,
,,149,2024-06-24 00:00:00,印度10期（20000）阿乐,80000,,17:04:00,启航广告费,7979,启航,18:04:00,,,,
,,150,2024-06-24 00:00:00,,,,,账单户广告费,50000.2,账单户,19:23:00,,,,
,,151,2024-06-24 00:00:00,金鑫海哥5000粉 6.18,22999,,20:06:00,广告配套,51.5,FB个号,20:39:00,,,,
,,152,2024-06-24 00:00:00,,,,,启航广告费,20000,启航备用金,21:35:00,,,,
,,153,2024-06-25 00:00:00,,,,,账单户广告费,35000.2,账单户,12:56:00,,,,
,,154,2024-06-25 00:00:00,发财（17000）,10,,13:03:00,,,,,,,,
,,155,2024-06-25 00:00:00,发财（17000）,19990,,13:17:00,,,,,,,,
,,156,2024-06-25 00:00:00,发财（17000）,20000,,14:36:00,账单户广告费,40000.11,账单户,21:31:00,,,,
,,157,2024-06-25 00:00:00,,,,,广告配套,1220,账单户,23:33:00,,,,
,,158,2024-06-25 00:00:00,余额持平,11.5,,,广告配套,135,账单户,23:36:00,,,,
,,159,2024-06-26 00:00:00,,,,,账单户广告费,9000.73,账单户,12:44:00,,,,
,,160,2024-06-26 00:00:00,印度10期（20000）阿乐,100000,,13:10:00,账单户广告费,40000.11,账单户,13:34:00,,,,
,,161,2024-06-26 00:00:00,,,,,启航广告费,7228.92,启航,13:57:00,,,,
,,162,2024-06-26 00:00:00,,,,,启航广告费,20000,启航备用金,14:13:00,,,,
,,163,2024-06-26 00:00:00,,,,,广告配套,1400,账单户+老BM备用金,16:45:00,,,,
,,164,2024-06-26 00:00:00,,,,,飞书广告费,10000,飞书,17:47:00,,,,
,,165,2024-06-26 00:00:00,,,,,账单户广告费,20000.71,账单户,18:14:00,,,,
,,166,2024-06-27 00:00:00,印度10期（20000）阿乐,50000,,15:04:00,远程佣金,4083.7,史戈团队6/19-6/24佣金,15:12:00,史戈团队6/19-6/24佣金,,,
,,167,2024-06-27 00:00:00,发财（17000）,10,,20:56:00,,,,,,,,
,,168,2024-06-27 00:00:00,发财（17000）,9990,,21:00:00,账单户广告费,35000.24,账单户,23:25:00,,,,
,,169,2024-06-28 00:00:00,金鑫海哥5000粉 6.18,13799,,13:33:00,,,,,,,,
,,170,2024-06-28 00:00:00,发财（17000）,10000,张总,14:56:00,后勤转入,20000,,15:10:00,,,,
,,171,2024-06-28 00:00:00,,,,,后勤转入,10000,,21:28:00,,,,
,,172,2024-06-30 00:00:00,,,,,广告配套,78.6,个号+老BM,14:37:00,,,,
,,173,2024-06-30 00:00:00,,,,,广告配套,2080,账单户,14:45:00,,,,
,,174,2024-06-30 00:00:00,,,,,后勤转入,10000,,15:23:00,,,,
,,175,,,,,,,,,,,,,
,,176,,,,,,,,,,,,,
,,177,,,,,,,,,,,,,
,,178,,,,,,,,,,,,,
,,179,,,,,,,,,,,,,
,,180,,,,,,,,,,,,,
,,181,,,,,,,,,,,,,
,,182,,,,,,,,,,,,,
,,183,,,,,,,,,,,,,
,,184,,,,,,,,,,,,,
,,185,,,,,,,,,,,,,
,,186,,,,,,,,,,,,,
,,187,,,,,,,,,,,,,
,,188,,,,,,,,,,,,,
,,189,,,,,,,,,,,,,
,,190,,,,,,,,,,,,,
,,191,,,,,,,,,,,,,
,,192,,,,,,,,,,,,,
,,193,,,,,,,,,,,,,
,,194,,,,,,,,,,,,,
,,195,,,,,,,,,,,,,
,,196,,,,,,,,,,,,,
,,197,,,,,,,,,,,,,
,,198,,,,,,,,,,,,,
,,199,,,,,,,,,,,,,
,,200,,,,,,,,,,,,,
,,201,,,,,,,,,,,,,
,,202,,,,,,,,,,,,,
,,203,,,,,,,,,,,,,
,,204,,,,,,,,,,,,,
,,205,,,,,,,,,,,,,
,,206,,,,,,,,,,,,,
,,207,,,,,,,,,,,,,
,,208,,,,,,,,,,,,,
,,209,,,,,,,,,,,,,
,,210,,,,,,,,,,,,,
,,211,,,,,,,,,,,,,
,,212,,,,,,,,,,,,,
,,213,,,,,,,,,,,,,
,,214,,,,,,,,,,,,,
,,215,,,,,,,,,,,,,
,,216,,,,,,,,,,,,,
,,217,,,,,,,,,,,,,
,,218,,,,,,,,,,,,,
,,219,,,,,,,,,,,,,
,,220,,,,,,,,,,,,,
,,221,,,,,,,,,,,,,
,,222,,,,,,,,,,,,,
,,223,,,,,,,,,,,,,
,,224,,,,,,,,,,,,,
,,225,,,,,,,,,,,,,
,,226,,,,,,,,,,,,,
,,227,,,,,,,,,,,,,
,,228,,,,,,,,,,,,,
,,229,,,,,,,,,,,,,
,,230,,,,,,,,,,,,,
,,231,,,,,,,,,,,,,
,,232,,,,,,,,,,,,,
,,233,,,,,,,,,,,,,
,,234,,,,,,,,,,,,,
,,235,,,,,,,,,,,,,
