2025年3月渠道、代投总支出,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,2025年3月渠道商剩余广告费,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
项目退款：凯旋城7期退款,15644,,,15644,,,,,,,,,
项目退款：渠道F 英文J,2400,,,2400,,,,,,,,,
,,,,312769.1411,,,,,,,,,
,,,,,,,,,,,,,
2月代投,总转款,进群数,未退款,最终款,备注,地区,,,,,,,
浩天 意大利对接群,11700,117,,11700,,意大利,,,,,,,
意大利打群-fa,6380,63.8,,6380,,意大利,,,,,,,
马来打群-fa,1390,21.38461538,,1390,,马来,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,19470,,,,,,,,,
,,,,,,,,,,,,,
2月德国代投,总转款,进群数,未退款,最终款,备注,地区,,,,,,,
德国打群-fa,11080,,,11080,,德国,,,,,,,
海总-德国🇩🇪粉,40300,,,40300,,德国,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,51380,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2月印度代投,总转款,进群数,,最终款,备注,地区,,,,,,,
印度003对接—胖鱼,346035,15045,,346035,,印度,,,,,,,
印度驻场-lala(郑总）,89240,3880,,89240,,印度,,,,,,,
印度FB——哈密瓜,38295,1665,,38295,,印度,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,473570,,,,,,,,,
,,,,,,,,,,,,,
,,,,,更新日期：,2025-04-01 00:00:00,,,,,,,
,,,,,,,,,,,,,
,,,,1126835.064,,,,,,,,,
2025年3月甲方总收入,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
地区,项目,总转款,备注,,,,,,,,,,
意大利,意大利张总单导,10920,,,,,,,,,,,
巴西,巴西测试粉,1657.06,,,,,,,,,,,
印度,印度2期2/7开始,108640.8,,,,,,,,,,,
印度,印度（10）金山2/22,225948,,,,,,,,,,,
印度,印度FB天叶（2/24）,50000,"其中已退款$26,976",,,,,,,,,,
意大利,意大利第4梯队（蟑螂哥）,1680,,,,,,,,,,,
德国,德国股票粉二组【张小强】,62775,,,,,,,,,,,
印度,印度3期,50000,,,,,,,,,,,
印度,印度（10）金山3/17开始,277200,,,,,,,,,,,
韩国,韩国刷单粉对接,2138.39,,,,,,,,,,,
马来,渠道F 英文J,7500,,,,,,,,,,,
英国,（蟑螂哥）英国结算群,415,,,,,,,,,,,
印度,印度L2期-强森,100000,,,,,,,,,,,
意大利,意大利二期,50000,,,,,,,,,,,
印度,印度14期-么么,70000,,,,,,,,,,,
印度,印度4期-啊光,150000,,,,,,,,,,,
德国,渠道B 德国A,6250,,,,,,,,,,,
代投退款,代投退款：浩天 意大利对接群,4900,,,,,,,,,,,
代投退款,印度006对接—henry,4466,,,,,,,,,,,
代投退款,海总-德国🇩🇪粉,3400,,,,,,,,,,,
渠道商退款,海总-越南电信户,200,,,,,,,,,,,
渠道商退款,十月二不限,127,,,,,,,,,,,
渠道商退款,凤凰&洛阳,31733.7,,,,,,,,,,,
渠道商退款,渠道商退款：Y-5208 FB欧/美户,485.33,,,,,,,,,,,
渠道商退款,海总-全球户,341.74,,,,,,,,,,,
渠道商退款,印度企业户 欧洲美金户下户,1527.85,,,,,,,,,,,
渠道商退款,渠道商退款：CH加白户14➕1,7757.94,,,,,,,,,,,
,,,,,,,,,,,,,
,2月结余,220136.4,,,,,,,,,,,
,,1450200.21,,,,,,,,,,,
