7月收支财务报表,Unnamed: 3,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,21,2024-07-07 00:00:00,,,,,广告配套,1247,账单户,15:44:00,,,,
,,22,2024-07-07 00:00:00,印度11期'（20000）,100000,,17:03:00,,,,,,,,
,,23,2024-07-07 00:00:00,美国股票粉'：1成成,10,,18:35:00,,,,,,,,
,,24,2024-07-07 00:00:00,美国股票粉'：1成成,14990,,18:40:00,后勤转入,30000,后勤,20:09:00,,,,
,,25,2024-07-07 00:00:00,,,,,账单户广告费,40000.87,账单户,20:22:00,,,,
,,26,2024-07-08 00:00:00,,,,,账单户广告费,40000.11,账单户,19:11:00,,,,
,,27,2024-07-09 00:00:00,,,,,广告配套,1247,账单户,09:37:00,,,,
,,28,2024-07-09 00:00:00,,,,,广告配套,51.5,fb个号,18:48:00,,,,
,,29,2024-07-10 00:00:00,美国股票粉（2）菲菲,20000,,19:12:00,,,,,,,,
,,30,2024-07-10 00:00:00,美盘打粉对接群（钱总群）,1600,小严20个,22:37:00,,,,,,,,
,,31,2024-07-10 00:00:00,美盘打粉对接群（钱总群）,1600,阿明20个,22:39:00,,,,,,,,
,,32,2024-07-10 00:00:00,美盘打粉对接群（钱总群）,3200,"饼子20、小暴20
",22:44:00,,,,,,,,
,,33,2024-07-10 00:00:00,美盘打粉对接群（钱总群）,1600,中华20个 ,22:59:00,代投广告费,4000,FA代投,23:33:00,,,,
,,34,2024-07-11 00:00:00,,,,,欧洲广告费,3210,欧洲户Jennie,00:34:00,,,,
,,35,2024-07-11 00:00:00,,,,,广告配套,1240,账单户,11:34:00,,,,
,,36,2024-07-11 00:00:00,,,,,广告配套,238.215508,指纹浏览器费用,21:59:00,,,,
,,37,2024-07-11 00:00:00,,,,,广告配套,60,IP,22:00:00,,,,
,,38,2024-07-12 00:00:00,,,,,代投广告费,8000,FA代投,15:16:00,,,,
,,39,2024-07-12 00:00:00,美国股票粉'：1成成,10,,20:28:00,,,,,,,,
,,40,2024-07-12 00:00:00,美国股票粉'：1成成,19990,,20:39:00,账单户广告费,25000.72,账单户,21:33:00,,,,
,,41,2024-07-13 00:00:00,,,,,代投广告费,10000,FA代投,20:41:00,,,,
,,42,2024-07-13 00:00:00,,,,,账单户广告费,20000.25,账单户,20:43:00,,,,
,,43,2024-07-14 00:00:00,,,,,备用金,5000,备用金,14:15:00,,,,
,,44,2024-07-14 00:00:00,美国股票粉（2）菲菲,40000,,19:54:00,广告配套,137,IP,20:24:00,,,,
,,45,2024-07-15 00:00:00,,,,,代投广告费,5000,FA代投,00:21:00,,,,
,,46,2024-07-15 00:00:00,,,,,谷歌广告费,300,谷歌,17:00:00,,,,
,,47,2024-07-15 00:00:00,,,,,账单户广告费,25000.14,账单户,17:37:00,,,,
,,48,2024-07-15 00:00:00,,,,,代投广告费,5000,FA代投,21:36:00,,,,
,,49,2024-07-16 00:00:00,印度期权测试（土耳其）啊斗,5000,,18:35:00,代投广告费,10000,FA代投,20:16:00,,,,
,,50,2024-07-16 00:00:00,美国股票粉（2）菲菲,50000,,21:35:00,,,,,,,,
,,51,2024-07-16 00:00:00,,,,,账单户广告费,30000.15,账单户,09:54:00,,,,
,,52,2024-07-17 00:00:00,还款,20000,,23:52:00,,,,,,,,
,,53,2024-07-18 00:00:00,,,,,澳大利亚粉小牛,17353,退款,00:11:00,,,,
,,54,2024-07-18 00:00:00,,,,,欧洲广告费,1000,400,14:41:00,,,,
,,55,2024-07-18 00:00:00,,,,,广告配套,1232,账单户,16:24:00,,,,
,,56,2024-07-18 00:00:00,,,,,远程佣金,1455.26,房租水费电费：¥7280；7/2-7/17佣金：¥195+¥3089,18:21:00,,,,
,,57,2024-07-18 00:00:00,印度11期'（20000）,10,,21:56:00,,,,,换新地址7/18晚上八点,,,
,,58,2024-07-18 00:00:00,印度11期'（20000）,9290,,22:00:00,账单户广告费,26000.18,账单户,22:03:00,,,,
,,59,2024-07-18 00:00:00,美国股票粉'：1成成,10,,23:17:00,代投广告费,6743,FA代投,23:29:00,,,,
,,60,2024-07-18 00:00:00,美国股票粉'：1成成,14990,,23:39:00,,,,,,,,
,,61,2024-07-19 00:00:00,,,,,谷歌广告费,10,Chris Ryan代投,12:02:00,,,,
,,62,2024-07-19 00:00:00,,,,,谷歌广告费,4990,Chris Ryan代投,12:11:00,,,,
,,63,2024-07-19 00:00:00,,,,,广告配套,1247,账单户,15:03:00,,,,
,,64,2024-07-19 00:00:00,,,,,谷歌广告费,3700,Chris Ryan代投,15:10:00,,,,
,,65,2024-07-19 00:00:00,,,,,广告配套,675,计数器,17:52:00,,,,
,,66,2024-07-19 00:00:00,,,,,fb广告费充值,10,深圳芳林子,19:33:00,,,,
,,67,2024-07-19 00:00:00,,,,,fb广告费充值,3262.4,深圳芳林子,19:43:00,,,,
,,68,2024-07-19 00:00:00,印度11期'（20000）,50000,,20:41:00,欧洲广告费,5000,小南 江,20:45:00,,,,
,,69,2024-07-20 00:00:00,,,,,欧洲广告费,5100,小南 江,10:48:00,,,,
,,70,2024-07-20 00:00:00,,,,,欧洲广告费,10200,小南 江,21:45:00,,,,
,,71,2024-07-20 00:00:00,,,,,广告配套,200,矿工费,15:10:00,,,,
,,72,2024-07-20 00:00:00,,,,,广告配套,1247,账单户,20:17:00,,,,
,,73,2024-07-20 00:00:00,美国股票粉（2）菲菲,10,,21:55:00,,,,,,,,
,,74,2024-07-20 00:00:00,美国股票粉（2）菲菲,49990,,22:09:00,,,,,,,,
,,75,2024-07-21 00:00:00,,,,,账单户广告费,10000.06,账单户,22:33:00,,,,
,,76,2024-07-22 00:00:00,,,,,欧洲广告费,20400,小南 江,08:53:00,,,,
,,77,2024-07-22 00:00:00,,,,,飞书广告费,10,飞书,11:14:00,,,,
,,78,2024-07-22 00:00:00,,,,,飞书广告费,15015,飞书,11:17:00,,,,
,,79,2024-07-22 00:00:00,,,,,小h广告费,5300,美国三不限,15:15:00,,,,
,,80,2024-07-22 00:00:00,,,,,谷歌广告费,1125,LH,16:29:00,,,,
,,81,2024-07-22 00:00:00,,,,,备用金,6000,备用金,18:49:00,,,,
,,82,2024-07-22 00:00:00,,,,,备用金,500,备用金,18:50:00,,,,
,,83,2024-07-22 00:00:00,,,,,账单户广告费,5000.54,账单户,19:57:00,,,,
,,84,2024-07-23 00:00:00,,,,,账单户广告费,5000.47,账单户,20:28:00,,,,
,,85,2024-07-23 00:00:00,,,,,广告配套,3000,备用金,20:49:00,,,,
,,86,2024-07-23 00:00:00,美国股票粉'：1成成,10,,21:35:00,,,,,,,,
,,87,2024-07-23 00:00:00,美国股票粉'：1成成,9990,,22:31:00,账单户广告费,5500.94,账单户,22:43:00,,,,
,,88,2024-07-24 00:00:00,印度11期'（20000）,50000,,13:05:00,,,,,,,,
,,89,2024-07-24 00:00:00,美国股票粉（2）菲菲,50000,,13:08:00,账单户广告费,10000.24,账单户,13:31:00,,,,
,,90,2024-07-24 00:00:00,,,,,后勤转入,30000,后勤,19:19:00,,,,
,,91,2024-07-24 00:00:00,,,,,账单户广告费,10000.28,账单户,22:18:00,,,,
,,92,2024-07-25 00:00:00,,,,,飞书广告费,13000,飞书,11:11:00,,,,
,,93,2024-07-25 00:00:00,,,,,fb广告费充值,1262.5,深圳芳林子,12:12:00,,,,
,,94,2024-07-25 00:00:00,,,,,备用金,10000,备用金,12:13:00,,,,
,,95,2024-07-25 00:00:00,美国股票粉'：1成成,10,,22:50:00,,,,,,,,
,,96,2024-07-25 00:00:00,美国股票粉'：1成成,14990,,23:04:00,,,,,,,,
,,97,2024-07-26 00:00:00,,,,,备用金,20000,备用金,07:46:00,,,,
,,98,2024-07-26 00:00:00,,,,,代投广告费,3740,FA代投,16:40:00,,,,
,,99,2024-07-26 00:00:00,美国股票粉'：1成成,10,,22:24:00,,,,,,,,
,,100,2024-07-26 00:00:00,美国股票粉'：1成成,14990,,22:37:00,备用金,15000,备用金,15:44:00,,,,
,,101,2024-07-29 00:00:00,美国股票粉'：1成成,10,,18:43:00,,,,,,,,
,,102,2024-07-29 00:00:00,美国股票粉'：1成成,9990,,18:53:00,fb广告费充值,7575,深圳芳林子,22:09:00,,,,
,,103,2024-07-30 00:00:00,,,,,启航广告费,2525,启航,20:21:00,,,,
,,104,2024-07-31 00:00:00,,,,,启航广告费,3150,启航,10:08:00,,,,
,,105,2024-07-31 00:00:00,,,,,代投广告费,2516,FA代投,11:57:00,,,,
,,106,,,,,,,,,,,,,
,,107,,,,,,,,,,,,,
,,108,,,,,,,,,,,,,
,,109,,,,,,,,,,,,,
,,110,,,,,,,,,,,,,
,,111,,,,,,,,,,,,,
,,112,,,,,,,,,,,,,
,,113,,,,,,,,,,,,,
,,114,,,,,,,,,,,,,
,,115,,,,,,,,,,,,,
,,116,,,,,,,,,,,,,
,,117,,,,,,,,,,,,,
,,118,,,,,,,,,,,,,
,,119,,,,,,,,,,,,,
,,120,,,,,,,,,,,,,
,,121,,,,,,,,,,,,,
,,122,,,,,,,,,,,,,
,,123,,,,,,,,,,,,,
,,124,,,,,,,,,,,,,
,,125,,,,,,,,,,,,,
,,126,,,,,,,,,,,,,
,,127,,,,,,,,,,,,,
,,128,,,,,,,,,,,,,
,,129,,,,,,,,,,,,,
,,130,,,,,,,,,,,,,
,,131,,,,,,,,,,,,,
,,132,,,,,,,,,,,,,
,,133,,,,,,,,,,,,,
,,134,,,,,,,,,,,,,
,,135,,,,,,,,,,,,,
,,136,,,,,,,,,,,,,
,,137,,,,,,,,,,,,,
,,138,,,,,,,,,,,,,
,,139,,,,,,,,,,,,,
,,140,,,,,,,,,,,,,
,,141,,,,,,,,,,,,,
,,142,,,,,,,,,,,,,
,,143,,,,,,,,,,,,,
,,144,,,,,,,,,,,,,
,,145,,,,,,,,,,,,,
,,146,,,,,,,,,,,,,
,,147,,,,,,,,,,,,,
,,148,,,,,,,,,,,,,
,,149,,,,,,,,,,,,,
,,150,,,,,,,,,,,,,
,,151,,,,,,,,,,,,,
,,152,,,,,,,,,,,,,
,,153,,,,,,,,,,,,,
,,154,,,,,,,,,,,,,
,,155,,,,,,,,,,,,,
,,156,,,,,,,,,,,,,
,,157,,,,,,,,,,,,,
,,158,,,,,,,,,,,,,
,,159,,,,,,,,,,,,,
,,160,,,,,,,,,,,,,
,,161,,,,,,,,,,,,,
,,162,,,,,,,,,,,,,
,,163,,,,,,,,,,,,,
,,164,,,,,,,,,,,,,
,,165,,,,,,,,,,,,,
,,166,,,,,,,,,,,,,
,,167,,,,,,,,,,,,,
,,168,,,,,,,,,,,,,
,,169,,,,,,,,,,,,,
,,170,,,,,,,,,,,,,
,,171,,,,,,,,,,,,,
,,172,,,,,,,,,,,,,
,,173,,,,,,,,,,,,,
,,174,,,,,,,,,,,,,
,,175,,,,,,,,,,,,,
,,176,,,,,,,,,,,,,
,,177,,,,,,,,,,,,,
,,178,,,,,,,,,,,,,
,,179,,,,,,,,,,,,,
,,180,,,,,,,,,,,,,
,,181,,,,,,,,,,,,,
,,182,,,,,,,,,,,,,
,,183,,,,,,,,,,,,,
,,184,,,,,,,,,,,,,
,,185,,,,,,,,,,,,,
,,186,,,,,,,,,,,,,
,,187,,,,,,,,,,,,,
,,188,,,,,,,,,,,,,
,,189,,,,,,,,,,,,,
,,190,,,,,,,,,,,,,
,,191,,,,,,,,,,,,,
,,192,,,,,,,,,,,,,
,,193,,,,,,,,,,,,,
,,194,,,,,,,,,,,,,
,,195,,,,,,,,,,,,,
,,196,,,,,,,,,,,,,
,,197,,,,,,,,,,,,,
,,198,,,,,,,,,,,,,
,,199,,,,,,,,,,,,,
,,200,,,,,,,,,,,,,
,,201,,,,,,,,,,,,,
,,202,,,,,,,,,,,,,
,,203,,,,,,,,,,,,,
,,204,,,,,,,,,,,,,
,,205,,,,,,,,,,,,,
,,206,,,,,,,,,,,,,
,,207,,,,,,,,,,,,,
,,208,,,,,,,,,,,,,
,,209,,,,,,,,,,,,,
,,210,,,,,,,,,,,,,
,,211,,,,,,,,,,,,,
,,212,,,,,,,,,,,,,
,,213,,,,,,,,,,,,,
,,214,,,,,,,,,,,,,
,,215,,,,,,,,,,,,,
,,216,,,,,,,,,,,,,
,,217,,,,,,,,,,,,,
,,218,,,,,,,,,,,,,
,,219,,,,,,,,,,,,,
,,220,,,,,,,,,,,,,
,,221,,,,,,,,,,,,,
,,222,,,,,,,,,,,,,
,,223,,,,,,,,,,,,,
,,224,,,,,,,,,,,,,
,,225,,,,,,,,,,,,,
,,226,,,,,,,,,,,,,
,,227,,,,,,,,,,,,,
,,228,,,,,,,,,,,,,
,,229,,,,,,,,,,,,,
,,230,,,,,,,,,,,,,
,,231,,,,,,,,,,,,,
,,232,,,,,,,,,,,,,
,,233,,,,,,,,,,,,,
,,234,,,,,,,,,,,,,
,,235,,,,,,,,,,,,,
