2月收支财务报表,Unnamed: 3,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 16,Unnamed: 17,Unnamed: 21
,,40,2024-02-25 00:00:00,,,,广告费,800,u,,,
,,41,2024-02-25 00:00:00,酷酷,20000,,,,,,,
,,42,2024-02-25 00:00:00,,,,广告费,5000,u,,,
,,43,2024-02-25 00:00:00,,,,广告费,8160,,,,
,,44,2024-02-25 00:00:00,,,,广告费,7000,u,,,
,,45,2024-02-25 00:00:00,西港,40000,,,,,,,
,,46,2024-02-25 00:00:00,,,,广告账户,542.9,,,,
,,47,2024-02-25 00:00:00,,,,广告费,3060,,,,
,,48,2024-02-25 00:00:00,,,,广告费,8160,,,,
,,49,2024-02-25 00:00:00,,,,BM,3.48,,,,
,,50,2024-02-25 00:00:00,,,,广告费,8160,,,,
,,51,2024-02-25 00:00:00,,,,广告费,3060,,,,
,,52,2024-02-25 00:00:00,西港,40000,,广告费,8000,u,,,
,,53,2024-02-25 00:00:00,,,,广告费,10000,u,,,
,,54,2024-02-26 00:00:00,,,,广告费,10000,u,,,
,,55,2024-02-26 00:00:00,,,,广告账户,1128.6,,,,
,,56,2024-02-26 00:00:00,酷酷,20000,,,,,,,
,,57,2024-02-26 00:00:00,,,,广告费,20000,,,,
,,58,2024-02-26 00:00:00,,,,广告费,10000,,,,
,,59,2024-02-27 00:00:00,,,,广告费,10000,,,,
,,60,2024-02-27 00:00:00,,,,FB个号,20,4,,,
,,61,2024-02-28 00:00:00,西港,10000,,,,,,,
,,62,2024-02-28 00:00:00,,,,矿工费,200,,,,
,,63,2024-02-28 00:00:00,,,,广告费,10000,,,,
,,64,,,,,,,,,,
,,65,,,,,,,,,,
,,66,,,,,,,,,,
,,67,,,,,,,,,,
,,68,,,,,,,,,,
,,69,,,,,,,,,,
,,70,,,,,,,,,,
,,71,,,,,,,,,,
,,72,,,,,,,,,,
,,73,,,,,,,,,,
,,74,,,,,,,,,,
,,75,,,,,,,,,,
,,76,,,,,,,,,,
,,77,,,,,,,,,,
,,78,,,,,,,,,,
,,79,,,,,,,,,,
,,80,,,,,,,,,,
,,81,,,,,,,,,,
,,82,,,,,,,,,,
,,83,,,,,,,,,,
,,84,,,,,,,,,,
,,85,,,,,,,,,,
,,86,,,,,,,,,,
,,87,,,,,,,,,,
,,88,,,,,,,,,,
,,89,,,,,,,,,,
,,90,,,,,,,,,,
,,91,,,,,,,,,,
,,92,,,,,,,,,,
,,93,,,,,,,,,,
,,94,,,,,,,,,,
,,95,,,,,,,,,,
,,96,,,,,,,,,,
,,97,,,,,,,,,,
,,98,,,,,,,,,,
,,99,,,,,,,,,,
,,100,,,,,,,,,,
