10月收支财务报表,Unnamed: 3,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 18,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 27
2099-04-30 00:00:00,,13,2024-10-05 00:00:00,凯旋城三期印度,30000,成成,08:53:00,,,,,,1866,退款（渠道商：FF139&星辰-欧元户5%,,,,
收入,,14,2024-10-05 00:00:00,印度 金融，测户Old K,1990.76,退款,13:57:00,,,,,,4988.35,退款（渠道商：印度测户-黑泽明,,,,
1111450.062,,15,2024-10-05 00:00:00,后勤转入,20660,,13:57:00,后勤转入,52715.34,发fa工资,,,3938.09,退款（渠道商：Shen wade&BM户35+2+1江小南,,,,
支出,,16,2024-10-07 00:00:00,凯旋城三期印度,11502,成成,18:04:00,印度粉测试,10290,~K in,19:08:00,,33351.44,退款（渠道商：凤凰&洛阳&15+1（1200）&8+1（60）,,,,
1015854.304,,17,2024-10-08 00:00:00,,,,,bm5-mingzihaha,140,bm5户35*4=140,11:34:00,,1990.76,退款（渠道商：印度 金融，测户Old K）,,,,
结余,,18,2024-10-08 00:00:00,凤凰&洛阳&15+1（1200）&8+1（60）,30000,退款,18:02:00,,,,,,179526,凯旋城三期印度,329526,,,
95595.75899,,19,2024-10-09 00:00:00,,,,,bm5-mingzihaha,175,bm5户35*5=175,13:10:00,,23298,印度一期9/19,,,,
,,20,2024-10-09 00:00:00,,,,,GF&SHEN美国户 开10u 10%+u1,555,55手续费,13:42:00,,150000,鼎盛专用广告费,,,,
,,21,2024-10-09 00:00:00,,,,,bm5-mingzihaha,175,bm5户35*5=175,1900-01-15 06:28:48,,16644,意大利蟑螂哥,,,,
,,22,2024-10-09 00:00:00,,,,,启航广告费,8174.09,启航,18:20:00,,9045,德国股粉对接群,,,,
,,23,2024-10-09 00:00:00,,,,,账单户广告费,2000.72,账单户,18:25:00,,300000,新印度4期,,,,
,,24,2024-10-10 00:00:00,,,,,BM户测试大白&,160,4个开户费,08:12:00,合并转款,26000,土耳其/A李信,,,,
,,25,2024-10-10 00:00:00,,,,,BM户测试大白&,1140,LT - 04469 - Gf-USD-22( 8) 332 ,08:12:00,合并转款,66700,印度17期,,,,
,,26,2024-10-10 00:00:00,,,,,BM户测试大白&,5700,"LT - 04469 - Gf-USD-25(+8) 335 (1056817212636571)再充值3000
LT - 04469 - Gf-USD-22( 8) 332 (536985655554367)再充值2000",10:17:00,,200000,印度18期,233121,,,
,,27,2024-10-10 00:00:00,,,,,Shen wade&BM户35+2+1江小南,1170,35*4+1000*1.03=1170,10:26:00,,971213,,,,,
,,28,2024-10-10 00:00:00,,,,,广告配套,90,欧洲IP：9*10=90,10:46:00,,,,,,,
,,29,2024-10-10 00:00:00,,,,,Shen wade&BM户35+2+1江小南,3300,35*6+500*6*1.03=3300,12:12:00,开户费35*6=210,,,,,,
,,30,2024-10-10 00:00:00,,,,,BM户测试大白&,2280,RF - 04469 Gf-USD-02(+8) 209 372505352366095,12:15:00,,,,,,,
,,31,2024-10-10 00:00:00,,,,,广告配套,0.23,谷歌邮箱,13:51:00,,,,,,,
,,32,2024-10-10 00:00:00,,,,,十月二不限-泰华,909,"Xingm-18
编号: 8869381796416185
充值：300

Xingm-19
编号: 459265433824967
充值：300

Xingm-20
编号: 2002146643576258
充值：300",14:03:00,,106624,凤凰&洛阳&15+1（1200）&8+1（60）,147767.8,,,
,,33,2024-10-10 00:00:00,,,,,GF&SHEN美国户 开10u 10%+u1,1130,1000*1.11=1110   1110+20=1130,14:22:00,,41143.8,凤凰&洛阳&10月,,,,
,,34,2024-10-10 00:00:00,鼎盛专用广告费,100000,,14:37:00,十月二不限-泰华,1527,"Xingm-18
编号: 8869381796416185
充值500

Xingm-19
编号: 459265433824967
充值500

Xingm-20
编号: 2002146643576258
充值500",17:02:00,开户费12,20111.5375,GT2&SHEN 欧 4%+u1,,,,
,,35,2024-10-11 00:00:00,,,,,GF&SHEN美国户 开10u 10%+u1,1110,LT - 04469 - Gf-USD-26(+8) 336 1000*1.11=1110,11:31:00,,35254.09,GF&SHEN美国户 开10u 10%+u1,,,,
,,36,2024-10-11 00:00:00,,,,,BM户测试大白&,5700,LT - 04469 - Gf-USD-24(+8) 334 1588711295191636,11:36:00,,16992.9,GT&SHEN 台湾户 开 20 10%u1,,,,
,,37,2024-10-11 00:00:00,,,,,BM户测试大白&,1140,RF - 04469 Gf-USD-04(+8) 207 373635832294866 ,14:04:00,,286627.73,启航广告费,转款有一个点u损,,,
,,38,2024-10-11 00:00:00,,,,,启航广告费,10000,启航,15:09:00,,31344.74,BM户测试大白&,31794.74,,,
,,39,2024-10-11 00:00:00,,,,,GF&SHEN美国户 开10u 10%+u1,20.2,2个开户手续费,18:14:00,,10290,印度粉测试代投,15540,,,
,,40,2024-10-11 00:00:00,,,,,十月二不限-泰华,1419,手续费,18:39:00,,490,bm5-mingzihaha,,,,
,,41,2024-10-12 00:00:00,意大利蟑螂哥,4301,,03：41,十月二不限-泰华,1111,,10:57:00,,22006.16,账单户广告费,,,,
,,42,2024-10-12 00:00:00,,,,,账单户广告费,1000.37,,13:24:00,,4470,Shen wade&BM户35+2+1江小南,,,,
,,43,2024-10-12 00:00:00,,,,,三不限-泰华709-Sherry,120,开户费,16:37:00,,2594.69,广告配套,,,,
,,44,2024-10-12 00:00:00,,,,,十月二不限-泰华,3168,,18：15,,88387.9,十月二不限-泰华,,,,
,,45,2024-10-13 00:00:00,意大利蟑螂哥,5598,,03：23,账单户广告费,1500.04,,12:18:00,,1905,三不限-泰华709-Sherry,欧洲三不限-泰华709,,,
,,46,2024-10-13 00:00:00,,,,,BM户测试大白&,2524.74,LT - 04469 - Gf-USD-25(+8) 335 (1056817212636571)充值3000,22:27:00,,254,狗头账单户,,,,
,,47,2024-10-13 00:00:00,,,,,账单户广告费,1000.95,,23:37:00,,5492.25,印度测户-黑泽明,已退款,,,
,,48,2024-10-14 00:00:00,,,,,GF&SHEN美国户 开10u 10%+u1,1681.07,"RF - 04469 Gf-USD-07(+8) 204 (318533944174079)
LT - 04469 Gf-USD-342 (-8) 0401  2134746810316208",10:11:00,,25875,越南户测试-船奇,泡泡,,,
,,49,2024-10-14 00:00:00,,,,,GF&SHEN美国户 开10u 10%+u1,1110,LT - 04469 Gf-USD-343 (-8) 0400  4054205168179144,10:16:00,,7150,博程-欧洲美金户-泰华,泡泡,,,
,,50,2024-10-14 00:00:00,,,,,BM户测试大白&,5700,LT - 04469 - Gf-USD-24(+8) 334  1588711295191636,11:53:00,,20260,FA-泰华印度1016（A-JIE） ,,,,
,,51,2024-10-14 00:00:00,,,,,GF&SHEN美国户 开10u 10%+u1,3330,LT - 04469 Gf-USD-343 (-8) 0400  4054205168179144   充3000,14:03:00,,4200,斯特普思-泰华,,,,
,,52,2024-10-14 00:00:00,,,,,BM户测试大白&,2280,LT - 04469 - Gf-USD-25(+8) 335 (1056817212636571)再充值2000,14:22:00,,110069.8,深圳芳林子@SHEN 户,,,,
,,53,2024-10-14 00:00:00,,,,,GF&SHEN美国户 开10u 10%+u1,1111.23,RF - 04469 Gf-USD-07(+8) 204 (318533944174079)充值1000那就是目前的欠款 1.11+你充值的1000=1001.11*1.11=1111.23  打款这么多,14:16:00,,1070.6,BH欧洲户-泰华-欧洲企业户-6+1,11/5号退款,,,
,,54,2024-10-14 00:00:00,,,,,广告配套,90,美国IP*10,15:28:00,,1051.26,Fb966半限户-啊噗,,,,
,,55,2024-10-14 00:00:00,,,,,广告配套,423.77,耐用号*10,15:51:00,,3660,邻点美国三不限户,已退款300,,,
,,56,2024-10-14 00:00:00,,,,,三不限-泰华709-Sherry,1785,下户费：180+充值3x500+服务费105=1785,16:03:00,,1832.52,Chris Ryan&二不限,,,,
,,57,2024-10-14 00:00:00,Shen wade&BM户35+2+1江小南,3938.09,退款,16：43,狗头账单户,254,5个半限,17:07:00,,1256.986,印度企业户100u➕14%扎克伯克,,,,
,,58,2024-10-15 00:00:00,意大利蟑螂哥,3325,,02:47:00,印度测户-黑泽明,2701.75,2500*1.07*1.01=2701.75,14:20:00,,850414.9635,,,,,
,,59,2024-10-15 00:00:00,,,,,GF&SHEN美国户 开10u 10%+u1,5550,LT - 04469 Gf-USD-342 (-8) 0401  2134746810316208,15:31:00,,,,,,,
,,60,2024-10-15 00:00:00,德国股粉对接群,3375,老九,15:16:00,账单户广告费,2000.99,,16:38:00,,,,,,,
,,61,2024-10-15 00:00:00,,,,,越南户测试-船奇,2875,2500*1.05=2625+50=2675+200定金=2875,18:42:00,,,,,,,
,,62,2024-10-16 00:00:00,,,,,广告配套,762,50.8*15=762u,11:25:00,,,,,,,
,,63,2024-10-16 00:00:00,,,,,账单户广告费,2000.02,,13:32:00,,,,,,,
,,64,2024-10-16 00:00:00,,,,,广告配套,210.69,耐用号*5,14:11:00,,,,,,,
,,65,2024-10-16 00:00:00,,,,,广告配套,45,美国IP*5,14:13:00,,,,,,,
,,66,2024-10-16 00:00:00,,,,,广告配套,90,美国IP*10续费,14:28:00,,,,,,,
,,67,2024-10-16 00:00:00,印度测户-黑泽明,2540.35,540.35➕2000等于2540.35,17:02:00,,,,,,,,,,,
,,68,2024-10-17 00:00:00,,,,,博程-欧洲美金户-泰华,10,,11:24:00,,,,,,,
,,69,2024-10-17 00:00:00,,,,,博程-欧洲美金户-泰华,5990,5000*1.15=5750+250=6000,11:29:00,,,,,,,
,,70,2024-10-17 00:00:00,,,,,GF&SHEN美国户 开10u 10%+u1,5650,开户费10*10=100  5550+100=5650,11:57:00,,,,,,,
,,71,2024-10-17 00:00:00,,,,,GT&SHEN 台湾户 开 20 10%u1,1150,1000×1.11=1110+40=1150,13:15:00,,,,,,,
,,72,2024-10-17 00:00:00,,,,,印度测户-黑泽明,2790.5,2000+500*1.07*1.01+250（开户费）=2790.5,13:51:00,,,,,,,
,,73,2024-10-17 00:00:00,,,,,十月二不限-泰华,588,,14:16:00,,,,,,,
,,74,2024-10-17 00:00:00,,,,,十月二不限-泰华,1159,,18:41:00,,,,,,,
,,75,2024-10-17 00:00:00,,,,,FA-泰华印度1016,2800,500*5*1.12=2800,19:15:00,,,,,,,
,,76,2024-10-17 00:00:00,,,,,启航广告费,10000,启航,22:53:00,,,,,,,
,,77,2024-10-18 00:00:00,,,,,GT&SHEN 台湾户 开 20 10%u1,1100,1000×1.10=1100,14:32:00,,,,,,,
,,78,2024-10-18 00:00:00,,,,,十月二不限-泰华,1291,,17：36,,,,,,,
,,79,2024-10-18 00:00:00,,,,,斯特普思-泰华,420,60*7=420,19：19,,,,,,,
,,80,2024-10-18 00:00:00,,,,,十月二不限-泰华,614,,20：35,,,,,,,
,,81,2024-10-19 00:00:00,,,,,GT&SHEN 台湾户 开 20 10%u1,987.9,打款890*1.11=987.9,13:25:00,,,,,,,
,,82,2024-10-19 00:00:00,,,,,十月二不限-泰华,1573,,15：26,,,,,,,
,,83,2024-10-19 00:00:00,,,,,启航广告费,10000,启航,23:11:00,,,,,,,
,,84,2024-10-20 00:00:00,,,,,深圳芳林子@SHEN 户,1111,1000*1.1*1.01=1111,09:03:00,,,,,,,
,,85,2024-10-20 00:00:00,,,,,GT&SHEN 台湾户 开 20 10%u1,1111,1000*1.1*1.01=1111,09:38:00,,,,,,,
,,86,2024-10-20 00:00:00,,,,,十月二不限-泰华,1445,,12:33:00,,,,,,,
,,87,2024-10-20 00:00:00,,,,,Chris Ryan&二不限 麦芽互动 下户-西柚,999,900*1.01=909+45*2=999,13:52:00,,,,,,,
,,88,2024-10-20 00:00:00,,,,,广告配套,228,防护，圣盾,15:22:00,,,,,,,
,,89,2024-10-20 00:00:00,,,,,斯特普思-泰华,2700,2500*1.08=2700，64 (1438923226716919),16:02:00,,,,,,,
,,90,2024-10-20 00:00:00,,,,,GT&SHEN 台湾户 开 20 10%u1,1332,1200*1.11=1332,16：41,,,,,,,
,,91,2024-10-20 00:00:00,鼎盛专用广告费,50000,,20:25:00,GT&SHEN 台湾户 开 20 10%u1,4440,YLG-GT-SHEN-1019-01(+8) (1754657002021877)充值4000,22:03:00,,,,,,,
,,92,2024-10-21 00:00:00,,,,,十月二不限-泰华,1133,,09:42:00,,,,,,,
,,93,2024-10-21 00:00:00,,,,,博程-欧洲美金户-泰华,1150,LT - 04469 - Gf-USD-12(+8) 423  1058145169313233充1000,13:35:00,,,,,,,
,,94,2024-10-21 00:00:00,,,,,GF&SHEN美国户 开10u 10%+u1,1650,"1500*1.1=1,650",13:51:00,,,,,,,
,,95,2024-10-21 00:00:00,,,,,BH欧洲户-泰华-欧洲企业户-6+1,1070.6,1000*1.06*1.01=1070.6,17:14:00,,,,,,,
,,96,2024-10-21 00:00:00,,,,,斯特普思-泰华,1080,,18:17:00,,,,,,,
,,97,2024-10-21 00:00:00,,,,,Fb966半限户-啊噗,211.26,1500/7.1=211.26,18:53:00,,,,,,,
,,98,2024-10-21 00:00:00,,,,,启航广告费,15000,,20:20:00,,,,,,,
,,99,2024-10-21 00:00:00,凤凰&洛阳&15+1（1200）&8+1（60）,3351.44,退款,23：40,十月二不限-泰华,1521,,23：56,,,,,,,
,,100,2024-10-22 00:00:00,,,,,十月二不限-泰华,1617,,08:19:00,,,,,,,
,,101,2024-10-22 00:00:00,,,,,广告配套,450,美国IP*50,14:28:00,,,,,,,
,,102,2024-10-22 00:00:00,,,,,十月二不限-泰华,1353,,14：41,,,,,,,
,,103,2024-10-22 00:00:00,FF139&星辰-欧元户5%,1866,退款,15:13:00,FA-泰华印度1016,3360,2000*1.12=2240+1120=3360u,16:02:00,,,,,,,
,,104,2024-10-22 00:00:00,,,,,启航广告费,15000,,16:06:00,,,,,,,
,,105,2024-10-22 00:00:00,,,,,账单户广告费,2000.6,,16:48:00,,,,,,,
,,106,2024-10-22 00:00:00,,,,,广告配套,5,个号申诉L736,19:18:00,,,,,,,
,,107,2024-10-22 00:00:00,印度4期,50000,叶凡,19：28,启航广告费,10000,,19:51:00,,,,,,,
,,108,2024-10-22 00:00:00,,,,,十月二不限-泰华,3557,,20:36:00,,,,,,,
,,109,2024-10-22 00:00:00,,,,,深圳芳林子@SHEN 户,1111,,21:33:00,,,,,,,
,,110,2024-10-22 00:00:00,,,,,凤凰&洛阳&10月,4960,,22：53,,,,,,,
,,111,2024-10-22 00:00:00,,,,,十月二不限-泰华,3376,,23：23,,,,,,,
,,112,2024-10-23 00:00:00,,,,,广告配套,200,矿工费,08:43:00,,,,,,,
,,113,2024-10-23 00:00:00,,,,,邻点美国三不限户,10,10户,09:18:00,,,,,,,
,,114,2024-10-23 00:00:00,,,,,邻点美国三不限户,290,10户,09:24:00,,,,,,,
,,115,2024-10-23 00:00:00,,,,,启航广告费,15000,,09:55:00,,,,,,,
,,116,2024-10-23 00:00:00,,,,,FA-泰华印度1016,2900,,10:49:00,,,,,,,
,,117,2024-10-23 00:00:00,,,,,GT&SHEN 台湾户 开 20 10%u1,1111,,10:50:00,,,,,,,
,,118,2024-10-23 00:00:00,,,,,十月二不限-泰华,2265,,11:19:00,,,,,,,
,,119,2024-10-23 00:00:00,,,,,邻点美国三不限户,1575,,15:58:00,,,,,,,
,,120,2024-10-23 00:00:00,,,,,邻点美国三不限户,1575,,16：33,,,,,,,
,,121,2024-10-23 00:00:00,,,,,深圳芳林子@SHEN 户,2222,,18:31:00,,,,,,,
,,122,2024-10-23 00:00:00,,,,,十月二不限-泰华,4999,,19：16,,,,,,,
,,123,2024-10-23 00:00:00,印度4期,50000,叶凡,21：18,越南户测试-船奇,23000,白户,21:11:00,,,,,,,
,,124,2024-10-23 00:00:00,,,,,GT2&SHEN 欧 4%+u1,2100,,21：13,,,,,,,
,,125,2024-10-23 00:00:00,,,,,启航广告费,15000,,21：18,,,,,,,
,,126,2024-10-23 00:00:00,,,,,十月二不限-泰华,1367,,23：07,,,,,,,
,,127,2024-10-23 00:00:00,,,,,邻点美国三不限户,210,,23：13,,,,,,,
,,128,2024-10-24 00:00:00,,,,,十月二不限-泰华,3182,,09:06:00,,,,,,,
,,129,2024-10-24 00:00:00,,,,,深圳芳林子@SHEN 户,3333,3000*1.10*1.01=3333,09：46,,,,,,,
,,130,2024-10-24 00:00:00,,,,,十月二不限-泰华,4190,,17：39,,,,,,,
,,131,2024-10-24 00:00:00,,,,,深圳芳林子@SHEN 户,3333,3000*1.10*1.01=3333,17：45,,,,,,,
,,132,2024-10-24 00:00:00,印度4期,50000,叶凡,18：04,启航广告费,40000,,18：12,,,,,,,
,,133,2024-10-24 00:00:00,,,,,GT&SHEN 台湾户 开 20 10%u1,1210,20*5=100  100+200*5*1.11=1210,22:12:00,,,,,,,
,,134,2024-10-24 00:00:00,,,,,GT2&SHEN 欧 4%+u1,3150,3000*1.05=3150,,,,,,,,
,,135,2024-10-24 00:00:00,,,,,十月二不限-泰华,1672,,23：38,,,,,,,
,,136,2024-10-24 00:00:00,,,,,账单户广告费,1500.11,,23：43,,,,,,,
,,137,2024-10-25 00:00:00,,,,,十月二不限-泰华,495,,14:00:00,,,,,,,
,,138,2024-10-25 00:00:00,印度测户-黑泽明,2448,退款,14:08:00,,,,,,,,,,,
,,139,2024-10-25 00:00:00,印度4期,50000,叶凡,14:36:00,深圳芳林子@SHEN 户,5555,5000*1.10*1.01=5555,14:41:00,,,,,,,
,,140,2024-10-25 00:00:00,,,,,FA-泰华印度1016,6720,,14:42:00,,,,,,,
,,141,2024-10-25 00:00:00,,,,,GT2&SHEN 欧 4%+u1,7511.5375,6009.23/0.84=7153.845238×1.05=7511.5375,14:44:00,,,,,,,
,,142,2024-10-25 00:00:00,,,,,启航广告费,30000,,14:45:00,,,,,,,
,,143,2024-10-25 00:00:00,,,,,深圳芳林子@SHEN 户,1111,Vys_FBCL13，1000*1.10*1.01=1111,14:56:00,,,,,,,
,,144,2024-10-25 00:00:00,,,,,深圳芳林子@SHEN 户,1111,Vys_FBCL11，1000*1.10*1.01=1111,15:33:00,,,,,,,
,,145,2024-10-25 00:00:00,印度4期,100000,叶凡,15:44:00,FA-泰华印度1016,4480,4000*1.12=4480,16:03:00,,,,,,,
,,146,2024-10-25 00:00:00,,,,,GT2&SHEN 欧 4%+u1,3150,3000*1.05=3150,16:04:00,,,,,,,
,,147,2024-10-25 00:00:00,,,,,启航广告费,20000,,16:06:00,,,,,,,
,,148,2024-10-25 00:00:00,,,,,Fb966半限户-啊噗,210,,17:57:00,,,,,,,
,,149,2024-10-25 00:00:00,,,,,十月二不限-泰华,3411,,18:16:00,,,,,,,
,,150,2024-10-25 00:00:00,,,,,启航广告费,31539.84,,19：44,,,,,,,
,,151,2024-10-25 00:00:00,,,,,深圳芳林子@SHEN 户,5555,5000*1.10*1.01=5555,22:30:00,,,,,,,
,,152,2024-10-25 00:00:00,,,,,十月二不限-泰华,3442.5,,23:11:00,,,,,,,
,,153,2024-10-26 00:00:00,,,,,十月二不限-泰华,2775.4,,10:06:00,,,,,,,
,,154,2024-10-26 00:00:00,,,,,深圳芳林子@SHEN 户,5555,5000*1.10*1.01=5555,14:19:00,,,,,,,
,,155,2024-10-26 00:00:00,,,,,十月二不限-泰华,2315,,16：54,,,,,,,
,,156,2024-10-26 00:00:00,,,,,深圳芳林子@SHEN 户,5555,5000*1.10*1.01=5555,17：21,,,,,,,
,,157,2024-10-26 00:00:00,,,,,账单户广告费,2000.84,,22：03,,,,,,,
,,158,2024-10-26 00:00:00,土耳其/A李信,3250,,23:33:00,,,,,,,,,,,
,,159,2024-10-27 00:00:00,,,,,十月二不限-泰华,1231,,09:54:00,,,,,,,
,,160,2024-10-27 00:00:00,,,,,账单户广告费,2000.48,,09:58:00,,,,,,,
,,161,2024-10-27 00:00:00,,,,,深圳芳林子@SHEN 户,5555,5000*1.10*1.01=5555,10:17:00,,,,,,,
,,162,2024-10-27 00:00:00,邻点美国三不限户,300,退款,19:21:00,十月二不限-泰华,2591,,19:21:00,,,,,,,
,,163,2024-10-27 00:00:00,印度18期,100000,,19:58:00,凤凰&洛阳&10月,12030,,23:39:00,,,,,,,
,,164,2024-10-28 00:00:00,,,,,GT2&SHEN 欧 4%+u1,4200,,09:15:00,,,,,,,
,,165,2024-10-28 00:00:00,,,,,十月二不限-泰华,1352,,09:25:00,,,,,,,
,,166,2024-10-28 00:00:00,,,,,深圳芳林子@SHEN 户,4444,,12:54:00,,,,,,,
,,167,2024-10-28 00:00:00,,,,,十月二不限-泰华,3820,,16:23:00,,,,,,,
,,168,2024-10-28 00:00:00,,,,,启航广告费,20000,,17:57:00,,,,,,,
,,169,2024-10-28 00:00:00,,,,,凤凰&洛阳&10月,24153.8,,19:06:00,,,,,,,
,,170,2024-10-28 00:00:00,,,,,GF&SHEN美国户 开10u 10%+u1,3436.59,,19:29:00,,,,,,,
,,171,2024-10-28 00:00:00,,,,,深圳芳林子@SHEN 户,2222,,22:01:00,,,,,,,
,,172,2024-10-29 00:00:00,,,,,十月二不限-泰华,6464,,09:25:00,,,,,,,
,,173,2024-10-29 00:00:00,,,,,深圳芳林子@SHEN 户,3333,,10:34:00,,,,,,,
,,174,2024-10-29 00:00:00,,,,,深圳芳林子@SHEN 户,3333,,10:36:00,,,,,,,
,,175,2024-10-29 00:00:00,,,,,GT&SHEN 台湾户 开 20 10%u1,1776,1600*1.11=1776,11:26:00,,,,,,,
,,176,2024-10-29 00:00:00,印度17期,66700,小柒,13:52:00,账单户广告费,1000.12,,12:46:00,,,,,,,
,,177,2024-10-29 00:00:00,印度18期,100000,小柒,13:53:00,,,,,,,,,,,
,,178,2024-10-29 00:00:00,斯特普思-泰华,802,退款,13:55:00,启航广告费,10000,,14:02:00,,,,,,,
,,179,2024-10-29 00:00:00,,,,,GT&SHEN 台湾户 开 20 10%u1,555,,15:55:00,,,,,,,
,,180,2024-10-29 00:00:00,,,,,深圳芳林子@SHEN 户,1111,,16:34:00,,,,,,,
,,181,2024-10-29 00:00:00,土耳其/A李信,6500,65*100=6500,17:53:00,Fb966半限户-啊噗,210,,17:53:00,,,,,,,
,,182,2024-10-29 00:00:00,,,,,深圳芳林子@SHEN 户,2222,,18:44:00,,,,,,,
,,183,2024-10-29 00:00:00,,,,,十月二不限-泰华,1794,,18:50:00,,,,,,,
,,184,2024-10-29 00:00:00,,,,,启航广告费,19651.99,,20:49:00,,,,,,,
,,185,2024-10-29 00:00:00,,,,,深圳芳林子@SHEN 户,3333,3000*1.1*1.01=3333,20:56:00,,,,,,,
,,186,2024-10-29 00:00:00,,,,,深圳芳林子@SHEN 户,2222,2000*1.1*1.01=2222,21:10:00,,,,,,,
,,187,2024-10-29 00:00:00,,,,,账单户广告费,2000.3,,21:33:00,,,,,,,
,,188,2024-10-30 00:00:00,意大利蟑螂哥,3420,,12:45:00,深圳芳林子@SHEN 户,3333,3000*1.1*1.01=3333,13:35:00,,,,,,,
,,189,2024-10-30 00:00:00,,,,,GF&SHEN美国户 开10u 10%+u1,3330,3000*1.11=3330,14:25:00,,,,,,,
,,190,2024-10-30 00:00:00,,,,,十月二不限-泰华,1077,,14:38:00,,,,,,,
,,191,2024-10-30 00:00:00,,,,,深圳芳林子@SHEN 户,3333,3000*1.1*1.01=3333,16:27:00,,,,,,,
,,192,2024-10-30 00:00:00,德国股粉对接群,5670,老九,16:01:00,GF&SHEN美国户 开10u 10%+u1,1110,1000*1.11=1110,17:57:00,,,,,,,
,,193,2024-10-30 00:00:00,土耳其/A李信,3250,65*50=3250,18:16:00,GF&SHEN美国户 开10u 10%+u1,1110,1000*1.11=1110,19:31:00,,,,,,,
,,194,2024-10-30 00:00:00,,,,,深圳芳林子@SHEN 户,11110,10000*1.1*1.01=11110,20:22:00,,,,,,,
,,195,2024-10-30 00:00:00,,,,,GF&SHEN美国户 开10u 10%+u1,1110,1000*1.11=1110,20:54:00,,,,,,,
,,196,2024-10-30 00:00:00,,,,,GT&SHEN 台湾户 开 20 10%u1,1110,1000*1.11=1110,21:00:00,,,,,,,
,,197,2024-10-30 00:00:00,,,,,GT&SHEN 台湾户 开 20 10%u1,1110,1000*1.11=1110,23:07:00,,,,,,,
,,198,2024-10-30 00:00:00,,,,,十月二不限-泰华,5798,,23:10:00,,,,,,,
,,199,2024-10-31 00:00:00,,,,,Chris Ryan&二不限 麦芽互动 下户-西柚,833.52,(904.22-70)*1.01=833.52u,23:50:00,,,,,,,
,,200,2024-10-31 00:00:00,,,,,深圳芳林子@SHEN 户,8888,（5000+3000）*1.10*1.01=8888,12:53:00,,,,,,,
