2025年12月收支财务报表,Unnamed: 3,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 18,Unnamed: 19,Unnamed: 21,Unnamed: 22
支出,,16,2025-12-04 00:00:00,,,,,志诚三不限,1279.57,"182.1+1248.7+19*50+1690+1061.9-3853.13=1,279.57",19:00:00,,213,"Anthony - FKZ - 6,5%",0.0,TK下户hailey
198049.1904,,17,2025-12-04 00:00:00,,,,,谷歌共享户/老户,1100,500*2*1.10=1100,21：02,,105,Lolo - FKZ (~5% | dating),,
结余,,18,2025-12-04 00:00:00,,,,,路人互动,221.12,（500-433.53）*1.07+开户费50*3=221.12,21:07:00,,396,十月二不限——（泰华）,0.0,SZ-2_TK广告户-村长
22027.4362,,19,2025-12-05 00:00:00,F2新加坡,2400,,22:58:00,广告配套,255.1329,VPN续费,10:22:00,,483,二不限企业户Makie,,
,,20,2025-12-05 00:00:00,,,,,fb三不限10➕1Nancy,599.95,（500-4.99）*1.1*1.01+开户费50=599.95,11:15:00,,8226.19,凤凰渠道-泰华,,
,,21,2025-12-05 00:00:00,,,,,fb三不限10➕1Nancy,630.25,500*1.05*1.01+开户费50*2=630.25,13:51:00,,2167.81,风口猪12月充值广告费,,
,,22,2025-12-05 00:00:00,,,,,广告配套,14,认证主页+普通主页,18:14:00,,54600,流苏,,
,,23,2025-12-05 00:00:00,,,,,广告配套,2277.23,明细：个号：60；中文认证主页：12；认证主页：109；主页：2；复审主页：6；复审BM：10,18:19:00,,23250,岳总,,
,,24,2025-12-06 00:00:00,,,,,GT&papa欧,140,开户费20*7=140,14:28:00,,29160,渠道106-本土fb🇯🇵,,
,,25,2025-12-06 00:00:00,,,,,Y-5208 FB欧/美户,737.78,其中SZ 500*1.11=555；DUNG备用金：500；Mad-shahe备用金：500；RED待付：（425.42-500）*1.11=82.78；ne待付：500*1.11=555；SP待付 ：1100；总待付：82.78+555+1100-500-500=737.78,15:08:00,,2200,华侨粉测试 ,,
,,26,2025-12-06 00:00:00,,,,,星链-AdNova,2166.93,"SZ 开户费5*60+(1200-少算100-804.69)*1.08+上面的1,548.01=2,166.94",16:43:00,,12405,印度资金测试,,
,,27,2025-12-07 00:00:00,海总-新加坡、加拿大,4000,,19:47:00,,,,,,326.33,官方授权户-15,,
,,28,2025-12-08 00:00:00,,,,,大鱼速汇,101,100*1.01=101,10:37:00,,,,,
,,29,2025-12-08 00:00:00,印度资金测试,20000,,15:32:00,谷歌-饭团,373.2375,(500-163.75)*1.11=373.2375,15:55:00,,,,,
,,30,2025-12-08 00:00:00,,,,,大鱼速汇,101,100*1.01=101,16:22:00,,,,,
,,31,2025-12-08 00:00:00,,,,,Y-5208 FB欧/美户,550,500*1.1=550,16:57:00,,,,,
,,32,2025-12-08 00:00:00,,,,,B哥&谷歌充值9➕1Nancy,320,200*1.1+开户费100=320,17:25:00,,,,,
,,33,2025-12-08 00:00:00,华侨老头粉,2200,,21:06:00,华侨粉测试 ,1100,,21:21:00,,,,,
,,34,2025-12-09 00:00:00,,,,,路人互动系统,107.17,100*1.07+随机金额0.17=107.17,10:41:00,,198049.1904,0,,
,,35,2025-12-09 00:00:00,,,,,大鱼速汇,202,200*1.01=202,16:08:00,,,,,
,,36,2025-12-09 00:00:00,,,,,GT&papa欧,283.84,SZ (50-29.6)*1.09=22.24；ZZ 240*1.09=261.6,16:32:00,,往上支出-------------------分割线-------------------往下收入,,,
,,37,2025-12-09 00:00:00,海总-新加坡、加拿大,10000,,17:06:00,广告配套,25,BM*5,20:06:00,,,,,
,,38,2025-12-10 00:00:00,,,,,GT&papa欧,109,100*1.09=109,10:36:00,,48000,海总-新加坡、加拿大,,
,,39,2025-12-10 00:00:00,,,,,广告配套,25,BM*5,10:55:00,,20900,F2新加坡,,
,,40,2025-12-10 00:00:00,,,,,"Anthony - FKZ - 6,5%",213,200*1.065=213,15:24:00,,20000,印度资金测试,,
,,41,2025-12-10 00:00:00,,,,,华侨粉测试 ,1100,,15:29:00,,2200,华侨老头粉,,
,,42,2025-12-10 00:00:00,,,,,Lolo - FKZ (~5% | dating),105,100*1.05=105U,16:01:00,,90000,渠道106-不土FB🇯🇵,,
,,43,2025-12-10 00:00:00,,,,,风口猪充值广告费,4687.84,10-11月支出的广告费：共计：4687.84,17:28:00,,3900,F2加拿大TK,,
,,44,2025-12-10 00:00:00,,,,,十月二不限——（泰华）,396,300*1.02+30*3开户费=396,17:48:00,,3200,巴西1期,,
,,45,2025-12-10 00:00:00,,,,,大鱼速汇,202,200*1.01=202,19:06:00,,,,,
,,46,2025-12-10 00:00:00,,,,,广告配套,288.86,IP: 40个,20:30:00,,,,,
,,47,2025-12-10 00:00:00,,,,,谷歌-饭团,666,600*1.11=666,20:39:00,,,,,
,,48,2025-12-11 00:00:00,,,,,路人互动系统,107.25,100*1.07+随机金额0.25=107.25,15:40:00,,,,,
,,49,2025-12-11 00:00:00,,,,,广告配套,25,BM*5,16:03:00,,,,,
,,50,2025-12-11 00:00:00,海总-新加坡、加拿大,10000,,16:18:00,渠道106-本土fb🇯🇵,29160,10-11月的退款,18:21:00,,1448.89,路人互动,,
,,51,2025-12-11 00:00:00,,,,,二不限企业户,483,471.23 *1.025=483,19:14:00,,998,谷歌共享户/老户,,
,,52,2025-12-11 00:00:00,渠道106-不土FB🇯🇵,18000,,19:32:00,岳总,7500,,19:47:00,,2067.02,启航,,
,,53,2025-12-12 00:00:00,F2新加坡,6000,,00:19:00,谷歌-饭团,1221,1100*1.11=1221,19:38:00,,355.971,华侨粉测试 ,,
,,54,2025-12-13 00:00:00,印度企业户 欧洲美金户下户,990.25,,20:49:00,广告配套,25,BM*5,11:06:00,,990.25,印度企业户 欧洲美金户下户,,
,,55,2025-12-13 00:00:00,,,,,广告配套,12.05,谷歌邮箱*8,11:23:00,,26016.4956,11月结余,,
,,56,2025-12-13 00:00:00,F2新加坡,6000,,21:31:00,,,,,,220076.6266,,,
,,57,2025-12-13 00:00:00,渠道106-不土FB🇯🇵,18000,,22:06:00,流苏,7500,,23:30:00,,,0,,
,,58,2025-12-14 00:00:00,,,,,岳总,8550,,14:00:00,,,,,
,,59,2025-12-14 00:00:00,,,,,凤凰渠道-泰华,3107.96,3700+706-1298.04=3107.96,16:26:00,,,,,
,,60,2025-12-14 00:00:00,渠道106-不土FB🇯🇵,18000,,19:57:00,,,,,,,,,
,,61,2025-12-15 00:00:00,,,,,星链-AdNova,3462.9,"(4100-893.62)*1.08+0.01=3,462.9",10:22:00,,,,,
,,62,2025-12-15 00:00:00,,,,,流苏,7500,,10:40:00,,,,,
,,63,2025-12-15 00:00:00,,,,,广告配套,25,BM*5,11:13:00,,,,,
,,64,2025-12-15 00:00:00,,,,,广告配套,1450,明细：个号：40；认证主页：68；复审主页：1；BM：1；中文认证主页：5；TK白号：3；复审BM：15,11:22:00,,,,,
,,65,2025-12-15 00:00:00,,,,,后勤支出,10,发工资,15:33:00,,,,,
,,66,2025-12-15 00:00:00,,,,,后勤支出,1126.76,发工资,15:38:00,,,,,
,,67,2025-12-15 00:00:00,,,,,后勤支出,720.23,发工资,15:40:00,,,,,
,,68,2025-12-15 00:00:00,,,,,后勤支出,1126.76,发工资,15:44:00,,,,,
,,69,2025-12-15 00:00:00,,,,,后勤支出,10,发工资,15:45:00,,,,,
,,70,2025-12-15 00:00:00,,,,,后勤支出,10,发工资,15:47:00,,,,,
,,71,2025-12-15 00:00:00,,,,,后勤支出,263.38,发工资,15:53:00,,,,,
,,72,2025-12-15 00:00:00,,,,,后勤支出,566.5,发工资,15:55:00,,,,,
,,73,2025-12-15 00:00:00,,,,,后勤支出,950.62,发工资,15:58:00,,,,,
,,74,2025-12-15 00:00:00,,,,,后勤支出,1524.08,发工资,16:00:00,,,,,
,,75,2025-12-15 00:00:00,,,,,后勤支出,2512.52,发工资,16:02:00,,,,,
,,76,2025-12-15 00:00:00,,,,,后勤支出,685.69,发工资,16:04:00,,,,,
,,77,2025-12-15 00:00:00,,,,,后勤支出,10,发工资,16:08:00,,,,,
,,78,2025-12-15 00:00:00,,,,,后勤支出,644.89,发工资,16:09:00,,,,,
,,79,2025-12-15 00:00:00,,,,,后勤支出,869.71,发工资,16:12:00,,,,,
,,80,2025-12-15 00:00:00,,,,,后勤支出,5000,发工资,16:14:00,,,,,
,,81,2025-12-15 00:00:00,,,,,后勤支出,703.62,发工资,16:16:00,,,,,
,,82,2025-12-15 00:00:00,华侨粉测试 ,355.971,,17:07:00,后勤支出,144.93,发工资,17:09:00,,,,,
,,83,2025-12-15 00:00:00,,,,,GT&papa欧,20,开户费20,17:21:00,,,,,
,,84,2025-12-15 00:00:00,海总-新加坡、加拿大,10000,,17：21,后勤支出,1221.55,发工资,18:00:00,,,,,
,,85,2025-12-15 00:00:00,,,,,大鱼速汇,101,100*1.01=101,19:10:00,,,,,
,,86,2025-12-15 00:00:00,,,,,后勤支出,617.89,发工资,19:14:00,,,,,
,,87,2025-12-15 00:00:00,,,,,后勤支出,6000,换汇RMB,19:22:00,,,,,
,,88,2025-12-15 00:00:00,,,,,VCC-新系统,101,100*1.01=101,20:13:00,,,,,
,,89,2025-12-15 00:00:00,,,,,后勤支出,610.54,SZ2-ZZY 周结算12.1-12.14支出 $610.54,21:11:00,,,,,
,,90,2025-12-15 00:00:00,启航,2067.02,,21:47:00,,,,,,,,,
,,91,2025-12-15 00:00:00,渠道106-不土FB🇯🇵,18000,,22:29:00,流苏,5550,,23:48:00,,,,,
,,92,2025-12-15 00:00:00,,,,,岳总,7200,,23:52:00,,,,,
,,93,2025-12-16 00:00:00,,,,,广告配套,25,BM*5,14:54:00,,,,,
,,94,2025-12-16 00:00:00,,,,,志诚三不限,917.15,开户费760+2190+194.1+SZ117.56-2344.51=917.15,16:06:00,,,,,
,,95,2025-12-16 00:00:00,,,,,流苏,7500,,16：11,,,,,
,,96,2025-12-16 00:00:00,海总-新加坡、加拿大,10000,,17:04:00,VCC-新系统,101,100*1.01=101,18:51:00,,,,,
,,97,2025-12-16 00:00:00,,,,,大鱼速汇,101,合并付款,20:08:00,,,,,
,,98,2025-12-16 00:00:00,,,,,VCC-新系统,202,合并付款,20:08:00,,,,,
,,99,2025-12-16 00:00:00,,,,,fb三不限10➕1Nancy,703.39,600*1.05*1.01+67.09=703.39,21:29:00,,,,,
,,100,2025-12-16 00:00:00,F2加拿大TK,3900,,23:22:00,流苏,5850,,23:23:00,,,,,
,,101,2025-12-17 00:00:00,,,,,路人互动系统,107.49,随机金额0.49+100*1.07=107.49,11:46:00,,,,,
,,102,2025-12-17 00:00:00,,,,,VCC-新系统,505,500*1.01=505,13:54:00,,,,,
,,103,2025-12-17 00:00:00,,,,,风口猪12月充值广告费,2167.81,,15:48:00,,,,,
,,104,2025-12-17 00:00:00,,,,,VCC-新系统,505,500*1.01=505,17:21:00,,,,,
,,105,2025-12-17 00:00:00,谷歌共享户/老户,998,,17:27:00,,,,,,,,,
,,106,2025-12-17 00:00:00,巴西1期,3200,,21:30:00,志诚三不限,1483.24,"1430*1.07+50*3开户费-196.86=1,483.24",22:40:00,,,,,
,,107,2025-12-17 00:00:00,,,,,流苏,11250,,23:02:00,,,,,
,,108,2025-12-18 00:00:00,,,,,VCC-新系统,1010,1000*1.01=1010,10:24:00,,,,,
,,109,2025-12-18 00:00:00,,,,,广告配套,25,BM*5,10:56:00,,,,,
,,110,2025-12-18 00:00:00,,,,,VCC-新系统,2020,合并付款2000*1.01=2020,20:56:00,,,,,
,,111,2025-12-18 00:00:00,,,,,大鱼速汇,202,合并付款200*1.01=202,20:56:00,,,,,
,,112,2025-12-18 00:00:00,,,,,路人互动系统,214.27,随机金额0.27+200*1.07=214.27,21:18:00,,,,,
,,113,2025-12-18 00:00:00,渠道106-不土FB🇯🇵,18000,,22:45:00,,,,,,,,,
,,114,2025-12-18 00:00:00,路人互动,1448.89,,23:36:00,,,,,,,,,
,,115,2025-12-19 00:00:00,F2新加坡,6500,,00:59:00,流苏,9450,,10:13:00,,,,,
,,116,2025-12-19 00:00:00,,,,,印度资金测试,12405,,10:16:00,,,,,
,,117,2025-12-19 00:00:00,,,,,fb三不限10➕1Nancy,176.79,飞书三不限 171.01-300=-128.99*1.05*1.01+40=-176.79,10:23:00,,,,,
,,118,2025-12-19 00:00:00,,,,,凤凰渠道-泰华,5118.23,10800+864-6545.77=5118.23,10:37:00,,,,,
,,119,2025-12-19 00:00:00,,,,,广告配套,25,BM*5,12:11:00,,,,,
,,120,2025-12-19 00:00:00,,,,,官方授权户-15,326.33,6.84+8.51+310.98=326.33,12:23:00,✅,,,,
,,121,2025-12-19 00:00:00,,,,,,,,,,,,,
,,122,2025-12-19 00:00:00,,,,,,,,,,,,,
,,123,2025-12-19 00:00:00,,,,,,,,,,,,,
,,124,,,,,,,,,,,,,,
,,125,,,,,,,,,,,,,,
,,126,,,,,,,,,,,,,,
,,127,,,,,,,,,,,,,,
,,128,,,,,,,,,,,,,,
,,129,,,,,,,,,,,,,,
,,130,,,,,,,,,,,,,,
,,131,,,,,,,,,,,,,,
,,132,,,,,,,,,,,,,,
,,133,,,,,,,,,,,,,,
,,134,,,,,,,,,,,,,,
,,135,,,,,,,,,,,,,,
,,136,,,,,,,,,,,,,,
,,137,,,,,,,,,,,,,,
,,138,,,,,,,,,,,,,,
,,139,,,,,,,,,,,,,,
,,140,,,,,,,,,,,,,,
,,141,,,,,,,,,,,,,,
,,142,,,,,,,,,,,,,,
,,143,,,,,,,,,,,,,,
,,144,,,,,,,,,,,,,,
,,145,,,,,,,,,,,,,,
,,146,,,,,,,,,,,,,,
,,147,,,,,,,,,,,,,,
,,148,,,,,,,,,,,,,,
,,149,,,,,,,,,,,,,,
,,150,,,,,,,,,,,,,,
,,151,,,,,,,,,,,,,,
,,152,,,,,,,,,,,,,,
,,153,,,,,,,,,,,,,,
,,154,,,,,,,,,,,,,,
,,155,,,,,,,,,,,,,,
,,156,,,,,,,,,,,,,,
,,157,,,,,,,,,,,,,,
,,158,,,,,,,,,,,,,,
,,159,,,,,,,,,,,,,,
,,160,,,,,,,,,,,,,,
,,161,,,,,,,,,,,,,,
,,162,,,,,,,,,,,,,,
,,163,,,,,,,,,,,,,,
,,164,,,,,,,,,,,,,,
,,165,,,,,,,,,,,,,,
,,166,,,,,,,,,,,,,,
,,167,,,,,,,,,,,,,,
,,168,,,,,,,,,,,,,,
,,169,,,,,,,,,,,,,,
,,170,,,,,,,,,,,,,,
,,171,,,,,,,,,,,,,,
,,172,,,,,,,,,,,,,,
,,173,,,,,,,,,,,,,,
,,174,,,,,,,,,,,,,,
,,175,,,,,,,,,,,,,,
,,176,,,,,,,,,,,,,,
,,177,,,,,,,,,,,,,,
,,178,,,,,,,,,,,,,,
,,179,,,,,,,,,,,,,,
,,180,,,,,,,,,,,,,,
,,181,,,,,,,,,,,,,,
,,182,,,,,,,,,,,,,,
,,183,,,,,,,,,,,,,,
,,184,,,,,,,,,,,,,,
,,185,,,,,,,,,,,,,,
,,186,,,,,,,,,,,,,,
,,187,,,,,,,,,,,,,,
,,188,,,,,,,,,,,,,,
,,189,,,,,,,,,,,,,,
,,190,,,,,,,,,,,,,,
,,191,,,,,,,,,,,,,,
,,192,,,,,,,,,,,,,,
,,193,,,,,,,,,,,,,,
,,194,,,,,,,,,,,,,,
,,195,,,,,,,,,,,,,,
,,196,,,,,,,,,,,,,,
,,197,,,,,,,,,,,,,,
,,198,,,,,,,,,,,,,,
,,199,,,,,,,,,,,,,,
,,200,,,,,,,,,,,,,,
,,201,,,,,,,,,,,,,,
,,202,,,,,,,,,,,,,,
,,203,,,,,,,,,,,,,,
,,204,,,,,,,,,,,,,,
,,205,,,,,,,,,,,,,,
,,206,,,,,,,,,,,,,,
,,207,,,,,,,,,,,,,,
,,208,,,,,,,,,,,,,,
,,209,,,,,,,,,,,,,,
,,210,,,,,,,,,,,,,,
,,211,,,,,,,,,,,,,,
,,212,,,,,,,,,,,,,,
,,213,,,,,,,,,,,,,,
,,214,,,,,,,,,,,,,,
,,215,,,,,,,,,,,,,,
,,216,,,,,,,,,,,,,,
,,217,,,,,,,,,,,,,,
,,218,,,,,,,,,,,,,,
,,219,,,,,,,,,,,,,,
,,220,,,,,,,,,,,,,,
,,221,,,,,,,,,,,,,,
,,222,,,,,,,,,,,,,,
,,223,,,,,,,,,,,,,,
,,224,,,,,,,,,,,,,,
,,225,,,,,,,,,,,,,,
,,226,,,,,,,,,,,,,,
,,227,,,,,,,,,,,,,,
,,228,,,,,,,,,,,,,,
,,229,,,,,,,,,,,,,,
,,230,,,,,,,,,,,,,,
,,231,,,,,,,,,,,,,,
,,232,,,,,,,,,,,,,,
,,233,,,,,,,,,,,,,,
,,234,,,,,,,,,,,,,,
,,235,,,,,,,,,,,,,,
