2025年11月收支财务报表,Unnamed: 3,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 18,Unnamed: 19,Unnamed: 20
结余,,18,2025-11-03 00:00:00,Alex & Doris_谷歌户,941.2,退款,23:47:00,广告配套,14.14,谷歌邮箱*5,10:46:00,,6107.85,SZ_TK下户Chris Ryan,
26016.4956,,19,2025-11-04 00:00:00,,,,,fb三不限10➕1Nancy,1110,ZZ 1000*1.11=1110,11:55:00,,255,TK下户hailey,
,,20,2025-11-04 00:00:00,,,,,后勤支出,12056.74,B哥半年房租,10:54:00,,808,大鱼速汇,
,,21,2025-11-05 00:00:00,,,,,后勤支出,2270.900281690141,发工资,15:01:00,,160,SZ-2_TK广告户-村长,
,,22,2025-11-05 00:00:00,,,,,后勤支出,4867.47422080872,发工资,15:04:00,,1247.752,谷歌-饭团,
,,23,2025-11-05 00:00:00,,,,,后勤支出,3434.003380281694,发工资,15:06:00,,4231.1,bc 的广告费退款,
,,24,2025-11-05 00:00:00,,,,,后勤支出,5425.275492957744,发工资,15:09:00,,16470,德国单粉—summer FB180,
,,25,2025-11-05 00:00:00,,,,,后勤支出,2487.765070422534,发工资,15:12:00,,4320,渠道BF 德国F,
,,26,2025-11-05 00:00:00,,,,,后勤支出,1646.545697410268,发工资,15:13:00,,,,
,,27,2025-11-05 00:00:00,,,,,后勤支出,5000,发工资,15:16:00,,331257.4994,,
,,28,2025-11-05 00:00:00,,,,,后勤支出,10,发工资,15:18:00,,,,
,,29,2025-11-05 00:00:00,,,,,后勤支出,10,发工资,15:19:00,,往上支出-------------------分割线-------------------往下收入,,
,,30,2025-11-05 00:00:00,,,,,后勤支出,10,发工资,15:21:00,,,,
,,31,2025-11-05 00:00:00,,,,,后勤支出,10,发工资,15:22:00,,54000,渠道106-本土fb🇯🇵,95760
,,32,2025-11-05 00:00:00,,,,,后勤支出,10,发工资,15:23:00,,10000,bc 的广告费,
,,33,2025-11-05 00:00:00,,,,,后勤支出,10,发工资,15:24:00,,1173.97,新K4,
,,34,2025-11-05 00:00:00,,,,,后勤支出,10,发工资,15:26:00,,3420,瑞典1梯队（蟑螂哥）结算群,
,,35,2025-11-05 00:00:00,,,,,后勤支出,10,发工资,15:27:00,,6300,海总-新加坡、加拿大,
,,36,2025-11-05 00:00:00,,,,,后勤支出,10,发工资,15:28:00,,38000,德国单粉—summer FB180,
,,37,2025-11-05 00:00:00,,,,,后勤支出,2372.56,发工资,15:32:00,,7000,印尼二期,
,,38,2025-11-05 00:00:00,,,,,后勤支出,1406.34,发工资,15:34:00,,,,
,,39,2025-11-05 00:00:00,,,,,后勤支出,3605.09,发工资,15:36:00,,,,
,,40,2025-11-05 00:00:00,,,,,后勤支出,1383.94,发工资,15:39:00,,,,
,,41,2025-11-05 00:00:00,,,,,后勤支出,975.92,发工资,15:42:00,,,,
,,42,2025-11-05 00:00:00,,,,,后勤支出,1116.76,发工资,15:43:00,,,,
,,43,2025-11-05 00:00:00,,,,,后勤支出,804.23,发工资,15:45:00,,,,
,,44,2025-11-05 00:00:00,,,,,后勤支出,1116.76,发工资,15:46:00,,,,
,,45,2025-11-05 00:00:00,,,,,后勤支出,376.19,发工资,15:50:00,,1488.1,海总新渠道,
,,46,2025-11-05 00:00:00,岳总,8400,,16:29:00,后勤支出,60083.847,"B哥10月分红：133,519.66*0.45=60,083.847",16:48:00,,225.12,十月二不限,
,,47,2025-11-05 00:00:00,,,,,广告配套,66,BM：10,17:48:00,,890.09,星链-AdNova,
,,48,2025-11-05 00:00:00,新K4,1173.97,"总消耗：$1020.84
服务费15%: $153.13
金额：1020.84+153.13=$1173.97",21:15:00,,,,,,1200.73,wade shen 美金谷歌户25+5%,
,,49,2025-11-06 00:00:00,,,,,广告配套,225,防护续费,10:35:00,,828,Alex_1011——谷歌原生户,
,,50,2025-11-06 00:00:00,,,,,后勤支出,1260.52,SZ公司支出报销,13:38:00,,1877.13,泰华 & Bigad 谷歌老户 8+1,
,,51,2025-11-06 00:00:00,瑞典1梯队（蟑螂哥）结算群,360,"日期：11.05
用途：瑞典1梯队蟑螂哥渠道
单价：90
有效：4个
金额：90*4=360",14:31:00,渠道BF 德国F,4320,退款,16:12:00,,300,谷歌-饭团,
,,52,2025-11-06 00:00:00,,,,,星链-AdNova,472,400*1.08+开户费20*2=472,19:11:00,,8400,岳总,
,,53,2025-11-07 00:00:00,,,,,广告配套,66,BM：10,16:22:00,,941.2,Alex & Doris_谷歌户,
,,54,2025-11-07 00:00:00,,,,,广告配套,792,明细：老主页：1;  复审老主页：56； 认证主页：7；个号：41；二解号：1,19:32:00,,200,华飞-Alex（三不限）8+千分6,
,,55,2025-11-08 00:00:00,,,,,星链-AdNova,1004,开户费-4*20-BC2*30-800*1.08=-1004,15:22:00,,221029.655,10月结余,
,,56,2025-11-09 00:00:00,,,,,路人互动,200,开户费200,11；28,,357273.995,,
,,57,2025-11-09 00:00:00,,,,,fb三不限10➕1Nancy,1112.7,ZZ （1500-497.56）*1.11=1112.70,12:26:00,,,,
,,58,2025-11-10 00:00:00,瑞典1梯队（蟑螂哥）结算群,1620,"日期：11.08
用途：瑞典1梯队蟑螂哥渠道
单价：90
有效：18个
金额：90*18=1620",02:56:00,路人互动,535,-500*1.07=-535,10:54:00,,,,
,,59,2025-11-10 00:00:00,,,,,启航,2961.23,"ZZ 1500* 1.1/0.99=1,666.67；SZ 2000* 1.1/0.99-927.66=1,294.56",11:19:00,,,,
,,60,2025-11-10 00:00:00,,,,,广告配套,288.86,IP: 40个,12:05:00,,,,
,,61,2025-11-10 00:00:00,谷歌-饭团,300,退款,15:26:00,广告配套,66,BM：10,17:18:00,,,,
,,62,2025-11-10 00:00:00,,,,,路人互动,535,-500*1.07=-535,18:36:00,,,,
,,63,2025-11-10 00:00:00,瑞典1梯队（蟑螂哥）结算群,180,"日期：11.09
用途：瑞典1梯队蟑螂哥渠道
单价：90
有效：2个
金额：90*2=180",18:45:00,印度户印尼企业户,5779.89,8720.22+707.62-3647.95=5779.89,19:36:00,,,,
,,64,2025-11-10 00:00:00,,,,,后勤支出,60083.847,"张总10月分红：133,519.66*0.45=60,083.847",22:03:00,,,,
,,65,2025-11-11 00:00:00,泰华 & Bigad 谷歌老户 8+1,1877.13,退款,11:17:00,路人互动,535,-500*1.07=-535,12:22:00,,,,
,,66,2025-11-11 00:00:00,,,,,星链-AdNova,718,开户费-2*20-BC30-600*1.08=-718,17:28:00,,,,
,,67,2025-11-11 00:00:00,,,,,路人互动,535,-500*1.07=-535,17:36:00,,,,
,,68,2025-11-11 00:00:00,,,,,fb三不限10➕1Nancy,650.29,ZZ(1000-414.15)*1.11= 650.29,17:40:00,,,,
,,69,2025-11-11 00:00:00,,,,,路人互动,100,开户费50*2,19:39:00,,,,
,,70,2025-11-12 00:00:00,,,,,广告配套,28.31,明细：谷歌邮箱*10,08:39:00,,,,
,,71,2025-11-12 00:00:00,,,,,星链-AdNova,261.07,开户费-2*20-(195.31-400)*1.08=-261.07,12:52:00,,,,
,,72,2025-11-12 00:00:00,,,,,GT&海总 欧洲金融户,387.63,500-147.61=352.39*1.1=387.63,13:23:00,,,,
,,73,2025-11-12 00:00:00,,,,,海总新渠道,1665,500*1.11*3=1665,15:50:00,,,,
,,74,2025-11-12 00:00:00,海总-新加坡、加拿大,2000,,16:02:00,,,,,,,,
,,75,2025-11-13 00:00:00,,,,,海总-黑泽,409.16,3500+(3500-949.78)*0.0908+开户费30*13-3712.4=409.16,10:32:00,,,,
,,76,2025-11-13 00:00:00,Alex_1011——谷歌原生户,828,退款,15:27:00,海总-黑泽,545.4,500*1.0908=545.4,15:42:00,,,,
,,77,2025-11-13 00:00:00,wade shen 美金谷歌户25+5%,1200.73,,16:31:00,海总-黑泽,545.4,500*1.0908=545.4,16:48:00,,,,
,,78,2025-11-13 00:00:00,,,,,Y-5208 FB欧/美户,452.87,1000*1.1-647.12=452.87,19:08:00,,,,
,,79,2025-11-14 00:00:00,,,,,路人互动,535,-500*1.07=-535,10:50:00,,,,
,,80,2025-11-14 00:00:00,,,,,星链-AdNova,1598.06,"(1500-130.93)*1.08+开户费20*6=1,598.60",12:44:00,,,,
,,81,2025-11-14 00:00:00,,,,,星链-AdNova,216.54,200*1.08=216.00,16:36:00,,,,
,,82,2025-11-14 00:00:00,瑞典1梯队（蟑螂哥）结算群,900,,17:04:00,志诚三不限,573.14,(清零5.85+5.59-150)*1.07-开户费50*5+(7.38-130)*1.1-开户费40=573.14,20:34:00,,,,
,,83,2025-11-14 00:00:00,,,,,广告配套,1092,明细：主页：3；认证主页：11；老主页：65 ；个号：55,20:39:00,,,,
,,84,2025-11-14 00:00:00,,,,,SZ_TK下户Chris Ryan,252,开户费20*2+200*1.06=252,23:33:00,,,,
,,85,2025-11-15 00:00:00,,,,,广告配套,18.46,谷歌邮箱*7,10:33:00,,,,
,,86,2025-11-15 00:00:00,,,,,SZ_TK下户Chris Ryan,252,开户费20*2+200*1.06=252,17:07:00,,,,
,,87,2025-11-15 00:00:00,,,,,广告配套,110,TK德国中介费,20:15:00,,,,
,,88,2025-11-16 00:00:00,,,,,SZ_TK下户Chris Ryan,126,开户费20+100*1.06=126,18:37:00,,,,
,,89,2025-11-16 00:00:00,,,,,星链-AdNova,343.83,（398.4+368.42-900）*1.08-开户费200=-343.83,18:59:00,,,,
,,90,2025-11-16 00:00:00,,,,,星链-AdNova,1404,1300*1.08=1404,21:57:00,,,,
,,91,2025-11-17 00:00:00,,,,,广告配套,14.18,谷歌邮箱*5,10:27:00,,,,
,,92,2025-11-17 00:00:00,,,,,广告配套,500,矿工费,10:34:00,,,,
,,93,2025-11-17 00:00:00,,,,,Y-5208 FB欧/美户,1100,500*2*1.1=1100,10:49:00,,,,
,,94,2025-11-17 00:00:00,,,,,路人互动,50,开户费50,10:59:00,,,,
,,95,2025-11-17 00:00:00,,,,,SZ_TK下户Chris Ryan,464,开户费20*2+200*2*1.06=464,12:19:00,,,,
,,96,2025-11-17 00:00:00,,,,,广告配套,288.86,IP: 40个,15:08:00,,,,
,,97,2025-11-17 00:00:00,,,,,TK下户hailey,255,开户费105+150=255,15:24:00,,,,
,,98,2025-11-17 00:00:00,,,,,启航,1672.06,3500+244.21-2072.15=1672.06,15：58,,,,
,,99,2025-11-17 00:00:00,,,,,星链-AdNova,1296,(1600-400)*1.08=1296,21:03:00,,,,
,,100,2025-11-17 00:00:00,,,,,SZ_TK下户Chris Ryan,636,600*1.06=636,22:04:00,,,,
,,101,2025-11-17 00:00:00,,,,,SZ_TK下户Chris Ryan,80,开户费4*20=80,14:54:00,,,,
,,102,2025-11-18 00:00:00,,,,,广告配套,66,BM：10,20:02:00,,,,
,,103,2025-11-18 00:00:00,,,,,广告配套,360,TK德国中介费,22:37:00,,,,
,,104,2025-11-19 00:00:00,,,,,路人互动,100,开户费100,10:21:00,,,,
,,105,2025-11-19 00:00:00,,,,,大鱼速汇,202,200*1.01=202,10:34:00,,,,
,,106,2025-11-19 00:00:00,,,,,路人互动,50,开户费50,11:45:00,,,,
,,107,2025-11-19 00:00:00,瑞典1梯队（蟑螂哥）结算群,360,"日期：11.14
用途：瑞典1梯队蟑螂哥渠道
单价：90
有效：4个
金额：90*4=360",15:00:00,Y-5208 FB欧/美户,1100,500*2*1.1=1100,16:15:00,,,,
,,108,2025-11-19 00:00:00,,,,,SZ-2_TK广告户-村长,160,4*40=160刀,16:55:00,,,,
,,109,2025-11-19 00:00:00,,,,,SZ_TK下户Chris Ryan,659.75,(1300-753.07)*1.06+20*4=659.75,18:19:00,,,,
,,110,2025-11-19 00:00:00,,,,,谷歌-饭团,237.552,210*1.12*1.01=237.552,20:10:00,,,,
,,111,2025-11-19 00:00:00,,,,,大鱼速汇,606,600*1.01=606,20:28:00,,,,
,,112,2025-11-20 00:00:00,,,,,路人互动,929.98,(2000-1130.86)*1.07=929.98,10:33:00,,,,
,,113,2025-11-20 00:00:00,,,,,路人互动,535,-500*1.07=-535,11:12:00,,,,
,,114,2025-11-20 00:00:00,,,,,星链-AdNova,4175.03,"(6000-2,273.12)*1.08=4,175.03",11:35:00,,,,
,,115,2025-11-20 00:00:00,,,,,SZ_TK下户Chris Ryan,530,500*1.06=530,12:07:00,,,,
,,116,2025-11-20 00:00:00,,,,,广告配套,14.17,谷歌邮箱*5,14：54,,,,
,,117,2025-11-20 00:00:00,德国单粉—summer FB180,19000,,15:38:00,广告配套,500,TK德国中介费,15:54:00,,,,
,,118,2025-11-20 00:00:00,星链-AdNova,890.09,,19:06:00,海总-黑泽,584.027497,(2500-2047.10)*1.0908+30*3开户费=584.03,20:46:00,,,,
,,119,2025-11-20 00:00:00,,,,,路人互动,1070,-1000*1.07=-1070,20:57:00,,,,
,,120,2025-11-20 00:00:00,,,,,海总-黑泽,545.4,500*1.0908=545.4,23:23:00,,,,
,,121,2025-11-21 00:00:00,,,,,海总-黑泽,1090.8,1000*1.0908=1090.8,10:34:00,,,,
,,122,2025-11-21 00:00:00,,,,,广告配套,25,BM*5,16:57:00,,,,
,,123,2025-11-21 00:00:00,,,,,广告配套,28.35,谷歌邮箱*10,18:32:00,,,,
,,124,2025-11-21 00:00:00,,,,,Y-5208 FB欧/美户,1100,500*2*1.1=1100,18:57:00,,,,
,,125,2025-11-21 00:00:00,,,,,广告配套,522,明细：TK白号：1；人名认证主页：4；老主页：35；认证主页：7；个号：20,20:53:00,,,,
,,126,2025-11-21 00:00:00,,,,,星链-AdNova,3043.29,"(3000-413.62)*1.08+开户费50*5=3,043.29",21:20:00,,,,
,,127,2025-11-23 00:00:00,,,,,后勤支出,336.74,336.74，ZZY的周结算11/16-11/21 ,14:22:00,,,,
,,128,2025-11-23 00:00:00,,,,,后勤支出,2858.8,"SZ的公司报销，合并转款￥20,308.72，2858.8u",14：45,,,,
,,129,2025-11-23 00:00:00,,,,,广告配套,24.1,谷歌邮箱*8,21:26:00,,,,
,,130,2025-11-23 00:00:00,,,,,星链-AdNova,1697.667,"(2300-1,052.16)*1.08+开户费(3*50+140+60)=1697.667",23:34:00,,,,
,,131,2025-11-24 00:00:00,,,,,广告配套,25,BM*5,10:34:00,,,,
,,132,2025-11-24 00:00:00,,,,,fb三不限10➕1Nancy,383.64,ZZ (1800-1494.92)*1.11+300*1.06+开户费30*2=383.64,12:15:00,,,,
,,133,2025-11-24 00:00:00,,,,,广告配套,25,GPT订阅,12:28:00,,,,
,,134,2025-11-24 00:00:00,,,,,广告配套,510,TK德国中介费,15:54:00,,,,
,,135,2025-11-24 00:00:00,,,,,志诚三不限,1605.3,(850-6.74-10-74.69)*1.07+开户费5*50+(510-7.29-8.5)*1.07=1605.3,16:32:00,,,,
,,136,2025-11-24 00:00:00,德国单粉—summer FB180,19000,,19:57:00,SZ_TK下户Chris Ryan,563.51,(900-406.12)*1.06+开户费20*2=563.51,21:05:00,,,,
,,137,2025-11-24 00:00:00,,,,,fb三不限10➕1Nancy,318,300*1.06=318,23:15:00,,,,
,,138,2025-11-25 00:00:00,,,,,SZ_TK下户Chris Ryan,742,(800-100)*1.06=742,10:16:00,,,,
,,139,2025-11-25 00:00:00,,,,,星链-AdNova,5496.3848,(5100-195.94)*1.08+开户费200=5496.3848,10:19:00,,,,
,,140,2025-11-25 00:00:00,,,,,谷歌-饭团,888,800*1.11=888,12:58:00,,,,
,,141,2025-11-25 00:00:00,,,,,广告配套,25,BM*5,14:28:00,,,,
,,142,2025-11-25 00:00:00,,,,,SZ_TK下户Chris Ryan,742,700*1.06=742,15:46:00,,,,
,,143,2025-11-25 00:00:00,,,,,广告配套,530,TK德国中介费,16:18:00,,,,
,,144,2025-11-26 00:00:00,,,,,广告配套,50,BM*10,17:10:00,,,,
,,145,2025-11-26 00:00:00,,,,,广告配套,260,TK德国中介费,17:23:00,,,,
,,146,2025-11-26 00:00:00,,,,,路人互动,100,开户费50*2,20:00:00,,,,
,,147,2025-11-26 00:00:00,,,,,德国单粉—summer FB180,16470,退款,21:33:00,,,,
,,148,2025-11-27 00:00:00,,,,,Y-5208 FB欧/美户,582.82,(500*3-492.03)*1.1-525.95=582.82,15:56:00,,,,
,,149,2025-11-27 00:00:00,海总-新加坡、加拿大,4300,,16:33:00,谷歌-饭团,122.2,(200-89.91)*1.11=122.20,17:11:00,,,,
,,150,2025-11-27 00:00:00,,,,,志诚三不限,2474.39,2200*1.1+(110-105.9)*1.07+开户费50=2474.39,17:39:00,,,,
,,151,2025-11-27 00:00:00,十月二不限,225.12,,19:05:00,星链-AdNova,4120,3500*1.08+开户费60*4+50*2=4120,22:09:00,,,,
,,152,2025-11-27 00:00:00,印尼二期,7000,,22:19:00,fb三不限10➕1Nancy,322.1,（300-24.56）*1.05*1.01+开户费30=322.10,23:55:00,,,,
,,153,2025-11-28 00:00:00,,,,,SZ_TK下户Chris Ryan,424.59,清零(418.31-800)*1.06 开户费-20=-424.59,16:49:00,,,,
,,154,2025-11-28 00:00:00,,,,,fb三不限10➕1Nancy,348.15,300*1.05*1.01+开户费30=348.15,17:31:00,,,,
,,155,2025-11-28 00:00:00,海总新渠道,1488.1,退款,17:56:00,,,,,,,,
,,156,2025-11-29 00:00:00,,,,,bc 的广告费,4231.1,退款,18:30:00,,,,
,,157,2025-11-30 00:00:00,,,,,SZ_TK下户Chris Ryan,636,600*1.06=636,15:07:00,,,,
,,158,2025-11-30 00:00:00,,,,,广告配套,1688,个号：50；中文认证主页：2；认证主页：84；老主页：21,18:06:00,,,,
,,159,2025-11-30 00:00:00,,,,,广告配套,10,矿工费,10:13:00,,,,
,,160,2025-11-30 00:00:00,,,,,广告配套,18,欧意上换能量还有8U，用欧意转到TRON有两笔手续费大概是5U*2,11:00:00,✅,,,
,,161,,,,,,,,,,,,,
,,162,,,,,,,,,,,,,
,,163,,,,,,,,,,,,,
,,164,,,,,,,,,,,,,
,,165,,,,,,,,,,,,,
,,166,,,,,,,,,,,,,
,,167,,,,,,,,,,,,,
,,168,,,,,,,,,,,,,
,,169,,,,,,,,,,,,,
,,170,,,,,,,,,,,,,
,,171,,,,,,,,,,,,,
,,172,,,,,,,,,,,,,
,,173,,,,,,,,,,,,,
,,174,,,,,,,,,,,,,
,,175,,,,,,,,,,,,,
,,176,,,,,,,,,,,,,
,,177,,,,,,,,,,,,,
,,178,,,,,,,,,,,,,
,,179,,,,,,,,,,,,,
,,180,,,,,,,,,,,,,
,,181,,,,,,,,,,,,,
,,182,,,,,,,,,,,,,
,,183,,,,,,,,,,,,,
,,184,,,,,,,,,,,,,
,,185,,,,,,,,,,,,,
,,186,,,,,,,,,,,,,
,,187,,,,,,,,,,,,,
,,188,,,,,,,,,,,,,
,,189,,,,,,,,,,,,,
,,190,,,,,,,,,,,,,
,,191,,,,,,,,,,,,,
,,192,,,,,,,,,,,,,
,,193,,,,,,,,,,,,,
,,194,,,,,,,,,,,,,
,,195,,,,,,,,,,,,,
,,196,,,,,,,,,,,,,
,,197,,,,,,,,,,,,,
,,198,,,,,,,,,,,,,
,,199,,,,,,,,,,,,,
,,200,,,,,,,,,,,,,
,,201,,,,,,,,,,,,,
,,202,,,,,,,,,,,,,
,,203,,,,,,,,,,,,,
,,204,,,,,,,,,,,,,
,,205,,,,,,,,,,,,,
,,206,,,,,,,,,,,,,
,,207,,,,,,,,,,,,,
,,208,,,,,,,,,,,,,
,,209,,,,,,,,,,,,,
,,210,,,,,,,,,,,,,
,,211,,,,,,,,,,,,,
,,212,,,,,,,,,,,,,
,,213,,,,,,,,,,,,,
,,214,,,,,,,,,,,,,
,,215,,,,,,,,,,,,,
,,216,,,,,,,,,,,,,
,,217,,,,,,,,,,,,,
,,218,,,,,,,,,,,,,
,,219,,,,,,,,,,,,,
,,220,,,,,,,,,,,,,
,,221,,,,,,,,,,,,,
,,222,,,,,,,,,,,,,
,,223,,,,,,,,,,,,,
,,224,,,,,,,,,,,,,
,,225,,,,,,,,,,,,,
,,226,,,,,,,,,,,,,
,,227,,,,,,,,,,,,,
,,228,,,,,,,,,,,,,
,,229,,,,,,,,,,,,,
,,230,,,,,,,,,,,,,
,,231,,,,,,,,,,,,,
,,232,,,,,,,,,,,,,
,,233,,,,,,,,,,,,,
,,234,,,,,,,,,,,,,
,,235,,,,,,,,,,,,,
