2025年6月收支财务报表,Unnamed: 3,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 18,Unnamed: 19
138682.4676,,19,2025-06-05 00:00:00,,,,,后勤支出,8083.98,发工资,14:38:00,2700,德国 张总（王总）
,,20,2025-06-05 00:00:00,,,,,后勤支出,9207.07888888889,发工资,14:38:00,114504,拉总（印度）24
,,21,2025-06-05 00:00:00,,,,,后勤支出,778.3663663663656,发工资,14:41:00,166292,白马3期
,,22,2025-06-05 00:00:00,,,,,后勤支出,8531.916111111112,发工资,14:43:00,6500,渠道BF 德国B
,,23,2025-06-05 00:00:00,,,,,后勤支出,910.9009009009003,发工资,14:45:00,3870,海哥-奥地利
,,24,2025-06-05 00:00:00,,,,,后勤支出,7253.8711111111115,发工资,14:47:00,50000,印度十期
,,25,2025-06-05 00:00:00,,,,,后勤支出,667.5555555555555,发工资,14:48:00,100000,印度11期
,,26,2025-06-05 00:00:00,,,,,后勤支出,555.5555555555555,发工资,14:49:00,100,蟑螂哥西班牙渠道（3梯队）
,,27,2025-06-05 00:00:00,,,,,后勤支出,555.5555555555555,发工资,14:50:00,13549.5,德国股票粉（2）组【张小强】
,,28,2025-06-05 00:00:00,,,,,后勤支出,1000,发工资,14:52:00,1700,ALEX&西班牙
,,29,2025-06-05 00:00:00,,,,,后勤支出,5000,发工资,14:53:00,8700,德国蟑螂哥渠道
,,30,2025-06-05 00:00:00,,,,,后勤支出,39612.3,"5月分红- LH，396,123.00*10%=39612.3",15:02:00,424,GT海总欧洲金融户20+9+1
,,31,2025-06-05 00:00:00,,,,,十月二不限——（泰华）,1031,1000*1.01+21=1031,22:41:00,1360,GT-HY&papa 二不限
,,32,2025-06-06 00:00:00,,,,,广告配套,36,BM*10,12:05:00,2200,老傅渠道
,,33,2025-06-06 00:00:00,海哥-奥地利,270,,12:19:00,深圳芳林子,16210.02,(15000-409.52)*1.1*1.01=16210.02,13:37:00,396123.0002,5月结余
,,34,2025-06-06 00:00:00,,,,,印度企业户 欧洲美金户,560,500*1.12=560U,21:55:00,965658.5002,
,,35,2025-06-06 00:00:00,,,,,凤凰渠道-泰华,1911,（5000-3938.24）+530+320=1911.76,21:57:00,,
,,36,2025-06-07 00:00:00,拉总（印度）24,11040,,13:26:00,,,,,,
,,37,2025-06-07 00:00:00,海哥-奥地利,180,,14:08:00,深圳芳林子,11110,10000*1.1*1.01=11110,16:43:00,,
,,38,2025-06-07 00:00:00,白马3期,50000,,19:00:00,,,,,,
,,39,2025-06-08 00:00:00,,,,,十月二不限——（泰华）,1259.26,(2000-774)*1.01+21=1259.26,20:53:00,,
,,40,2025-06-09 00:00:00,,,,,深圳芳林子,40501,15000*1.10*1.01+20000*1.18*1.01=40501,10:40:00,,
,,41,2025-06-09 00:00:00,海哥-奥地利,360,,10:57:00,广告配套,100,20个端口,11:00:00,,
,,42,2025-06-09 00:00:00,,,,,深圳芳林子,5555,5000*1.1*1.01=5555,11:19:00,,
,,43,2025-06-09 00:00:00,,,,,广告配套,225,防护续费,11:42:00,,
,,44,2025-06-09 00:00:00,,,,,海总-MC开户对接群（果果）,270.77,(500-231.91)*1.01=270.77,15:59:00,,
,,45,2025-06-09 00:00:00,印度十期,50000,,16:02:00,十月二不限——（泰华）,1010,1000*1.01=1010,19:18:00,,
,,46,2025-06-09 00:00:00,白马3期,50000,,23:56:00,,,,,,
,,47,2025-06-10 00:00:00,海哥-奥地利,540,,12:11:00,,,,,,
,,48,2025-06-10 00:00:00,老傅渠道,2200,退款,13:35:00,深圳芳林子,43127,12000*1.10*1.01+25000*1.18*1.01=43127,13:59:00,,
,,49,2025-06-10 00:00:00,,,,,海总-MC开户对接群（果果）,505,500*1.01=505,19:52:00,,
,,50,2025-06-10 00:00:00,,,,,十月二不限——（泰华）,972,900*1.01+21*3=972,21:19:00,,
,,51,2025-06-11 00:00:00,海哥-奥地利,270,,10:24:00,广告配套,208.69,耐用号*5,12:42:00,,
,,52,2025-06-11 00:00:00,,,,,深圳芳林子,31269.6,12000*1.18*1.01+15000*1.10*1.01+150*2*1.01=31269.6,14:03:00,,
,,53,2025-06-11 00:00:00,白马2期,35392,余款,16:47:00,印度006对接—henry,2400,,19:38:00,,
,,54,2025-06-11 00:00:00,,,,,海总-MC开户对接群（果果）,505,500*1.01=505,20:16:00,,
,,55,2025-06-12 00:00:00,海哥-奥地利,810,,10:49:00,深圳芳林子,25330.8,11000*1.18*1.01+11000*1.10*1.01=25330.8,13:48:00,,
,,56,2025-06-12 00:00:00,,,,,海总-MC开户对接群（果果）,635.34,(1000-370.95)*1.01=635.34,15:23:00,,
,,57,2025-06-12 00:00:00,,,,,深圳芳林子,4444,4000*1.01*1.1=4444,15:41:00,,
,,58,2025-06-12 00:00:00,印度11期,50000,,19:22:00,十月二不限——（泰华）,1803.86,(2300-514)*1.01=1803.86,21:49:00,,
,,59,2025-06-13 00:00:00,白马3期,15892,,13:12:00,深圳芳林子,50439.4,33000*1.18*1.01+10000*1.10*1.01=50439.4,13:57:00,,
,,60,2025-06-13 00:00:00,,,,,后勤支出,178255.35,"5月分红- 张总396,123.00 *0.45=178255.35",16:06:00,,
,,61,2025-06-13 00:00:00,,,,,凤凰渠道-泰华,1985.76,3000-1435+420=1985+0.76=1985.76,16:23:00,,
,,62,2025-06-13 00:00:00,,,,,海总-MC开户对接群（果果）,183,（1300-1118.81）*1.01=183.0019,18:11:00,,
,,63,2025-06-13 00:00:00,,,,,广告配套,142,WS计数号13个,20:46:00,,
,,64,2025-06-13 00:00:00,海哥-奥地利,810,,21:20:00,十月二不限——（泰华）,1153,1100*1.01+42=1153,21:45:00,,
,,65,2025-06-14 00:00:00,海哥-奥地利,270,,11:18:00,,,,,,
,,66,2025-06-14 00:00:00,拉总（印度）24,3192,,13:57:00,广告配套,209.1,耐用号*5,15:44:00,,
,,67,2025-06-14 00:00:00,,,,,海总-MC开户对接群（果果）,505,500*1.01=505,17:18:00,,
,,68,2025-06-14 00:00:00,印度11期,50000,,19:27:00,,,,,,
,,69,2025-06-15 00:00:00,,,,,十月二不限——（泰华）,1025.15,(1700-685)*1.01=1025.15,20:47:00,,
,,70,2025-06-16 00:00:00,德国股票粉（2）组【张小强】,1350,"6月15日 德国股票粉（2）组【张小强】
6/15  C2有效4
F1有效5
共计有效9
合计: 9*150=1350",11:30:00,深圳芳林子,13978.4,4000*2*1.18*1.01+4000*1.10*1.01=13978.4,13:49:00,,
,,71,2025-06-16 00:00:00,,,,,广告配套,500,换TRX,13:58:00,,
,,72,2025-06-16 00:00:00,GT海总欧洲金融户20+9+1,424,,15:37:00,,,,,,
,,73,2025-06-16 00:00:00,GT-HY&papa 二不限,1088,,15:38:00,十月二不限——（泰华）,1010,1000*1.01=1010,21:48:00,,
,,74,2025-06-17 00:00:00,拉总（印度）24,4416,,12：59,深圳芳林子,9130.4,3000*1.18*1.01+5000*1.10*1.01=9130.4,13:46:00,,
,,75,2025-06-17 00:00:00,,,,,海总-MC开户对接群（果果）,573.52,（500*2-432.16）*1.01=573.52,21:11:00,,
,,76,2025-06-17 00:00:00,,,,,泰华&ME-FB海外户对接群,1283.2,2000*1.16+50-1086.8=1283.2,21:24:00,,
,,77,2025-06-17 00:00:00,,,,,十月二不限——（泰华）,1306.94,(1400-106)*1.01=1306.94,21:30:00,,
,,78,2025-06-17 00:00:00,,,,,泰华&ME-FB海外户对接群,2320,2000*1.16=2320,22:26:00,,
,,79,2025-06-17 00:00:00,,,,,海总-MC开户对接群（果果）,505,500*1.01=505,23:30:00,,
,,80,2025-06-18 00:00:00,拉总（印度）24,31104,,11:48:00,深圳芳林子,4191.76,(9000-5482.83)*1.18*1.01=4191.76,13:39:00,,
,,81,2025-06-18 00:00:00,,,,,广告配套,200,防护续费,14:09:00,,
,,82,2025-06-18 00:00:00,德国股票粉（2）组【张小强】,1500,"6月16-17 日 德国股票粉（2）组【张小强】
6/16  M1群有效1
6/17 T2有效7
H1有效2
合计: （1+7+2）*150=1500",14:14:00,,,,,,
,,83,2025-06-18 00:00:00,海哥-奥地利,90,,14:37:00,印度企业户 欧洲美金户,603.47,(2000-1461.19)*1.12=603.47,18:22:00,,
,,84,2025-06-18 00:00:00,蟑螂哥西班牙渠道（3梯队）,100,,19:24:00,,,,,,
,,85,2025-06-19 00:00:00,,,,,海总-MC开户对接群（果果）,1185.53,(1500-326.2)*1.01=1185.53,14:10:00,,
,,86,2025-06-20 00:00:00,,,,,十月二不限——（泰华）,963.54,(2100-1146)*1.01=963.54,11:45:00,,
,,87,2025-06-20 00:00:00,,,,,深圳芳林子,3575.4,3000*1.18*1.01=3575.4,13:56:00,,
,,88,2025-06-20 00:00:00,德国股票粉（2）组【张小强】,1350,"6月18-19 日 德国股票粉（2）组【张小强】
6/18 L2有效2
J2有效3
6/19 M5有效1  
     K3有效3

合计: （2+3+1+3）*150=1350",14:05:00,,,,,,
,,89,2025-06-20 00:00:00,拉总（印度）24,11280,,14:08:00,印度企业户 欧洲美金户,560,500*1.12=560U,14:29:00,,
,,90,2025-06-20 00:00:00,,,,,深圳芳林子,1343.3,1000*1.18*1.01+150*1.01=1343.3,15:06:00,,
,,91,2025-06-20 00:00:00,,,,,印度企业户 欧洲美金户,560,500*1.12=560U,17:24:00,,
,,92,2025-06-21 00:00:00,,,,,深圳芳林子,3575.4,3000*1.18*1.01=3575.4,14:08:00,,
,,93,2025-06-21 00:00:00,拉总（印度）24,15624,,15:17:00,印度企业户 欧洲美金户,560,500*1.12=560U,23:20:00,,
,,94,2025-06-23 00:00:00,,,,,黑泽-欧洲户对接,354.2,(3500-3285.30)*1.0908+30*4=354.20,14:13:00,,
,,95,2025-06-23 00:00:00,德国股票粉（2）组【张小强】,1500,"6月20-23日 德国股票粉（2）组【张小强】
6/20
B5有效1
A3有效2   
6/21
B5确认有效1
A3确认有效1
6/22
A5确认有效5个

合计: （3+2+5）*150=1500",16：22,,,,,,
,,96,2025-06-23 00:00:00,ALEX&西班牙,1700,,17：19,海总-MC开户对接群（果果）,430.56,（1000-573.7）*1.01=430.56,17:32:00,,
,,97,2025-06-23 00:00:00,,,,,黑泽-欧洲户对接,545.4,500*1.08*1.01=545.4,20:04:00,,
,,98,2025-06-24 00:00:00,德国蟑螂哥渠道,4950,6\23  有效33,04：21,,,,,,
,,99,2025-06-24 00:00:00,拉总（印度）24,9360,,13:59:00,黑泽-欧洲户对接,545.4,500*1.08*1.01=545.4,16:14:00,,
,,100,2025-06-24 00:00:00,,,,,老傅渠道,6630,,16:32:00,,
,,101,2025-06-24 00:00:00,,,,,十月二不限——（泰华）,819.11,(1300-489)*1.01=819.11,18:00:00,,
,,102,2025-06-24 00:00:00,,,,,开户美国三不限户,585,,18:45:00,,
,,103,2025-06-24 00:00:00,,,,,海总-MC开户对接群（果果）,907.56,（1000-101.43）*1.01=907.56,20:47:00,,
,,104,2025-06-24 00:00:00,,,,,ALEX&西班牙,1275,已退,22:12:00,,
,,105,2025-06-24 00:00:00,拉总（印度）24,5112,,22:46:00,,,,,,
,,106,2025-06-25 00:00:00,德国蟑螂哥渠道,3450,6/24 有效23,11:06:00,,,,,,
,,107,2025-06-25 00:00:00,德国股票粉（2）组【张小强】,1800,"6月23-24日 德国股票粉（2）组【张小强】
6/23
B5  有效3
J3  有效2
C1  有效1
6/24 
J3确认有效2个
B5确认有效4个

合计: （6+6）*150=1800",12:06:00,开户美国三不限户,585,,16:33:00,,
,,108,2025-06-26 00:00:00,拉总（印度）24,8280,,21:03:00,,,,,,
,,109,2025-06-26 00:00:00,德国蟑螂哥渠道,300,6/25 有效2,15:42:00,,,,,,
,,110,2025-06-26 00:00:00,GT-HY&papa 二不限,272,,14:54:00,,,,,,
,,111,2025-06-26 00:00:00,拉总（印度）24,8400,,22:56:00,,,,,,
,,112,2025-06-27 00:00:00,德国股票粉（2）组【张小强】,3349.5,"6月35-26日 德国股票粉（2）组【张小强】
6/25
B5确认有效2
J3确认有效2
6/26
L2确认有效1
H6确认有效17  重粉4=1.33个

合计: （4+18.33）*150=3349.5",12:04:00,深圳芳林子,1877.09,(3000-1425)*1.1918=1877.09,13:51:00,,
,,113,2025-06-27 00:00:00,,,,,印度企业户 欧洲美金户,590.66,(1000-472.62)*1.12=590.66,16:57:00,,
,,114,2025-06-27 00:00:00,,,,,黑泽-欧洲户对接,515.4,500*1.08*1.01=545.4-30=515.4,17:04:00,,
,,115,2025-06-28 00:00:00,,,,,印度企业户 欧洲美金户,511,（500-43.74）*1.12=511,11:20:00,,
,,116,2025-06-28 00:00:00,,,,,广告配套,474,WS计数号2个，IP续费50个,14:00:00,,
,,117,2025-06-28 00:00:00,,,,,黑泽-欧洲户对接,545.4,,15:01:00,,
,,118,2025-06-28 00:00:00,,,,,济宁韦宁&香港有意思 二不限 3%,104,100*1.04=104,19:39:00,,
,,119,2025-06-29 00:00:00,德国股票粉（2）组【张小强】,2700,"6月27-28日 德国股票粉（2）组【张小强】
6/27 A3群有效6
L2群有效2
6/28
K3确认有效2.66个
L2确认有效7.33个
总计有效2.66+7.33=9.99个   算10个

合计: （8+10）*150=2700",14:13:00,济宁韦宁&香港有意思 二不限 3%,208,200*1.04=208,15:58:00,,
,,120,2025-06-30 00:00:00,,,,,广告配套,176.45,主页：11 ；老主页：2６；千粉主页：2；BM：10,13:39:00,,
,,121,2025-06-30 00:00:00,,,,,后勤支出,10000,换汇RMB,14:07:00,,
,,122,2025-06-30 00:00:00,,,,,济宁韦宁&香港有意思 二不限 3%,208,200*1.04=208,15:37:00,,
,,123,2025-06-30 00:00:00,,,,,印度企业户 欧洲美金户,238,（500-395.52）*1.12+60*1.01*2=238U,18:01:00,,
,,124,2025-06-30 00:00:00,,,,,海总新渠道 10+1,1110,1000*1.11=1110,19:38:00,,
,,125,,,,,,,,,,,
,,126,,,,,,,,,,,
,,127,,,,,,,,,,,
,,128,,,,,,,,,,,
,,129,,,,,,,,,,,
,,130,,,,,,,,,,,
,,131,,,,,,,,,,,
,,132,,,,,,,,,,,
,,133,,,,,,,,,,,
,,134,,,,,,,,,,,
,,135,,,,,,,,,,,
,,136,,,,,,,,,,,
,,137,,,,,,,,,,,
,,138,,,,,,,,,,,
,,139,,,,,,,,,,,
,,140,,,,,,,,,,,
,,141,,,,,,,,,,,
,,142,,,,,,,,,,,
,,143,,,,,,,,,,,
,,144,,,,,,,,,,,
,,145,,,,,,,,,,,
,,146,,,,,,,,,,,
,,147,,,,,,,,,,,
,,148,,,,,,,,,,,
,,149,,,,,,,,,,,
,,150,,,,,,,,,,,
,,151,,,,,,,,,,,
,,152,,,,,,,,,,,
,,153,,,,,,,,,,,
,,154,,,,,,,,,,,
,,155,,,,,,,,,,,
,,156,,,,,,,,,,,
,,157,,,,,,,,,,,
,,158,,,,,,,,,,,
,,159,,,,,,,,,,,
,,160,,,,,,,,,,,
,,161,,,,,,,,,,,
,,162,,,,,,,,,,,
,,163,,,,,,,,,,,
,,164,,,,,,,,,,,
,,165,,,,,,,,,,,
,,166,,,,,,,,,,,
,,167,,,,,,,,,,,
,,168,,,,,,,,,,,
,,169,,,,,,,,,,,
,,170,,,,,,,,,,,
,,171,,,,,,,,,,,
,,172,,,,,,,,,,,
,,173,,,,,,,,,,,
,,174,,,,,,,,,,,
,,175,,,,,,,,,,,
,,176,,,,,,,,,,,
,,177,,,,,,,,,,,
,,178,,,,,,,,,,,
,,179,,,,,,,,,,,
,,180,,,,,,,,,,,
,,181,,,,,,,,,,,
,,182,,,,,,,,,,,
,,183,,,,,,,,,,,
,,184,,,,,,,,,,,
,,185,,,,,,,,,,,
,,186,,,,,,,,,,,
,,187,,,,,,,,,,,
,,188,,,,,,,,,,,
,,189,,,,,,,,,,,
,,190,,,,,,,,,,,
,,191,,,,,,,,,,,
,,192,,,,,,,,,,,
,,193,,,,,,,,,,,
,,194,,,,,,,,,,,
,,195,,,,,,,,,,,
,,196,,,,,,,,,,,
,,197,,,,,,,,,,,
,,198,,,,,,,,,,,
,,199,,,,,,,,,,,
,,200,,,,,,,,,,,
,,201,,,,,,,,,,,
,,202,,,,,,,,,,,
,,203,,,,,,,,,,,
,,204,,,,,,,,,,,
,,205,,,,,,,,,,,
,,206,,,,,,,,,,,
,,207,,,,,,,,,,,
,,208,,,,,,,,,,,
,,209,,,,,,,,,,,
,,210,,,,,,,,,,,
,,211,,,,,,,,,,,
,,212,,,,,,,,,,,
,,213,,,,,,,,,,,
,,214,,,,,,,,,,,
,,215,,,,,,,,,,,
,,216,,,,,,,,,,,
,,217,,,,,,,,,,,
,,218,,,,,,,,,,,
,,219,,,,,,,,,,,
,,220,,,,,,,,,,,
,,221,,,,,,,,,,,
,,222,,,,,,,,,,,
,,223,,,,,,,,,,,
,,224,,,,,,,,,,,
,,225,,,,,,,,,,,
,,226,,,,,,,,,,,
,,227,,,,,,,,,,,
,,228,,,,,,,,,,,
,,229,,,,,,,,,,,
,,230,,,,,,,,,,,
,,231,,,,,,,,,,,
,,232,,,,,,,,,,,
,,233,,,,,,,,,,,
,,234,,,,,,,,,,,
,,235,,,,,,,,,,,
