2025年2月渠道、代投总支出,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2025年2月渠道商剩余广告费,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,3500.25,,,,
2月代投,总转款,进群数,,最终款,备注,地区,,,,,,
印度006对接—henry,71192,3236,,71192,,印度,,,,,,
印度驻场-lala(郑总）,206172,8964,,206172,,印度,,,,,,
印度003对接—胖鱼,45655,1985,,45655,,印度,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,323019,,,,,,,,
,,,,,,,,,,,,
,,,,,更新日期：,2025-03-01 00:00:00,,,,,,
,,,,,,,,,,,,
,,,,1148586.23,,,,,,,,
2025年2月甲方总收入,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
地区,项目,总转款,备注,,,,,,,,,
,,,,,,,,,,,,
意大利,意大利蟑螂哥2月,19320,,,,,,,,,,
意大利,意大利（2000）阿光,50000,,,,,,,,,,
意大利,意大利第三梯队608（蟑螂哥）,27480,,,,,,,,,,
意大利,意大利张总单导,8760,,,,,,,,,,
西班牙,（蟑螂哥）西班牙,1600,,,,,,,,,,
印度,印度25期（印度1期）,104276,2/7结束,,,,,,,,,
印度,印度9期,362840,2/9结束,,,,,,,,,
印度,印度2期,200000,,,,,,,,,,
印度,印度（10）金山2/22,100000,,,,,,,,,,
印度,印度11期,60004,,,,,,,,,,
印度,印度FB天叶（2/24）,50000,,,,,,,,,,
印度,GT (井号户）,16816.46,,,,,,,,,,
,,,,,,,,,,,,
渠道商退款,CH加白户14➕1,3978,,,,,,,,,,
渠道商退款,GF&SHEN美国户 开10u 10%+u1,15631,GD&shen 欧洲美金户 10%u1退剩余20%：292.6；GF&SHEN美国户 开10u 10%+u1退15338.85,,,,,,,,,
渠道商退款,GD&shen 欧洲美金户 10%u1,1170,,,,,,,,,,
渠道商退款,GT&Shen 欧洲美金低消户 12%u1,10062,,,,,,,,,,
渠道商退款,开户美国三不限户-Daisy,4068.69,,,,,,,,,,
渠道商退款,渠道商退款：桃子熊退款,4135.41,,,,,,,,,,
渠道商退款,渠道商退款：Alex 法国TMI户&11+1 麦芽-西柚,500,,,,,,,,,,
代投退款,代投退款：意大利-（岳总）,400,,,,,,,,,,
代投退款,代投退款：西班牙/春兰/70A,1190,,,,,,,,,,
代投退款,代投退款：西班牙70A-xingxing,1610,,,,,,,,,,
,1月结余,324824.07,,,,,,,,,,
,月度差值,657,,,,,,,,,,
,,1369322.63,,,,,,,,,,
,,,,,,,,,,,,
,,1368722.629,,,,,,,,,,
,,,,,,,,,,,,
,,-600.001,,,,,,,,,,
