2025年8月渠道、代投总支出,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,2025年8月渠道商剩余广告费,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,"支出表统计的消耗：$114,359.67",114359.67,,,
,,,,,,,,,,,,,
,,,,,,,,,8月预估剩余广告费,13148.162,,,
,,,,460249.3187,,,,,,,,,
,,,,,,,,,支出表-消耗表=,-2709.5699999999924,,,
其他代投,总转款,进群数,已退款,最终款,备注,地区,,,,,,,
马来英_阿稳,11440,,,11440,,,,,,,,,
海总-小日子，意大利🇮🇹,5000,,,5000,,,,,,,,,
,,,,16440,,,,,,,,,
,,,,,,,,,,,,,
德国代投,总转款,进群数,已退款,最终款,备注,地区,,,127248.9,129958.47,,,
海总-德国；意大利,105935,,,105935,,,,,,,,,
德国德语-阿稳,2600,,,2600,,,,,,,,,
,,,,108535,,,,,,,,,
,,,,,,,,,,,,,
印度代投,总转款,进群数,,最终款,备注,地区,,,,,,,
印度驻场-lala(郑总）,43309,1883,,43309,,,,,,,,,
阿稳-IN,17280,,,17280,,,,,,,,,
,,,,60589,,,,,,,,,
,,,,,,,,,,,,,
,,,,,更新日期：,2025-09-01 00:00:00,,,,,,,
,,,,,,,,,,,,,
,,,,775771.7887,,,,,,,,,
2025年8月甲方总收入,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
地区,项目,总转款,备注,,,,,,,,,,
德国,德国股票粉（1）组【张小强】,133280,,,,,,,,,,,
印度,印度15期,39144,,,,,,,,,,,
印度,印度25期,1928,,,,,,,,,,,
印度,波贝6期,36232,,,,,,,,,,,
印度,B1印度,50000,,,,,,,,,,,
意大利,意大利第5梯队610,7620,,,,,,,,,,,
印度,印度16期,30408,,,,,,,,,,,
德国,渠道BF 德国F,8000,,,,,,,,,,,
马来,渠道L 英文L 马来,18000,,,,,,,,,,,
印度,印度23期,50000,,,,,,,,,,,
印度,拉总（印度）,3816,,,,,,,,,,,
印度,印度17期,30000,,,,,,,,,,,
西班牙,西班牙大区1组资源-张小强,220,,,,,,,,,,,
渠道商退款,深圳芳林子,19982.64,,,,,,,,,,,
渠道商退款,海总新渠道,1080,,,,,,,,,,,
代投退款,德国德语-阿稳,1820,,,,,,,,,,,
代投退款,海总-德国；意大利,7670,,,,,,,,,,,
渠道商退款,凤凰渠道-泰华,16135.85,,,,,,,,,,,
代投退款,海总-小日子，意大利🇮🇹,2150,,,,,,,,,,,
渠道商退款,济宁韦宁&香港有意思 二不限 3%,1411.75,,,,,,,,,,,
渠道商退款,海总-MC开户对接群,2522,,,,,,,,,,,
渠道商退款,Vcc-102524 服务费1（泰华）,192.95,,,,,,,,,,,
渠道商退款,路人互动-海总（50-7）山,1116.98,,,,,,,,,,,
渠道商退款,海总新渠道 10+1,39337.47,,,,,,,,,,,
渠道商退款,印尼企业户,1150,,,,,,,,,,,
渠道商退款,印度企业户 欧洲美金户,12092.82,,,,,,,,,,,
渠道商退款,阿水 印度mom 11+1,4222.37,,,,,,,,,,,
,钱包差值,35.437,,,,,,,,,,,
,7月结余,368534.2708871986,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,888102.5379,,,,,,,,,,,
