9月渠道、代投总支出,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,9月渠道商剩余广告费,Unnamed: 10,Unnamed: 11,Unnamed: 12
印度,凯旋城-印度-阿荣一期,120000,,,,,,,,,,
印度,凯旋城二期印度,95000,,,,,,,,,,
印度,凯旋城三期印度,150000,,,,,,,,,,
印度,天叶印度引流8/22,50000,,,,,,,,,,
印度,印度一期9/19,300000,,,,,,,,,,
印度,海哥-印度粉9/22,109200,,,,,,,,,,
土耳期,土耳期（金边）,20000,,,,,,,,,,
土耳期,土耳其打粉群1西港,198660,,,,,,,,,,
土耳期,土耳其西港2期,350000,,,,,,,,,,
美国,美国股票粉（2）菲菲西港回款,12092,,,,,,,,,,
,,2155007.91,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
代投,进群人数,应收,转账,利润,,,,,,,,
推特代投,65,1755,1785,-30,,,,,,,,
土耳其的代投,50,2000,2000,0,,,,,,,,
fafa土耳其代投,293,17580,9680,7900,,,,,,,,
印度粉测试-~K in,676,16752,15540,1212,,,,,,,,
,,,29005,9082,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
郑州金边-9月,进群人数✖️0.85,应收,消耗,加上充值手续费,人员工资,郑州金边后勤已支出,,利润,,,,
印度,26320,710640,519298.23,620464.8937,45097.49,31132.78,,90277.6,,,,
土耳其,4748,284880,225063.64,264570.24,,,,256.652401,,,,
,,995520,,885035.1337,45097.49,31132.78,34254.5963,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
SZ-9月,进群人数,应收,消耗,加上充值手续费,人员工资,深圳后勤已支出（单独算）,,,,,,
印度,34914,942678,775056.83,922317.6277,52715.34,13417.75942,,,,,,
土耳其,2879,172740,142613.88,169710.5172,,,,,,,,
美国,232,1989.05,1989.05,1989.05,,,,,,,,
,38025,1117407.05,919659.76,1094017.195,52715.34,13417.75942,-42743.24432,,,,,
,,,,4805.1849,,,,,,,,
,,,,,,,,,,,,
9月,总进群人数,总应收,总消耗,加上充值手续费,总人员工资,总后勤已支出,,,,,,
印度,61234,1653318,1294355.06,1542782.521,97812.83,44550.53942,,57968.29884,,,,
土耳其,7627,457620,367677.52,434280.7572,,,,,,,,
美国,232,1989.05,1989.05,1989.05,,,,,,,,
印度总代投,741,18507,17325,17325,,,1182,,,,,
土耳其总代投,343,19580,11680,11680,,,7900,,,,,
,69093,2112927.05,,2008057.329,97812.83,44550.53942,-28411.64802,,,,,
,,,,,,,,,,,,
,,2151014.05,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
印度进粉,,,,,,,,,,,,
