8月收支财务报表,Unnamed: 3,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 25
支出,,16,2024-08-02 00:00:00,,,,,欧洲户广告费,1030,欧洲户,18:07:00,27300,L ynn  fb 土耳其,,27300,,
1844118.72,,17,2024-08-02 00:00:00,,,,,备用金,10000,nana,18:09:00,494,土耳其蛋蛋小黄鸡,,494,,
结余,,18,2024-08-02 00:00:00,,,,,谷歌新主体户15+6,6480,黑泽明,21:48:00,11194,低消1万美金户,,11194,10694.0,
14888.89249,,19,2024-08-03 00:00:00,,,,,wade- 海外户对接nancy,5500,nancy海外户广告费,15:59:00,14000,印度本土财经-测试,,14000,,
,,20,2024-08-03 00:00:00,,,,,fb代投广告费,12600,shen-🇮🇳对接群,18:00:00,3600,印度打群（南山）,,3600,,
,,21,2024-08-03 00:00:00,,,,,Fa代投广告费,2992,Fa代投,18:55:00,4500,美国单导 小黄鸡,,2970,,
,,22,2024-08-04 00:00:00,,,,,wade- 海外户对接nancy,1000,nancy海外户广告费,15:20:00,10000,备用金,,8375.14,,
,,23,2024-08-04 00:00:00,印度12期打粉（20000）,100000,12期,15:36:00,wade- 海外户对接nancy,11700,nancy海外户广告费，20个北美户。20*70=1400。20*500=10000*1.03=10300➕1400=11700,18:29:00,10400,HUI&HT_土耳其FB对接,,10400,,
,,24,2024-08-05 00:00:00,,,,,wade- 海外户对接nancy,2060,nancy海外户广告费,10:15:00,177481.6,后勤转入,,1582087.02,1295581.02,
,,25,2024-08-05 00:00:00,,,,,fb代投广告费,14400,shen-🇮🇳对接群,10:24:00,45001,后勤转回,,,,1597620.16
,,26,2024-08-05 00:00:00,谷歌新主体户15+6,5956,返款，黑泽明,14:18:00,wade 美国户6+1,1082.2,wade 美国户6+1广告费Jennie,14:55:00,,,,,,
,,27,2024-08-05 00:00:00,美盘打粉对接群（钱总群）7月,5400,,20:49:00,美丽fb代投广告费,4800,shen-美丽🇺🇸对接群,20:54:00,1834249.72,,,,,
,,28,2024-08-06 00:00:00,,,,,fb代投广告费,18000,shen-🇮🇳对接群,08:04:00,84481.6,印度11期'（20000）,293781.6,,,
,,29,2024-08-06 00:00:00,,,,,后勤转入,20000,后勤,08:07:00,350000,印度12期打粉（20000）,,,,
,,30,2024-08-06 00:00:00,土耳其打粉群1,20000,阿斗,14:40:00,,,,,5400,美盘打粉对接群（钱总群）8月,,,,
,,31,2024-08-07 00:00:00,,,,,fb代投广告费,30000,shen-🇮🇳对接群,11:29:00,270000,土耳其打粉群1,,,,
,,32,2024-08-07 00:00:00,,,,,广告配套,200,矿工费,11:41:00,236640,印度粉 FB 孟德,,,,
,,33,2024-08-07 00:00:00,,,,,广告配套,300,Smit续费,11:46:00,100000,印度粉 FB 李修缘,,,,
,,34,2024-08-07 00:00:00,,,,,广告配套,60,比特美国IP,13:18:00,20000,金边 美国 谷歌单导,,,,
,,35,2024-08-07 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,2300,P哥1413,16:16:00,300000,13期上粉（20000),,,,
,,36,2024-08-08 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,7000,P哥1413,19:16:00,150000,天叶印度引流8/22,,,,
,,37,2024-08-09 00:00:00,,,,,远程佣金,577.92,新电脑x2、代账及开公户、水电费、新环境VPN,18:12:00,30000,土耳期（金边）,,,,
,,38,2024-08-09 00:00:00,,,,,wade- 海外户对接nancy,2060,nancy海外户广告费,21:26:00,100000,印度14期,,,,
,,39,2024-08-10 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,17400,P哥1413,10:36:00,,,,,,
,,40,2024-08-10 00:00:00,后勤转入,30000,,14:50:00,,,,,,,,,,
,,41,2024-08-10 00:00:00,后勤转入,5000,,14:51:00,凤凰&洛阳&15+1（1200）&8+1（60）,34800,P哥1413,14:52:00,,,,,,
,,42,2024-08-10 00:00:00,印度12期打粉（20000）,100000,12期,15:30:00,后勤转回,35000,后勤,15:33:00,,,,,,
,,43,2024-08-10 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,34800,P哥1413,20:30:00,,,,,,
,,44,2024-08-10 00:00:00,印度粉 FB 孟德,100,咖啡,20:36:00,,,,,,,,,,
,,45,2024-08-10 00:00:00,印度粉 FB 孟德,29900,咖啡,20:42:00,,,,,,,,,,
,,46,2024-08-12 00:00:00,,,,,账单户广告费,5000.41,桃子熊,17:33:00,,,,,,
,,47,2024-08-12 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,9280,P哥1413,20:04:00,,,,,,
,,48,2024-08-12 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,11600,P哥1413,21:31:00,,,,,,
,,49,2024-08-13 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,5800,P哥1413,10:45:00,,,,,,
,,50,2024-08-13 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23200,P哥1413,14:03:00,,,,,,
,,51,2024-08-13 00:00:00,印度12期打粉（20000）,100000,12期,15:39:00,凤凰&洛阳&15+1（1200）&8+1（60）,29000,P哥1413,16:22:00,,,,,,
,,52,2024-08-13 00:00:00,,,,,谷歌代投,10,谷歌测粉HT土耳其，Chris Ryan,16:54:00,,,,,,
,,53,2024-08-13 00:00:00,,,,,谷歌代投,15990,谷歌测粉HT土耳其，Chris Ryan,16:59:00,,,,,,
,,54,2024-08-13 00:00:00,印度粉 FB 孟德,100,咖啡,20:55:00,广告配套,112.2,adspower续费,17:25:00,,,,,,
,,55,2024-08-13 00:00:00,印度粉 FB 孟德,23900,咖啡,20:57:00,后勤转入,20000,后勤,22:53:00,,,,,,
,,56,2024-08-14 00:00:00,fb代投广告费,5024,shen-🇮🇳对接群，退款,13:24:00,广告配套,2000,开户费，凤凰&洛阳&15+1（1200）&8+1（60），P哥1413,13:29:00,"充值：45000*1.19=53550
新户首充：5000*1.19=5950
开户费：2000
53550+5950+2000=61500",,,,,
,,57,2024-08-14 00:00:00,江小南虚拟卡广告费,6106.91,江小南,18:02:00,凤凰&洛阳&15+1（1200）&8+1（60）,59500,P哥1413,13:29:00,,,,,,
,,58,2024-08-14 00:00:00,印度12期打粉（20000）,50000,12期,18:38:00,Fa代投广告费,5743,Fa代投,18:45:00,,,,,,
,,59,2024-08-14 00:00:00,谷歌代投,13056,退款，谷歌测粉HT土耳其，Chris Ryan,20:57:00,,,,,,,,,,
,,60,2024-08-15 00:00:00,,,,,Fa代投广告费,10000,Fa代投,16:06:00,,,,,,
,,61,2024-08-16 00:00:00,土耳其打粉群1,50000,阿斗,15:09:00,Fa代投广告费,20000,Fa代投,21:22:00,,,,,,
,,62,2024-08-17 00:00:00,,,,,远程佣金,3430.99,8/1-8/15史戈团队佣金,12:07:00,,,,,,
,,63,2024-08-17 00:00:00,,,,,L ynn 印度 fb 美国 fb 土耳其 fb 巴西 FB,2100,土耳其预付50x42=2100,15:14:00,,,,,,
,,64,2024-08-17 00:00:00,,,,,SW 印度 表单＋落地页40+前10城市,8500,印度预付500*17=8500，(Found Up) 超人,21:39:00,,,,,,
,,65,2024-08-18 00:00:00,,,,,启航广告费,5350,启航,10:44:00,,,,,,
,,66,2024-08-18 00:00:00,,,,,土耳其蛋蛋小黄鸡,10,蛋蛋小黄鸡,13:15:00,,,,,,
,,67,2024-08-18 00:00:00,,,,,土耳其蛋蛋小黄鸡,3790,蛋蛋小黄鸡,13:18:00,,,,,,
,,68,2024-08-18 00:00:00,,,,,广告配套,500,开户费，低消1万美金户，天子 出海,14:31:00,,,,,,
,,69,2024-08-18 00:00:00,,,,,低消1万美金户,5750,天子 出海,15:04:00,,,,,,
,,70,2024-08-18 00:00:00,金边 美国 谷歌单导,10,,17:25:00,印度本土财经-测试,10,风,18:13:00,,,,,,
,,71,2024-08-18 00:00:00,金边 美国 谷歌单导,19990,,17:31:00,印度本土财经-测试,6990,风,18:17:00,,,,,,
,,72,2024-08-18 00:00:00,,,,,印度打群（南山）,3600,南山,18:58:00,,,,,,
,,73,2024-08-18 00:00:00,,,,,启航广告费,4460,启航,20:48:00,,,,,,
,,74,2024-08-18 00:00:00,,,,,印度本土财经-测试,7000,风,22:30:00,,,,,,
,,75,2024-08-18 00:00:00,印度粉 FB 孟德,100,咖啡,23:14:00,,,,,,,,,,
,,76,2024-08-18 00:00:00,印度粉 FB 孟德,49900,咖啡,23:15:00,,,,,,,,,,
,,77,2024-08-19 00:00:00,,,,,L ynn 印度 fb 美国 fb 土耳其 fb 巴西 FB,4200,土耳其预付100x42=4200,13:21:00,,,,,,
,,78,2024-08-19 00:00:00,,,,,启航广告费,8720,启航手续费8+1,15:12:00,,,,,,
,,79,2024-08-19 00:00:00,,,,,fb代投广告费,3247,shen-🇮🇳对接群,15:45:00,,,,,,
,,80,2024-08-19 00:00:00,,,,,启航广告费,5450,启航,16:13:00,,,,,,
,,81,2024-08-19 00:00:00,土耳其蛋蛋小黄鸡,3306,蛋蛋小黄鸡,16:35:00,,,,,,,,,,
,,82,2024-08-19 00:00:00,wade 美国户6+1,606,谷歌退费，wade 美国户6+1广告费Jennie,16:47:00,,,,,,,,,,
,,83,2024-08-20 00:00:00,印度11期'（20000）,34481.6,,10：44,后勤转入,34481.6,,10:52:00,,,,,,
,,84,2024-08-20 00:00:00,,,,,启航广告费,5330,启航,11:37:00,,,,,,
,,85,2024-08-20 00:00:00,,,,,账单户广告费,5000.77,桃子熊,11:40:00,,,,,,
,,86,2024-08-20 00:00:00,,,,,fb代投广告费,272,shen-🇮🇳对接群,12:11:00,,,,,,
,,87,2024-08-20 00:00:00,13期上粉（20000),100000,小柒,14:25:00,凤凰&洛阳&15+1（1200）&8+1（60）,23800,P哥1413,16:39:00,,,,,,
,,88,2024-08-20 00:00:00,,,,,Fa代投广告费,20000,Fa代投,16:50:00,,,,,,
,,89,2024-08-20 00:00:00,,,,,启航广告费,605,启航,19:00:00,,,,,,
,,90,2024-08-20 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,P哥1413,23:13:00,,,,,,
,,91,2024-08-21 00:00:00,,,,,启航广告费,2020,启航,10:12:00,,,,,,
,,92,2024-08-21 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,P哥1413,11:06:00,,,,,,
,,93,2024-08-21 00:00:00,,,,,启航广告费,4865,启航,13:59:00,,,,,,
,,94,2024-08-21 00:00:00,印度粉 FB 孟德,100,咖啡,14:03:00,,,,,,,,,,
,,95,2024-08-21 00:00:00,印度粉 FB 孟德,49900,咖啡,14:05:00,账单户广告费,5000.7,桃子熊,14:05:00,,,,,,
,,96,2024-08-21 00:00:00,土耳其打粉群1,50000,阿斗,15:52:00,凤凰&洛阳&15+1（1200）&8+1（60）,10600,"10*1000*1.06=10600,每个充值1000，手续费5+1，10600",16:07:00,,,,,,
,,97,2024-08-21 00:00:00,,,,,广告配套,37.5,WS号，3个印度的，3个美国的,16:16:00,,,,,,
,,98,2024-08-21 00:00:00,,,,,L ynn 印度 fb 美国 fb 土耳其 fb 巴西 FB,21000,土耳其预付500x42=21000,17:23:00,,,,,,
,,99,2024-08-21 00:00:00,,,,,广告配套,420.6,个号*10,19:37:00,,,,,,
,,100,2024-08-21 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,35700,P哥1413,22:20:00,,,,,,
,,101,2024-08-21 00:00:00,,,,,Fa代投广告费,20000,Fa代投,23:35:00,,,,,,
,,102,2024-08-22 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,P哥1413,09:23:00,,,,,,
,,103,2024-08-22 00:00:00,,,,,低消1万美金户,5444,4733.77×1.15=5444,11:14:00,,,,,,
,,104,2024-08-22 00:00:00,,,,,账单户广告费,5000.7,桃子熊,11:33:00,,,,,,
,,105,2024-08-22 00:00:00,,,,,启航广告费,5103.75,启航,11:38:00,,,,,,
,,106,2024-08-22 00:00:00,,,,,启航广告费,1090,启航,12:27:00,,,,,,
,,107,2024-08-22 00:00:00,,,,,广告配套,420.63,个号*10,14:01:00,,,,,,
,,108,2024-08-22 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,P哥1413,14:33:00,,,,,,
,,109,2024-08-22 00:00:00,天叶印度引流,100,小花🌸,14:51:00,,,,,,,,,,
,,110,2024-08-22 00:00:00,天叶印度引流,49900,小花🌸,14:58:00,,,,,,,,,,
,,111,2024-08-22 00:00:00,印度粉 FB 孟德,100,咖啡,15:46:00,,,,,,,,,,
,,112,2024-08-22 00:00:00,印度粉 FB 孟德,49900,咖啡,15:47:00,,,,,,,,,,
,,113,2024-08-22 00:00:00,土耳其打粉群1,50000,阿斗,16:09:00,后勤转入,20000,,16:15:00,,,,,,
,,114,2024-08-22 00:00:00,凤凰&洛阳&15+1（1200）&8+1（60）,2000,2个企业账单户退款,16:21:00,,,,,,,,,,
,,115,2024-08-22 00:00:00,fb广告费充值,13749.74,深圳芳林子,16:52:00,后勤转入,20000,,17:10:00,,,,,,
,,116,2024-08-22 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,3180,"清零1000转入
3000*1.06=3180；732937208957744
清零余额1000
转移充值到
1946292505888556  FH04-LY-1946292505888556+7
到账1000；",21:28:00,,,,,,
,,117,2024-08-22 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,11900,10000*1.19=11900,22:07:00,,,,,,
,,118,2024-08-22 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,35700,30000*1.19=35700,22:43:00,,,,,,
,,119,2024-08-22 00:00:00,,,,,启航广告费,7734.74,启航,22:55:00,,,,,,
,,120,2024-08-23 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,P哥1413,09:57:00,,,,,,
,,121,2024-08-23 00:00:00,,,,,启航广告费,5087.42,启航,11:07:00,,,,,,
,,122,2024-08-23 00:00:00,欧洲户广告费,1030,GT&Wshen欧洲户+3服务费；karl-FB三不限2不限户,12:04:00,Fa代投广告费,20000,Fa代投,12:23:00,,,,,,
,,123,2024-08-23 00:00:00,小h广告费,10000,济宁韦宁&香港有意思 二不限 3%,13:38:00,凤凰&洛阳&15+1（1200）&8+1（60）,23800,P哥1413,16:56:00,,,,,,
,,124,2024-08-23 00:00:00,13期上粉（20000),100000,小柒,16:26:00,凤凰&洛阳&15+1（1200）&8+1（60）,3180,3000*1.06=3180；FH04-LY-421989844190659  421989844190659,18:17:00,,,,,,
,,125,2024-08-23 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,3180,"3000*1.06=3180；FH04-LY-1946292505888556  1946292505888556      2000usd
FH03-LY-1563868291229090  1563868291229090      1000usd ",18:31:00,,,,,,
,,126,2024-08-23 00:00:00,,,,,启航广告费,3356,启航,16:42:00,,,,,,
,,127,2024-08-23 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,10000,"200*50=10000
；200个企业账单户",19:51:00,,,,,,
,,128,2024-08-23 00:00:00,,,,,账单户广告费,5600.49,桃子熊,20:08:00,,,,,,
,,129,2024-08-23 00:00:00,,,,,美国单导 小黄鸡,4500,50*90=4500美国,22:07:00,,,,,,
,,130,2024-08-23 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,35700,30000*1.19=35700,22:49:00,,,,,,
,,131,2024-08-23 00:00:00,,,,,广告配套,126.32,个号*3,23:33:00,,,,,,
,,132,2024-08-24 00:00:00,,,,,广告配套,200,矿工费,09:52:00,,,,,,
,,133,2024-08-24 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,BBH ACC New 1,11:47:00,,,,,,
,,134,2024-08-24 00:00:00,转回,1624.86,,12:51:00,,,,,,,,,,
,,135,2024-08-24 00:00:00,土耳其打粉群1,100000,阿斗,17:27:00,凤凰&洛阳&15+1（1200）&8+1（60）,23800,BBH ACC New 1,18:57:00,,,,,,
,,136,2024-08-24 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,7420,7000*1.06=7420,20:38:00,,,,,,
,,137,2024-08-24 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,10000,BBH ACC New 1  ,20:55:00,,,,,,
,,138,2024-08-24 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,1900,BBH ACC New 1  手续费,20:56:00,,,,,,
,,139,2024-08-24 00:00:00,,,,,广告配套,547.51,个号*13,21:14:00,,,,,,
,,140,2024-08-24 00:00:00,,,,,广告配套,450,艺吱吱IP,21:40:00,,,,,,
,,141,2024-08-24 00:00:00,,,,,Fa代投广告费,20000,Fa代投,21:56:00,,,,,,
,,142,2024-08-24 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,5300,5000*1.06=5300；FH04-LY-421989844190659，5K,22:22:00,,,,,,
,,143,2024-08-25 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,BBH ACC New 1,09:19:00,,,,,,
,,144,2024-08-25 00:00:00,,,,,广告配套,84.23,个号*2,12:59:00,,,,,,
,,145,2024-08-25 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,BBH ACC New 1,14:41:00,,,,,,
,,146,2024-08-25 00:00:00,印度粉 FB 孟德,40,咖啡,15:45:00,,,,,,,,,,
,,147,2024-08-25 00:00:00,印度粉 FB 孟德,32600,咖啡,15:51:00,,,,,,,,,,
,,148,2024-08-25 00:00:00,美国单导 小黄鸡,1530,17*90=1530美国,,凤凰&洛阳&15+1（1200）&8+1（60）,4240,4000*1.06=4240；FH04-LY-19462925..,18:40:00,,,,,,
,,149,2024-08-25 00:00:00,,,,,启航广告费,10925,,18:57:00,,,,,,
,,150,2024-08-25 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,BBH ACC New 1,20:33:00,,,,,,
,,151,2024-08-26 00:00:00,,,,,广告配套,60,ws印度*3,10:18:00,,,,,,
,,152,2024-08-26 00:00:00,13期上粉（20000),100000,小柒,12:32:00,凤凰&洛阳&15+1（1200）&8+1（60）,23800,BBH ACC New 1,13:03:00,合并转账同一笔,,,,,
,,153,2024-08-26 00:00:00,印度粉 FB 李修缘,100,咖啡,16:17:00,凤凰&洛阳&15+1（1200）&8+1（60）,5300,5000*1.06=5300,13:03:00,合并转账同一笔,,,,,
,,154,2024-08-26 00:00:00,印度粉 FB 李修缘,49900,咖啡,16:21:00,凤凰&洛阳&15+1（1200）&8+1（60）,23800,BBH ACC New 1,19:32:00,,,,,,
,,155,2024-08-26 00:00:00,,,,,广告配套,300,浏览器添加用户*5,19:44:00,,,,,,
,,156,2024-08-27 00:00:00,,,,,账单户广告费,5000.35,桃子熊,00:38:00,,,,,,
,,157,2024-08-27 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,BBH ACC New 1,09:16:00,,,,,,
,,158,2024-08-27 00:00:00,,,,,启航广告费,5173.99,,09:24:00,,,,,,
,,159,2024-08-27 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,5300,"5000*1.06=5300,FH04-LY-4219898",13:12:00,,,,,,
,,160,2024-08-27 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,BBH ACC New 1,13:36:00,,,,,,
,,161,2024-08-27 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,4240,4000*1.06=4240;FH03-LY-1563868,13:44:00,,,,,,
,,162,2024-08-27 00:00:00,土耳期（金边）,10,成成,14:31:00,,,,,,,,,,
,,163,2024-08-27 00:00:00,土耳期（金边）,29990,成成,14:47:00,启航广告费,2323.77,,15:06:00,,,,,,
,,164,2024-08-27 00:00:00,天叶印度引流,50000,小花🌸,15:14:00,凤凰&洛阳&15+1（1200）&8+1（60）,23800,BBH ACC New 1,19:28:00,,,,,,
,,165,2024-08-28 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,BBH ACC New 1,11:03:00,,,,,,
,,166,2024-08-28 00:00:00,印度14期,100000,小天,17:04:00,启航广告费,12155,,17:44:00,,,,,,
,,167,2024-08-28 00:00:00,,,,,HUI&HT_土耳其FB对接,10,Chris Ryan,20:39:00,,,,,,
,,168,2024-08-28 00:00:00,,,,,HUI&HT_土耳其FB对接,10390,Chris Ryan,20:42:00,,,,,,
,,169,2024-08-29 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,BBH ACC New 1,10:14:00,,,,,,
,,170,2024-08-29 00:00:00,fb广告费充值,9667.01,退款，深圳芳林子,10:42:00,启航广告费,9390,,10:23:00,,,,,,
,,171,2024-08-29 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,BBH ACC New 1,12:51:00,,,,,,
,,172,2024-08-29 00:00:00,wade 美国户6+1,4783.01,wade 美国户6+1广告费Jennie,15:37:00,广告配套,464,狗头账单户*10,17:57:00,,,,,,
,,173,2024-08-29 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,BBH ACC New 1,19:19:00,,,,,,
,,174,2024-08-30 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,BBH ACC New 1,08:06:00,,,,,,
,,175,2024-08-30 00:00:00,,,,,账单户广告费,2000.57,桃子熊,10:36:00,,,,,,
,,176,2024-08-30 00:00:00,,,,,广告配套,0.21,谷歌邮箱,12:10:00,,,,,,
,,177,2024-08-30 00:00:00,印度粉 FB 李修缘,100,咖啡,13:18:00,,,,,,,,,,
,,178,2024-08-30 00:00:00,印度粉 FB 李修缘,49900,咖啡,13:20:00,凤凰&洛阳&15+1（1200）&8+1（60）,23800,BBH ACC New 1,15:41:00,,,,,,
,,179,2024-08-30 00:00:00,,,,,账单户广告费,5000.6,桃子熊,18:02:00,,,,,,
,,180,2024-08-30 00:00:00,,,,,账单户广告费,5000.12,桃子熊,19:14:00,,,,,,
,,181,2024-08-30 00:00:00,,,,,广告配套,2313,狗头账单户*50,19:22:00,,,,,,
,,182,2024-08-30 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,11900,BBH ACC New 1,21:29:00,,,,,,
,,183,2024-08-30 00:00:00,,,,,Fa代投广告费,20000,Fa代投,23:03:00,,,,,,
,,184,2024-08-31 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,11900,BBH ACC New 1,07:53:00,,,,,,
,,185,2024-08-31 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,11900,BBH ACC New 1,12:37:00,,,,,,
,,186,2024-08-31 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,11900,BBH ACC New 1,14:31:00,,,,,,
,,187,2024-08-31 00:00:00,天叶印度引流,50000,小花🌸,14:57:00,凤凰&洛阳&15+1（1200）&8+1（60）,23800,BBH ACC New 1,17:40:00,,,,,,
,,188,2024-08-31 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,BBH ACC New 1,21:18:00,,,,,,
,,189,,,,,,,,,,,,,,,
,,190,,,,,,,,,,,,,,,
,,191,,,,,,,,,,,,,,,
,,192,,,,,,,,,,,,,,,
,,193,,,,,,,,,,,,,,,
,,194,,,,,,,,,,,,,,,
,,195,,,,,,,,,,,,,,,
,,196,,,,,,,,,,,,,,,
,,197,,,,,,,,,,,,,,,
,,198,,,,,,,,,,,,,,,
,,199,,,,,,,,,,,,,,,
,,200,,,,,,,,,,,,,,,
,,201,,,,,,,,,,,,,,,
,,202,,,,,,,,,,,,,,,
,,203,,,,,,,,,,,,,,,
,,204,,,,,,,,,,,,,,,
,,205,,,,,,,,,,,,,,,
,,206,,,,,,,,,,,,,,,
,,207,,,,,,,,,,,,,,,
,,208,,,,,,,,,,,,,,,
,,209,,,,,,,,,,,,,,,
,,210,,,,,,,,,,,,,,,
,,211,,,,,,,,,,,,,,,
,,212,,,,,,,,,,,,,,,
,,213,,,,,,,,,,,,,,,
,,214,,,,,,,,,,,,,,,
,,215,,,,,,,,,,,,,,,
,,216,,,,,,,,,,,,,,,
,,217,,,,,,,,,,,,,,,
,,218,,,,,,,,,,,,,,,
,,219,,,,,,,,,,,,,,,
,,220,,,,,,,,,,,,,,,
,,221,,,,,,,,,,,,,,,
,,222,,,,,,,,,,,,,,,
,,223,,,,,,,,,,,,,,,
,,224,,,,,,,,,,,,,,,
,,225,,,,,,,,,,,,,,,
,,226,,,,,,,,,,,,,,,
,,227,,,,,,,,,,,,,,,
