10月渠道、代投总支出,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,10月渠道商剩余广告费,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
BH欧洲户-泰华-欧洲企业户-6+1,1070.6,,,1070.6,11/5号退款,111,,,印度 金融，测户Old K,0,0,0,0,2024-11-01 00:00:00,
邻点美国三不限户,3660,300,,3360,税1013.86,460,,,FF139&星辰-欧元户5%,34,2.1,21.23,0,2024-11-01 00:00:00,
印度 金融，测户Old K,1990.76,1990.76,0,0,已退款,,,,济宁韦宁&香港有意思 二不限 3%,3691.71,0,0,3691.71,2024-11-01 00:00:00,
FF139&星辰-欧元户5%,2000,1866,,134,,100,,,低消1万美金户,8266.12,4499.85,664.47,3101.8,2024-11-01 00:00:00,
济宁韦宁&香港有意思 二不限 3%,3776.71,,,3776.71,,85,,,Chris Ryan&二不限,1725.17,324.85,176.52,1223.8,2024-11-01 00:00:00,
低消1万美金户,9733.77,,,9733.77,10月开户+充值502.8,1467.65,,,,,408272.9969,205512.62,175705.9731,,
Chris Ryan&二不限,1832.52,,,1832.52,,107.35,,,,,,,,,
印度企业户100u➕14%扎克伯克,1256.986,,,1256.986,,242.086,,,,,,,,,
,,,,804210.72,,97213.676,,,越南户测试-船奇,,,,25875,2024-11-01 00:00:00,
,,,,,,,,,博程-欧洲美金户-泰华,,,,7150,2024-11-01 00:00:00,
,,,,,,,,,,,,,33025,,
账单户买户,总转款,已退款,未退款,最终款,备注,手续费,,,,,,,,,
bm5-mingzihaha,490,,,490,买户490,490,,,,,,,,,
Shen wade&BM户35+2+1江小南,4470,3938.09,,531.91,买户470,470,,,,,,,208730.9731,,
狗头账单户,254,,,254,买户254,254,,,,,,,,,
Fb966半限户-啊噗,1051.26,,,1051.26,4个SZ210*4；2个SG210*2,1051.26,,,,,,,,,
广告配套,3501.707391,,,3501.707391,5646.75是人民币支出,,,,,,,,,,
,,,,5828.877391,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,611598.6243,,,,,,,
,,,,,,,,,,,,,,,
代投,总转款,已退款,未退款,最终款,备注,地区,,,,,,,,,
印度粉测试-~K in,10290,,,10290,9月也添加在表格里,印度代投,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,10290,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,更新日期：,2024-11-01 00:00:00,,,,,,,,,
,,,,,,,,,,,,,,,
10月甲方总收入,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
地区,项目,总转款,备注,,,,,,,,,,,,
退款,退款（渠道商：斯特普思-泰华,802,,,,,,,,,,,,,
退款,退款（渠道商：邻点美国三不限户,300,,,,,,,,,,,,,
退款,退款（渠道商：FF139&星辰-欧元户5%,1866,,,,,,,,,,,,,
退款,退款（渠道商：印度测户-黑泽明,4988.35,,,,,,,,,,,,,
退款,退款（渠道商：Shen wade&BM户35+2+1江小南,3938.09,,,,,,,,,,,,,
退款,退款（渠道商：凤凰&洛阳&15+1（1200）&8+1（60）,33351.44,,,,,,,,,,,,,
退款,退款（渠道商：印度 金融，测户Old K）,1990.76,,,,,,,,,,,,,
印度,凯旋城三期印度,179526,,,,,,,,,,,,,
印度,印度一期9/19,23298,,,,,,,,,,,,,
印度,鼎盛专用广告费,150000,,,,,,,,,,,,,
印度,印度4期,300000,,,,,,,,,,,,,
印度,印度17期,66700,,,,,,,,,,,,,
印度,印度18期,200000,,,,,,,,,,,,,
意大利,意大利蟑螂哥,16644,,,,,,,,,,,,,
德国,德国股粉对接群,9045,,,,,,,,,,,,,
土耳其,土耳其/A李信,26000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,970411,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SG-10月,进群人数,应收,消耗,充值手续费,广告配套,人员工资,SG后勤已支出,SFA消耗,利润,,,,,,
印度,21090,506160,360485.1026,55707.77,2914.44,34266.87,20430.72174,6606.94,10986.6962,,,,,,
土耳其,85,5355,7272.296125,消耗不含手续费,,,,,,,,,,,
意大利,94,8930,19714.34,,,,,,,,,,,,
德国,2,260,2319.823333,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SZ-10月,进群人数,应收,消耗,充值手续费,广告配套,人员工资,SZ后勤已支出,EGM消耗,利润,,,,,,
印度,9671,232104,189095.64,17010.53,2914.44,23432.86,5426.897101,2900.14,25472.9729,,,,,,
土耳其,879,55377,21903.9,消耗含手续费,,,,,,,,,,,
意大利,0,0,0,,,,,,,,,,,,
德国,67,8710,8531.65,,,,,,,,,,,,
船奇-赵立文,,,16512.5,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
总-10月,总进群人数,总应收,总消耗,总充值手续费,广告配套,总人员工资,总后勤已支出,白户差值,利润,,,,,,
印度,30761,738264,549580.7426,72718.3,5828.88,57699.73,25857.61884,9507.08,19947.1691,,,,,,
土耳其,964,60732,29176.19613,,,,,,,,,,,,
意大利,94,8930,19714.34,,,,,,,,,,,,
德国,69,8970,10851.47333,,,,,,,,,,,,
船奇-赵立文户商跑路,,,33025,,,,,,,,,,,,
,,816896,642347.7521,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SZ,,,,,,,,,,,,,,,
,,手续费,开户费,SG,,手续费,开户费,金边,,手续费,开户费,,,,
,印度企业户100u➕14%扎克伯克,142.086,100,,,,,,,,,,,,
,Chris Ryan&二不限 麦芽互动 下户-西柚,3,40,,Chris Ryan&二不限 麦芽互动 下户-西柚,9,40,,Chris Ryan&二不限 麦芽互动 下户-西柚,24.25,0,,,,
,凤凰&洛阳,435.8,300,,凤凰&洛阳,800,300,,凤凰&洛阳,3610,1000,,,,
,深圳芳林子@SHEN 户,111,0,,深圳芳林子@SHEN 户,888,0,,深圳芳林子@SHEN 户,10045.5,0,,,,
,FA-泰华印度1016（A-JIE）,1470,210,,FA-泰华印度1016（A-JIE）,810,175,,FA-泰华印度1016（A-JIE）,45,35,,,,
,十月二不限-泰华,907,308,,十月二不限-泰华,230,200,,十月二不限-泰华,102,200,,,,
,泰华-启航二不限,2843,1500,,泰华-启航二不限,22999,2750,,泰华-启航二不限,2343,250,,,,
,GT&SHEN 台湾户,1568.45,220,,GT&SHEN 台湾户,670,280,,GT&SHEN 台湾户,107.78,40,,,,
,GT2&SHEN 欧 4%+u1,500,0,,GT2&SHEN 欧 4%+u1,600,0,,GT2&SHEN 欧 4%+u1,50,0,,,,
,GF&SHEN美国户 ,1397.49,80,,GF&SHEN美国户 ,2145,70,,GF&SHEN美国户 ,715,30,,,,
,低消1万美金户,302.8,100,,低消1万美金户,317.17,150,,低消1万美金户,317.17,150,,,,
,斯特普思-泰华,280,420,,斯特普思-泰华,0,0,,斯特普思-泰华,0,0,,,,
,三不限-泰华709-Sherry,285,60,,三不限-泰华709-Sherry,285,60,,三不限-泰华709-Sherry,0,0,,,,
,BH欧洲户-泰华-欧洲企业户-6+1,0,0,,BH欧洲户-泰华-欧洲企业户-6+1,0,0,,BH欧洲户-泰华-欧洲企业户-6+1,70.6,0,,,,
,BM户测试-大白,1540,160,,BM户测试-大白,980,160,,BM户测试-大白,0,0,,,,
,博程-欧洲美金户-泰华,750,150,,博程-欧洲美金户-泰华,450,100,,博程-欧洲美金户-泰华,0,0,,,,
,越南户测试-船奇,225,0,,越南户测试-船奇,150,0,,越南户测试-船奇,0,0,,,,
,邻点美国三不限户,85,120,,邻点美国三不限户,45,90,,邻点美国三不限户,30,60,,,,
,印度测户-黑泽明,96.9,200,,印度测户-黑泽明,24.3,250,,印度测户-黑泽明,0,0,,,,
,FF139&星辰-欧元户5%,100,0,,江小南Shen wade&BM户35+2+1,60,210,,江小南Shen wade&BM户35+2+1,45,140,,,,
,,13042.526,3968,,,31462.47,4835,,,17505.3,1905,55707.77,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,72718.296,,,
