11月收支财务报表,Unnamed: 3,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,21,2024-11-03 00:00:00,,,,,后勤转入,30000,,18:36:00,995.35,退款（渠道商：BH欧洲户-泰华-欧洲企业户-6+1,
,,22,2024-11-03 00:00:00,,,,,账单户广告费,5000.75,,18:40:00,1266.0,退款（渠道商：欧洲三不限-泰华709-Sherry,
,,23,2024-11-03 00:00:00,调整金额,6.9,,,GT美国,2220,2000*1.11=2220,19:43:00,3675.0,退款（渠道商：低消1万美金户,
,,24,2024-11-03 00:00:00,土耳其/A李信,32500,500*65=32500,20:43:00,账单户广告费,5000.69,,20:59:00,1831.59,退款（渠道商：印度企业户100u➕14%扎克伯克,
,,25,2024-11-03 00:00:00,,,,,GT欧洲,2100,2000*1.05=2100,21:24:00,779.34,退款（渠道商：Chris Ryan&二不限,
,,26,2024-11-03 00:00:00,天叶印度2期,100,,22:39:00,,,,,12189.85,退款（渠道商：FA-泰华印度1016（A-JIE）,
,,27,2024-11-03 00:00:00,天叶印度2期,12900,500*26=13000,22:44:00,,,,,999.0,退款（代投：印度手工粉测试LS,
,,28,2024-11-04 00:00:00,,,,,GT美国,3330,,09:20:00,,,
,,29,2024-11-04 00:00:00,,,,,GT美国,1110,,09:39:00,2300.0,意大利蟑螂哥,18944
,,30,2024-11-04 00:00:00,,,,,启航广告费,20000,,10:36:00,205920.0,土耳其/A李信,
,,31,2024-11-04 00:00:00,,,,,十月二不限-泰华,1240,,11:57:00,19500.0,土耳其张总股票粉,
,,32,2024-11-04 00:00:00,,,,,启航广告费,30000,,12:19:00,100000.0,新印度5期,
,,33,2024-11-04 00:00:00,,,,,账单户广告费,5000.69,,12:23:00,183000.0,天叶印度2期,
,,34,2024-11-04 00:00:00,印度19期,100,,13:19:00,,,,,10422.0,印度17期,补群
,,35,2024-11-04 00:00:00,印度19期,99900,,14:11:00,GT欧洲,2625,"2500*1.05=2,625",14:38:00,33121.0,印度18期,
,,36,2024-11-04 00:00:00,,,,,金融户印度-泰华Jennie,1070,,16:46:00,200000.0,印度19期,
,,37,2024-11-04 00:00:00,,,,,账单户广告费,5000.35,,18:30:00,241488.0,印度10期孟德,
,,38,2024-11-04 00:00:00,,,,,十月二不限-泰华,2008,,22:29:00,100000.0,印度6期11/13,
,,39,2024-11-05 00:00:00,,,,,启航广告费,20000,,09:37:00,200000.0,印度20期11/16,
,,40,2024-11-05 00:00:00,,,,,十月二不限-泰华,3333,3300×1.01=3333,09:44:00,100000.0,印度21期11/27,
,,41,2024-11-05 00:00:00,,,,,GT美国,3330,3000×1.11=3330,09:48:00,16912.0,印度期权,
,,42,2024-11-05 00:00:00,,,,,广告配套,45,美国IP*5,10:39:00,60000.0,海哥印度粉11/26,
,,43,2024-11-05 00:00:00,印度18期,33121,小柒,13:33:00,GT欧洲,2100,,12:36:00,14000.0,日本自媒体矩阵F B广告,
,,44,2024-11-05 00:00:00,,,,,GT美国,5000,,14:05:00,,,
,,45,2024-11-05 00:00:00,,,,,GT美国,2220,,19:27:00,,,
,,46,2024-11-05 00:00:00,,,,,广告配套,45,美国IP*5,20:52:00,,,
,,47,2024-11-05 00:00:00,,,,,一拖九半限户,845,账单户*4套,21:06:00,,,
,,48,2024-11-05 00:00:00,,,,,GT美国,2220,2000*1.11=2220,21:09:00,,,
,,49,2024-11-05 00:00:00,,,,,广告配套,211.2,个号*5,21:37:00,,,
,,50,2024-11-05 00:00:00,,,,,广告配套,6.9058,SMS邮箱验证手机,22:37:00,,,
,,51,2024-11-05 00:00:00,,,,,广告配套,200,矿工费,23:03:00,,,
,,52,2024-11-05 00:00:00,,,,,账单户广告费,3000.35,,23:03:00,,,
,,53,2024-11-06 00:00:00,,,,,GT美国,4440,4000×1.11=4440,12:11:00,,,
,,54,2024-11-06 00:00:00,,,,,GT美国,4440,4000×1.11=4440,13:00:00,,,
,,55,2024-11-06 00:00:00,印度10期孟德,100,,15:17:00,,,,,,,
,,56,2024-11-06 00:00:00,印度10期孟德,13400,,15:19:00,GT美国,2220,2000×1.11=2220,15:26:00,,,
,,57,2024-11-06 00:00:00,,,,,十月二不限-泰华,887,,20:44:00,,,
,,58,2024-11-06 00:00:00,,,,,凤凰&洛阳11月,34437,,21:22:00,,,
,,59,2024-11-06 00:00:00,,,,,启航广告费,20000,,21:59:00,,,
,,60,2024-11-06 00:00:00,济宁韦宁&香港有意思 二不限 3%,3691.29,,10:10:00,,,,,,,
,,61,2024-11-06 00:00:00,意大利蟑螂哥,2000,尾款,10:10:00,,,,,,,
,,62,2024-11-07 00:00:00,,,,,印度手工粉测试LS,2700,100*27=2700,10:20:00,,,
,,63,2024-11-07 00:00:00,,,,,GT美国,11100,"10000*1.11=11,100",10:38:00,,,
,,64,2024-11-07 00:00:00,,,,,GT欧洲,3150,,10:59:00,,,
,,65,2024-11-07 00:00:00,天叶印度2期,20000,,12:31:00,GT美国,8325,7500*1.11=8325,13:23:00,,,
,,66,2024-11-07 00:00:00,印度19期,100000,,14:16:00,GT欧洲,1415.05,,14:21:00,,,
,,67,2024-11-07 00:00:00,,,,,广告配套,209.38,耐用号*5,14:28:00,,,
,,68,2024-11-07 00:00:00,,,,,广告配套,45,美国IP*5条,15:58:00,,,
,,69,2024-11-07 00:00:00,,,,,广告配套,49,WS计数号1个土耳其、2个印度（一个月）,20:50:00,,,
,,70,2024-11-07 00:00:00,,,,,一拖九半限户,420,2套账单户,21:29:00,,,
,,71,2024-11-07 00:00:00,,,,,账单户广告费,3000.06,,21:38:00,,,
,,72,2024-11-08 00:00:00,,,,,凤凰&洛阳11月,10481,3000*1.1+3000*1.19+3000*1.19+35*1.19,23:46:00,,,
,,73,2024-11-08 00:00:00,,,,,十月二不限-泰华,1242,,00:23:00,,,
,,74,2024-11-08 00:00:00,土耳其/A李信,32500,500*65=32500,01:45:00,印度手工粉测试LS,5400,200*27=5400,09:50:00,,,
,,75,2024-11-08 00:00:00,,,,,凤凰&洛阳11月,11900,10000*1.19=11900,12:45:00,,,
,,76,2024-11-08 00:00:00,,,,,GT美国,10545,9500*1.11=10545,13:28:00,,,
,,77,2024-11-08 00:00:00,,,,,GT欧洲,8925,8500*1.05=8925,13:32:00,,,
,,78,2024-11-08 00:00:00,,,,,凤凰&洛阳11月,11900,10000*1.19=11900,13:34:00,,,
,,79,2024-11-08 00:00:00,,,,,GT美国,4440,4000*1.11=4440,14:28:00,,,
,,80,2024-11-08 00:00:00,,,,,GT美国,4440,4000*1.11=4440,15:08:00,,,
,,81,2024-11-08 00:00:00,印度10期孟德,100,,15:26:00,,,,,,,
,,82,2024-11-08 00:00:00,印度10期孟德,26900,1000*27=27000,15:29:00,GT美国,1110,1000*1.11=1110,16:00:00,,,
,,83,2024-11-08 00:00:00,,,,,凤凰&洛阳11月,23800,20000*1.19=23800,17:07:00,,,
,,84,2024-11-08 00:00:00,,,,,广告配套,125.71,耐用号*3,17:28:00,,,
,,85,2024-11-08 00:00:00,BH欧洲户-泰华-欧洲企业户-6+1,995.35,退款,17:38:00,十月二不限-泰华,1866,2000-152=1848×1.01=1866,19:01:00,,,
,,86,2024-11-08 00:00:00,,,,,凤凰&洛阳11月,35700,20000*1.19+11900=35700,19:46:00,,,
,,87,2024-11-08 00:00:00,,,,,广告配套,45,美国IP*5条,21:39:00,,,
,,88,2024-11-08 00:00:00,,,,,凤凰&洛阳11月,51170,43000*1.19=51170,22:29:00,,,
,,89,2024-11-08 00:00:00,土耳其/A李信,32500,500*65=32500,23:51:00,,,,,,,
,,90,2024-11-09 00:00:00,,,,,十月二不限-泰华,1212,总充值1200×1.01=1212,,,,
,,91,2024-11-09 00:00:00,天叶印度2期,50000,,12:09:00,广告配套,45,美国IP*5条,13:19:00,,,
,,92,2024-11-09 00:00:00,印度10期孟德,100,,13:56:00,,,,,,,
,,93,2024-11-09 00:00:00,印度10期孟德,107900,,14:00:00,凤凰&洛阳11月,26220,23000*1.14=26220,16:43:00,,,
,,94,2024-11-09 00:00:00,,,,,启航广告费,15000,,16:47:00,,,
,,95,2024-11-09 00:00:00,,,,,十月二不限-泰华,3636,,17:29:00,,,
,,96,2024-11-09 00:00:00,,,,,凤凰&洛阳11月,28500,,16:07:00,,,
,,97,2024-11-11 00:00:00,,,,,广告配套,250.5,耐用号*6,11:24:00,,,
,,98,2024-11-11 00:00:00,,,,,广告配套,45,美国IP*5条,12:13:00,,,
,,99,2024-11-11 00:00:00,,,,,凤凰&洛阳11月,14820,13000*1.14=14820,13:18:00,,,
,,100,2024-11-11 00:00:00,印度10期孟德,397,,16:27:00,,,,,,,
,,101,2024-11-11 00:00:00,印度10期孟德,89000,,16:28:00,,,,,,,
,,102,2024-11-12 00:00:00,土耳其/A李信,32500,500*65=32500,11:41:00,GT美国,8880,8000*1.11=8880,14:53:00,,,
,,103,2024-11-12 00:00:00,,,,,GT欧洲,3150,3000*1.05=3150,15:01:00,,,
,,104,2024-11-12 00:00:00,,,,,GT美国,6660,6000*1.11=6660,15:04:00,,,
,,105,2024-11-12 00:00:00,,,,,GT欧洲,2625,"2500*1.05=2,625",,,,
,,106,2024-11-12 00:00:00,,,,,深圳芳林子@SHEN 户,3939,（600+1000*3*1.10）*1.01=3939,17:44:00,,,
,,107,2024-11-12 00:00:00,欧洲三不限-泰华709-Sherry,1266,退款,20:29:00,凤凰&洛阳11月,22340,,22:18:00,,,
,,108,2024-11-13 00:00:00,,,,,深圳芳林子@SHEN 户,12342.2,8000*1.10*1.01=8888，3000*1.14*1.01=3454.2,13:17:00,,,
,,109,2024-11-13 00:00:00,自媒体矩阵F B广告,14000,,14:26:00,广告配套,83.06,2个耐用号,15:42:00,,,
,,110,2024-11-13 00:00:00,,,,,后勤转入,100000,,18:01:00,,,
,,111,2024-11-13 00:00:00,,,,,深圳芳林子@SHEN 户,3454.2,3000*1.14*1.01=3454.2,19:38:00,,,
,,112,2024-11-13 00:00:00,,,,,启航广告费,15000,,21:22:00,,,
,,113,2024-11-13 00:00:00,,,,,广告配套,222,50主页+一套账单户,22:01:00,,,
,,114,2024-11-14 00:00:00,土耳其/A李信,32500,500*65=32500,23:57:00,,,,,,,
,,115,2024-11-14 00:00:00,低消1万美金户,3675,退款,04:16:00,启航广告费,20000,,12:59:00,,,
,,116,2024-11-14 00:00:00,天叶印度2期,50000,,14:05:00,金融户印度-泰华Jennie,5761,"-50-500*1.13=-615

已打款1070

1070-615=455

BIR：-50*3=-150
-1000*3-1000-1000-1000=-6000

欠款：455-150-6000*1.011=-5761",14:14:00,,,
,,117,2024-11-14 00:00:00,旧钱包的余额,0.0569,,16:05:00,印度企业户100u➕14%扎克伯克,1140,,16:03:00,,,
,,118,2024-11-14 00:00:00,意大利蟑螂哥,300,尾款,16:05:00,GT美国,5847.38,"1000*1.11=1110 
4737.38+1110=5847.38",16:11:00,,,
,,119,2024-11-15 00:00:00,,,,,凤凰&洛阳11月,29817.62,"10:56   DX - BCC - OL 558868781840529充10000*1.15=11500
14:34  SAC-ALEXYSC-20 (1682282812615521)充值2000*1.1=2200
16.58  SG - Shopee  288276615949735充值23.4*1.15=26.97
17:02  Lazada (PH) HKD  389361935841549  充1000*1.15=1150
18:17  Havainas Mexico (Kronotime)   421154642225529  充1000+首充1000=2000*1.15=2300
23.14  DX - BCC - OL  558868781840529充10000*1.15=11500
23.20 SWW - BEN 14  567110719043630充1000*1.14=1140",11:23:00,,,
,,120,2024-11-15 00:00:00,,,,,深圳芳林子@SHEN 户,10433.18,（1083.04+8307.76）*1.10*1.01=10433.18,12:43:00,,,
,,121,2024-11-15 00:00:00,印度10期孟德,3591,,12:55:00,深圳芳林子@SHEN 户,11312,"5000*1.14*=5700
一起5700+5500=11200*1.01=11312",18:52:00,,,
,,122,2024-11-15 00:00:00,印度6期11/13,100000,,20:00:00,,,,,,,
,,123,2024-11-16 00:00:00,,,,,广告配套,200,矿工费,11:38:00,,,
,,124,2024-11-16 00:00:00,土耳其/A李信,10920,,17:58:00,十月二不限-泰华,1128,1500−509=991×1.01=1001+115+12=1128,14:50:00,,,
,,125,2024-11-17 00:00:00,,,,,十月二不限-泰华,1717,1700×1.01=1717,14:50:00,,,
,,126,2024-11-18 00:00:00,,,,,GT井号户,11400,10000×1.14=11400,09:56:00,,,
,,127,2024-11-18 00:00:00,印度手工粉测试LS,999,,11:32:00,,,,,,,
,,128,2024-11-18 00:00:00,印度企业户100u➕14%扎克伯克,1831.59,,14:09:00,GT井号户,11400,10000×1.14=11400,17:06:00,,,
,,129,2024-11-18 00:00:00,,,,,凤凰&洛阳11月,10896,（10000-525）*1.15=10896,20:47:00,,,
,,130,2024-11-18 00:00:00,,,,,凤凰&洛阳11月,28500,20000*1.15+5000*1.10=28500,21:11:00,,,
,,131,2024-11-19 00:00:00,,,,,广告配套,221,一套账单户+50主页,09:07:00,,,
,,132,2024-11-19 00:00:00,,,,,十月二不限-泰华,297,1400−1118=282×1.01=285+12=297,09:45:00,,,
,,133,2024-11-19 00:00:00,Chris Ryan&二不限,779.34,退款,13:40:00,,,,,,,
,,134,2024-11-19 00:00:00,旧钱包的余额,8.3e-05,,13:40:00,金融户印度-泰华Jennie,4044.27,"-1000.27-3000=-4000.27
-4000.27*1.011=-4044.27",13:48:00,,,
,,135,2024-11-19 00:00:00,印度20期,100000,,14:51:00,,,,,,,
,,136,2024-11-20 00:00:00,,,,,深圳芳林子@SHEN 户,5461.04,"1159.11/1.10=1053.74
1133.91/1.10=1030.83
7000-1053.74-1030.83=4915.43
需要补款
4915.43*1.10*1.01=5461.04",14:31:00,,,
,,137,2024-11-20 00:00:00,,,,,广告配套,450,9U*50=450U,16:01:00,,,
,,138,2024-11-20 00:00:00,,,,,广告配套,24,WS印度计数号,18:20:00,,,
,,139,2024-11-21 00:00:00,,,,,深圳芳林子@SHEN 户,4444,4000*1.10*1.01=4444,12:57:00,,,
,,140,2024-11-21 00:00:00,旧钱包的余额,0.00279,,13:57:00,深圳芳林子@SHEN 户,8844.19,"636845.31/80=7960.57
7960.57*1.10*1.01=8844.19",13:54:00,,,
,,141,2024-11-21 00:00:00,FA-泰华印度1016（A-JIE）,12189.85,,13:57:00,GT美国,16490.77,"待清金额8544.9，需打款金额19,126.55-4270=14,856.55*1.11=16,490.77",14:25:00,,,
,,142,2024-11-21 00:00:00,,,,,深圳芳林子@SHEN 户,5798.46,"417531.84/80=5219.14
需要打款
5219.14*1.10*1.01=5798.46",14:31:00,,,
,,143,2024-11-21 00:00:00,,,,,GT美国,8880,8000*1.11=8880,15:07:00,,,
,,144,2024-11-21 00:00:00,,,,,GT欧洲,7000,7000*1.03=7210，210未付，下次清零抵扣,15:53:00,,,
,,145,2024-11-21 00:00:00,,,,,广告配套,228,圣盾防护1个月,20:57:00,,,
,,146,2024-11-22 00:00:00,,,,,GT美国,25614.36,"待清零13384.32  29,768.00-6,692=25614.36u",15:49:00,,,
,,147,2024-11-22 00:00:00,,,,,广告配套,200,"部门：南部
费用分类：广告配套
用途：海王工单
明细：20个端口
合计：200U
日期：11月22日
地址或账号：海王出海",16:37:00,,,
,,148,2024-11-22 00:00:00,,,,,GT美国,38850,35000*1.11=38850,16:50:00,,,
,,149,2024-11-22 00:00:00,土耳其张总股票粉,6500,阿金,16:57:00,GT欧洲,2060,2000×1.03=2060,16:59:00,,,
,,150,2024-11-22 00:00:00,印度期权,16912,2114*8=16912,20:21:00,,,,,,,
,,151,2024-11-23 00:00:00,,,,,深圳芳林子@SHEN 户,5757,"5000*1.14*1.01=5,757",14:38:00,,,
,,152,2024-11-23 00:00:00,,,,,启航广告费,15000,,14:40:00,,,
,,153,2024-11-23 00:00:00,印度17期,10422,386*27=10422美,16:09:00,,,,,,,
,,154,2024-11-23 00:00:00,印度20期,100000,,16:10:00,,,,,,,
,,155,2024-11-24 00:00:00,,,,,启航广告费,10000,,16:54:00,,,
,,156,2024-11-25 00:00:00,天叶印度2期,50000,,12:48:00,GT美国,28860,26000*1.11=28860,12:59:00,,,
,,157,2024-11-25 00:00:00,,,,,启航广告费,15000,,21:35:00,,,
,,158,2024-11-26 00:00:00,,,,,广告配套,207,一拖九,11:06:00,,,
,,159,2024-11-26 00:00:00,,,,,GT欧洲,14714.29,12000/0.84*1.03=14714.29,15:05:00,,,
,,160,2024-11-26 00:00:00,,,,,广告配套,100.13,"部门：南部
费用分类：广告配套
用途：海王工单
明细：10个端口
合计：100.13U
日期：11月26日
地址或账号：海王出海",21:36:00,,,
,,161,2024-11-27 00:00:00,,,,,启航广告费,20000,,10:26:00,,,
,,162,2024-11-27 00:00:00,,,,,广告配套,255,VPN续费一个季度,22:43:00,,,
,,163,2024-11-27 00:00:00,,,,,GT欧洲,4771.72,"""待清零的3345左右 
6233-3345*0.7=3891.5
3891.5/0.84=4632.74
需要打款4632.74*1.03=4771.72""",15:52:00,,,
,,164,2024-11-27 00:00:00,海哥印度粉11/26,30000,,16:03:00,启航广告费,20000,,20:12:00,,,
,,165,2024-11-27 00:00:00,,,,,深圳芳林子@SHEN 户,2888.28,"""其他户的备用金301.52/1.1=274.10
还需打款3000-126.18-274.10=2,599.72*1.1*1.01=2,888.28""",22:35:00,,,
,,166,2024-11-28 00:00:00,,,,,深圳芳林子@SHEN 户,6666,（8000-2000）*1.10*1.01=6666,13:15:00,,,
,,167,2024-11-28 00:00:00,,,,,启航广告费,20000,,15:13:00,,,
,,168,2024-11-28 00:00:00,,,,,土耳其单导代投,848,16*53=848,15:21:00,,,
,,169,2024-11-28 00:00:00,印度21期,100000,,16:46:00,深圳芳林子@SHEN 户,3333,3000*1.1*1.01=3333,22:52:00,,,
,,170,2024-11-29 00:00:00,,,,,深圳芳林子@SHEN 户,18129.85,其他户备用金转入1849.65/1.10=1681.5；（5000+5000+3000+5000-1681.51）*1.10*1.01=18129.85,13:05:00,,,
,,171,2024-11-29 00:00:00,,,,,深圳芳林子@SHEN 户,12221,（6000+5000）*1.10*1.01=12221,13:24:00,,,
,,172,2024-11-29 00:00:00,,,,,广告配套,16,2个ws菲律宾号,15:00:00,,,
,,173,2024-11-29 00:00:00,,,,,深圳芳林子@SHEN 户,3333,3000*1.10*1.01=3333,15:31:00,,,
,,174,2024-11-29 00:00:00,,,,,深圳芳林子@SHEN 户,1111,1000*1.10*1.01=1111,17:35:00,,,
,,175,2024-11-29 00:00:00,土耳其张总股票粉,13000,阿金65*200=13000,18:15:00,,,,,,,
,,176,2024-11-29 00:00:00,海哥印度粉11/26,30000,,19：51,,,,,,,
,,177,2024-11-30 00:00:00,,,,,深圳芳林子@SHEN 户,12666.08,备用金转入599.38；（6000+6000-599.38）*1.10*1.01=12666.08,10:52:00,,,
,,178,2024-11-30 00:00:00,,,,,土耳其单导代投,1908,36*53=1908,14:01:00,,,
,,179,2024-11-30 00:00:00,,,,,深圳芳林子@SHEN 户,15766.02,"""11054.48*1.1=12,159.92
（12,159.92+3,450)*1.01=15,766.02""",14:38:00,,,
,,180,2024-11-30 00:00:00,,,,,启航广告费,5000,,15:30:00,,,
,,181,,,,,,,,,,,,
,,182,,,,,,,,,,,,
,,183,,,,,,,,,,,,
,,184,,,,,,,,,,,,
,,185,,,,,,,,,,,,
,,186,,,,,,,,,,,,
,,187,,,,,,,,,,,,
,,188,,,,,,,,,,,,
,,189,,,,,,,,,,,,
,,190,,,,,,,,,,,,
,,191,,,,,,,,,,,,
,,192,,,,,,,,,,,,
,,193,,,,,,,,,,,,
,,194,,,,,,,,,,,,
,,195,,,,,,,,,,,,
,,196,,,,,,,,,,,,
,,197,,,,,,,,,,,,
,,198,,,,,,,,,,,,
,,199,,,,,,,,,,,,
,,200,,,,,,,,,,,,
,,201,,,,,,,,,,,,
,,202,,,,,,,,,,,,
,,203,,,,,,,,,,,,
,,204,,,,,,,,,,,,
,,205,,,,,,,,,,,,
,,206,,,,,,,,,,,,
,,207,,,,,,,,,,,,
,,208,,,,,,,,,,,,
,,209,,,,,,,,,,,,
,,210,,,,,,,,,,,,
,,211,,,,,,,,,,,,
,,212,,,,,,,,,,,,
,,213,,,,,,,,,,,,
,,214,,,,,,,,,,,,
,,215,,,,,,,,,,,,
,,216,,,,,,,,,,,,
,,217,,,,,,,,,,,,
,,218,,,,,,,,,,,,
,,219,,,,,,,,,,,,
,,220,,,,,,,,,,,,
,,221,,,,,,,,,,,,
,,222,,,,,,,,,,,,
,,223,,,,,,,,,,,,
,,224,,,,,,,,,,,,
,,225,,,,,,,,,,,,
,,226,,,,,,,,,,,,
,,227,,,,,,,,,,,,
,,228,,,,,,,,,,,,
,,229,,,,,,,,,,,,
,,230,,,,,,,,,,,,
,,231,,,,,,,,,,,,
,,232,,,,,,,,,,,,
,,233,,,,,,,,,,,,
,,234,,,,,,,,,,,,
,,235,,,,,,,,,,,,
